"chr" "start" "end" "difference"
"217" "cvirNC_035780.1" 24428725 24430984 -1
"218" "cvirNC_035780.1" 24611969 24638942 1
"219" "cvirNC_035780.1" 25191083 25241551 1
"220" "cvirNC_035780.1" 25339676 25363572 2
"221" "cvirNC_035780.1" 25414813 25443408 1
"222" "cvirNC_035780.1" 25710440 25719653 -1
"223" "cvirNC_035780.1" 25733048 25785975 1
"224" "cvirNC_035780.1" 25904526 25923260 1
"225" "cvirNC_035780.1" 25940902 25949004 -1
"226" "cvirNC_035780.1" 25956672 25961772 1
"227" "cvirNC_035780.1" 25964245 25978249 -1
"228" "cvirNC_035780.1" 26048951 26058038 1
"229" "cvirNC_035780.1" 26129243 26141718 -1
"230" "cvirNC_035780.1" 26159845 26164731 1
"231" "cvirNC_035780.1" 26165279 26173045 -1
"232" "cvirNC_035780.1" 26189359 26196444 -1
"233" "cvirNC_035780.1" 26197313 26237563 1
"234" "cvirNC_035780.1" 26272889 26279873 1
"235" "cvirNC_035780.1" 26349133 26360712 -1
"236" "cvirNC_035780.1" 26443985 26451844 1
"237" "cvirNC_035780.1" 26587070 26639094 -1
"238" "cvirNC_035780.1" 26659273 26696606 11
"239" "cvirNC_035780.1" 26759952 26767588 1
"240" "cvirNC_035780.1" 26820399 26822765 -1
"241" "cvirNC_035780.1" 26971999 26982994 1
"242" "cvirNC_035780.1" 27079385 27091314 1
"243" "cvirNC_035780.1" 27094061 27098236 -1
"244" "cvirNC_035780.1" 27147368 27150613 -1
"245" "cvirNC_035780.1" 27264740 27313117 -1
"246" "cvirNC_035780.1" 27329123 27357492 -1
"247" "cvirNC_035780.1" 27361633 27399528 2
"248" "cvirNC_035780.1" 27438099 27441309 -1
"249" "cvirNC_035780.1" 27520869 27543654 1
"250" "cvirNC_035780.1" 27610036 27617026 1
"251" "cvirNC_035780.1" 27638110 27654104 1
"252" "cvirNC_035780.1" 27773539 27789882 -1
"253" "cvirNC_035780.1" 27816312 27827987 2
"254" "cvirNC_035780.1" 27912452 27926213 2
"255" "cvirNC_035780.1" 28147749 28163436 1
"256" "cvirNC_035780.1" 28437735 28445206 1
"257" "cvirNC_035780.1" 28618866 28659036 1
"258" "cvirNC_035780.1" 28758744 28802704 10
"259" "cvirNC_035780.1" 28808441 28880330 1
"260" "cvirNC_035780.1" 28889561 28904051 2
"261" "cvirNC_035780.1" 28910140 28916797 1
"262" "cvirNC_035780.1" 29404539 29415117 1
"263" "cvirNC_035780.1" 29477554 29490484 2
"264" "cvirNC_035780.1" 29818701 29818772 -8
"265" "cvirNC_035780.1" 29959864 29998370 1
"266" "cvirNC_035780.1" 30141813 30153309 -1
"267" "cvirNC_035780.1" 30177832 30182725 -1
"268" "cvirNC_035780.1" 30267130 30271883 1
"269" "cvirNC_035780.1" 30271711 30278057 1
"270" "cvirNC_035780.1" 30398941 30400416 1
"271" "cvirNC_035780.1" 30500035 30509504 2
"272" "cvirNC_035780.1" 30709759 30748068 2
"273" "cvirNC_035780.1" 30803398 30825927 -1
"274" "cvirNC_035780.1" 30973848 30990133 3
"275" "cvirNC_035780.1" 31504491 31513714 1
"276" "cvirNC_035780.1" 31918430 31951654 1
"277" "cvirNC_035780.1" 32106528 32118722 -1
"278" "cvirNC_035780.1" 32255479 32272717 1
"279" "cvirNC_035780.1" 32278477 32292315 1
"280" "cvirNC_035780.1" 32293361 32300806 -1
"281" "cvirNC_035780.1" 32372644 32379670 1
"282" "cvirNC_035780.1" 32398044 32437754 16
"283" "cvirNC_035780.1" 32557748 32578458 -1
"284" "cvirNC_035780.1" 32721224 32734817 -1
"285" "cvirNC_035780.1" 32754200 32800756 1
"286" "cvirNC_035780.1" 32810531 32816679 1
"287" "cvirNC_035780.1" 32880934 32904976 3
"288" "cvirNC_035780.1" 32904951 32910452 1
"289" "cvirNC_035780.1" 33113984 33131892 1
"290" "cvirNC_035780.1" 33171503 33252199 1
"291" "cvirNC_035780.1" 33461973 33479797 1
"292" "cvirNC_035780.1" 33835021 33847289 1
"293" "cvirNC_035780.1" 33896392 33910028 1
"294" "cvirNC_035780.1" 33931729 33945324 1
"295" "cvirNC_035780.1" 33981215 33990910 -1
"296" "cvirNC_035780.1" 34371338 34371409 1
"297" "cvirNC_035780.1" 34381663 34385862 2
"298" "cvirNC_035780.1" 34576458 34601635 1
"299" "cvirNC_035780.1" 34665684 34683411 2
"300" "cvirNC_035780.1" 34699951 34730314 3
"301" "cvirNC_035780.1" 34731665 34773074 3
"302" "cvirNC_035780.1" 34848354 34850525 1
"303" "cvirNC_035780.1" 35250794 35255856 -5
"304" "cvirNC_035780.1" 35554098 35582856 1
"305" "cvirNC_035780.1" 35660063 35697879 1
"306" "cvirNC_035780.1" 35907724 35913022 -1
"307" "cvirNC_035780.1" 36007150 36043856 7
"308" "cvirNC_035780.1" 36080927 36097268 1
"309" "cvirNC_035780.1" 36111492 36120975 1
"310" "cvirNC_035780.1" 36155298 36169254 3
"311" "cvirNC_035780.1" 36251202 36284517 5
"312" "cvirNC_035780.1" 36422923 36431866 -1
"313" "cvirNC_035780.1" 36592794 36593982 -1
"314" "cvirNC_035780.1" 36936953 36940510 1
"315" "cvirNC_035780.1" 37339386 37363452 1
"316" "cvirNC_035780.1" 37375561 37377510 -1
"317" "cvirNC_035780.1" 37408826 37481929 2
"318" "cvirNC_035780.1" 37576671 37579574 -1
"319" "cvirNC_035780.1" 37627451 37638674 1
"320" "cvirNC_035780.1" 37683779 37690489 1
"321" "cvirNC_035780.1" 37945038 37957423 1
"322" "cvirNC_035780.1" 38130571 38134205 1
"323" "cvirNC_035780.1" 38156977 38175841 -2
"324" "cvirNC_035780.1" 38209799 38243110 4
"325" "cvirNC_035780.1" 38744011 38753199 1
"326" "cvirNC_035780.1" 38757410 38758680 1
"327" "cvirNC_035780.1" 38763333 38766850 -1
"328" "cvirNC_035780.1" 38767644 38777258 1
"329" "cvirNC_035780.1" 38842946 38867881 2
"330" "cvirNC_035780.1" 38913537 38977695 1
"331" "cvirNC_035780.1" 39018976 39020761 1
"332" "cvirNC_035780.1" 39102730 39127237 1
"333" "cvirNC_035780.1" 39175787 39191371 1
"334" "cvirNC_035780.1" 39215248 39218023 1
"335" "cvirNC_035780.1" 39228832 39242895 1
"336" "cvirNC_035780.1" 39231264 39252946 1
"337" "cvirNC_035780.1" 39289171 39312689 1
"338" "cvirNC_035780.1" 39359121 39375303 -1
"339" "cvirNC_035780.1" 39617141 39618662 -1
"340" "cvirNC_035780.1" 39712344 39749268 1
"341" "cvirNC_035780.1" 39803326 39803398 -5
"342" "cvirNC_035780.1" 39821689 39825281 1
"343" "cvirNC_035780.1" 40003512 40022490 2
"344" "cvirNC_035780.1" 40064651 40084186 1
"345" "cvirNC_035780.1" 40092046 40120011 2
"346" "cvirNC_035780.1" 40149244 40263919 3
"347" "cvirNC_035780.1" 40673621 40687137 1
"348" "cvirNC_035780.1" 40683644 40688406 -1
"349" "cvirNC_035780.1" 41339114 41382887 1
"350" "cvirNC_035780.1" 41591542 41679803 1
"351" "cvirNC_035780.1" 41738232 41833785 6
"352" "cvirNC_035780.1" 42213375 42217911 -1
"353" "cvirNC_035780.1" 42342787 42385308 1
"354" "cvirNC_035780.1" 42389602 42462379 -1
"355" "cvirNC_035780.1" 42486546 42509612 1
"356" "cvirNC_035780.1" 42569941 42574756 -1
"357" "cvirNC_035780.1" 42719707 42751605 2
"358" "cvirNC_035780.1" 43165204 43166506 -1
"359" "cvirNC_035780.1" 43206711 43225963 1
"360" "cvirNC_035780.1" 43267296 43277773 1
"361" "cvirNC_035780.1" 43378266 43423011 -1
"362" "cvirNC_035780.1" 43467529 43477166 -1
"363" "cvirNC_035780.1" 43523331 43537321 1
"364" "cvirNC_035780.1" 43579288 43639848 5
"365" "cvirNC_035780.1" 43656928 43676723 1
"366" "cvirNC_035780.1" 44019384 44023725 1
"367" "cvirNC_035780.1" 44046423 44053136 1
"368" "cvirNC_035780.1" 44069755 44073644 -2
"369" "cvirNC_035780.1" 44103079 44115229 1
"370" "cvirNC_035780.1" 44135543 44143557 -1
"371" "cvirNC_035780.1" 44413882 44423312 1
"372" "cvirNC_035780.1" 44509526 44541574 1
"373" "cvirNC_035780.1" 44572173 44574973 1
"374" "cvirNC_035780.1" 44608486 44627856 6
"375" "cvirNC_035780.1" 44661430 44666702 2
"376" "cvirNC_035780.1" 44707379 44710412 -1
"377" "cvirNC_035780.1" 44742285 44750709 1
"378" "cvirNC_035780.1" 44769660 44775829 -1
"379" "cvirNC_035780.1" 45121345 45127378 1
"380" "cvirNC_035780.1" 45174393 45176257 -1
"381" "cvirNC_035780.1" 45187943 45205037 -1
"382" "cvirNC_035780.1" 45224993 45228359 -1
"383" "cvirNC_035780.1" 45233227 45238256 -2
"384" "cvirNC_035780.1" 45311955 45330320 5
"385" "cvirNC_035780.1" 45367519 45376990 1
"386" "cvirNC_035780.1" 45397983 45431010 2
"387" "cvirNC_035780.1" 45453019 45457066 1
"388" "cvirNC_035780.1" 45648858 45651387 1
"389" "cvirNC_035780.1" 45832064 45843894 2
"390" "cvirNC_035780.1" 45873421 45877260 -1
"391" "cvirNC_035780.1" 45883130 45892559 1
"392" "cvirNC_035780.1" 45925307 45931968 1
"393" "cvirNC_035780.1" 46242990 46246445 -1
"394" "cvirNC_035780.1" 46276784 46363668 -1
"395" "cvirNC_035780.1" 46309953 46311779 -1
"396" "cvirNC_035780.1" 46364931 46388135 1
"397" "cvirNC_035780.1" 46398721 46463608 4
"398" "cvirNC_035780.1" 46554939 46564378 -1
"399" "cvirNC_035780.1" 46609528 46652994 1
"400" "cvirNC_035780.1" 46683714 46692495 2
"401" "cvirNC_035780.1" 46727702 46749392 1
"402" "cvirNC_035780.1" 46761774 46771179 1
"403" "cvirNC_035780.1" 46792244 46814036 2
"404" "cvirNC_035780.1" 46845428 46871436 1
"405" "cvirNC_035780.1" 46873107 46875760 -1
"406" "cvirNC_035780.1" 47092851 47101564 1
"407" "cvirNC_035780.1" 47178397 47183824 1
"408" "cvirNC_035780.1" 47265544 47273687 1
"409" "cvirNC_035780.1" 47300046 47309259 1
"410" "cvirNC_035780.1" 47499226 47502450 1
"411" "cvirNC_035780.1" 47542679 47549649 1
"412" "cvirNC_035780.1" 47737553 47742234 1
"413" "cvirNC_035780.1" 47784962 47807252 1
"414" "cvirNC_035780.1" 47835474 47844521 2
"415" "cvirNC_035780.1" 47941571 47967118 -3
"416" "cvirNC_035780.1" 48043497 48065046 3
"417" "cvirNC_035780.1" 48145440 48147181 -1
"418" "cvirNC_035780.1" 48173576 48196455 1
"419" "cvirNC_035780.1" 48293000 48301601 1
"420" "cvirNC_035780.1" 48316470 48329599 -1
"421" "cvirNC_035780.1" 48433892 48443793 1
"422" "cvirNC_035780.1" 48452481 48455421 1
"423" "cvirNC_035780.1" 48480560 48502855 -1
"424" "cvirNC_035780.1" 48569390 48582762 1
"425" "cvirNC_035780.1" 48761298 48806276 1
"426" "cvirNC_035780.1" 48806282 48822702 -1
"427" "cvirNC_035780.1" 48865293 48877326 -1
"428" "cvirNC_035780.1" 48933411 48949130 1
"429" "cvirNC_035780.1" 48959301 49017932 1
"430" "cvirNC_035780.1" 49079802 49082281 -1
"431" "cvirNC_035780.1" 49179151 49186515 1
"432" "cvirNC_035780.1" 49235162 49237919 1
"433" "cvirNC_035780.1" 49353707 49370115 -1
"434" "cvirNC_035780.1" 49557991 49582214 1
"435" "cvirNC_035780.1" 49614763 49623491 2
"436" "cvirNC_035780.1" 49709015 49726163 -1
"437" "cvirNC_035780.1" 49797636 49820835 5
"438" "cvirNC_035780.1" 49871801 49886560 -1
"439" "cvirNC_035780.1" 49922530 49948141 1
"440" "cvirNC_035780.1" 49952601 49959618 1
"441" "cvirNC_035780.1" 50041490 50045337 -1
"442" "cvirNC_035780.1" 50047198 50060431 -2
"443" "cvirNC_035780.1" 50061555 50109077 1
"444" "cvirNC_035780.1" 50166867 50176803 1
"445" "cvirNC_035780.1" 50185138 50188092 1
"446" "cvirNC_035780.1" 50211758 50223692 -1
"447" "cvirNC_035780.1" 50266606 50273440 -1
"448" "cvirNC_035780.1" 50292326 50299121 1
"449" "cvirNC_035780.1" 50299459 50312304 2
"450" "cvirNC_035780.1" 50400983 50403488 1
"451" "cvirNC_035780.1" 50550117 50587524 1
"452" "cvirNC_035780.1" 50694048 50802720 2
"453" "cvirNC_035780.1" 50915244 50932491 1
"454" "cvirNC_035780.1" 50983662 50990475 2
"455" "cvirNC_035780.1" 51092502 51110087 1
"456" "cvirNC_035780.1" 51105213 51113612 1
"457" "cvirNC_035780.1" 51124159 51143224 3
"458" "cvirNC_035780.1" 51144663 51183634 1
"459" "cvirNC_035780.1" 51195169 51484384 1
"460" "cvirNC_035780.1" 51875249 51924626 1
"461" "cvirNC_035780.1" 52225582 52232886 1
"462" "cvirNC_035780.1" 52253141 52254608 1
"463" "cvirNC_035780.1" 52351290 52353818 -1
"464" "cvirNC_035780.1" 52431093 52433025 -1
"465" "cvirNC_035780.1" 52564200 52609271 1
"466" "cvirNC_035780.1" 52751416 52752420 -1
"467" "cvirNC_035780.1" 52803555 52815056 -1
"468" "cvirNC_035780.1" 52823996 52832080 1
"469" "cvirNC_035780.1" 52839312 52854216 1
"470" "cvirNC_035780.1" 53094559 53131337 2
"471" "cvirNC_035780.1" 53485419 53492745 1
"472" "cvirNC_035780.1" 53676504 53687997 -2
"473" "cvirNC_035780.1" 54231650 54250108 -1
"474" "cvirNC_035780.1" 54312776 54318218 -1
"475" "cvirNC_035780.1" 54319001 54331379 1
"476" "cvirNC_035780.1" 54341773 54346493 -3
"477" "cvirNC_035780.1" 54477862 54486517 2
"478" "cvirNC_035780.1" 54607665 54612202 1
"479" "cvirNC_035780.1" 54629879 54662876 3
"480" "cvirNC_035780.1" 54665131 54734150 3
"481" "cvirNC_035780.1" 54844999 54866837 2
"482" "cvirNC_035780.1" 54885906 54893942 1
"483" "cvirNC_035780.1" 54937790 54951636 -1
"484" "cvirNC_035780.1" 54970228 54973233 1
"485" "cvirNC_035780.1" 55015238 55017064 -1
"486" "cvirNC_035780.1" 55055418 55063142 1
"487" "cvirNC_035780.1" 55140427 55168505 1
"488" "cvirNC_035780.1" 55221866 55224936 -1
"489" "cvirNC_035780.1" 55290877 55309979 1
"490" "cvirNC_035780.1" 55382874 55394093 1
"491" "cvirNC_035780.1" 55424398 55472846 2
"492" "cvirNC_035780.1" 55472896 55477154 1
"493" "cvirNC_035780.1" 55723885 55749653 1
"494" "cvirNC_035780.1" 55940007 55947834 1
"495" "cvirNC_035780.1" 55956848 55990102 2
"496" "cvirNC_035780.1" 55995232 56007772 1
"497" "cvirNC_035780.1" 56014658 56022468 1
"498" "cvirNC_035780.1" 56175446 56179978 -1
"499" "cvirNC_035780.1" 56182511 56189083 1
"500" "cvirNC_035780.1" 56272786 56282148 1
"501" "cvirNC_035780.1" 56303344 56308167 1
"502" "cvirNC_035780.1" 56367732 56371708 1
"503" "cvirNC_035780.1" 56384832 56392697 1
"504" "cvirNC_035780.1" 56449991 56460458 2
"505" "cvirNC_035780.1" 56560094 56563415 1
"506" "cvirNC_035780.1" 56686339 56707395 1
"507" "cvirNC_035780.1" 56765499 56799583 1
"508" "cvirNC_035780.1" 57061961 57075144 1
"509" "cvirNC_035780.1" 57679840 57737553 1
"510" "cvirNC_035780.1" 58198480 58212172 1
"511" "cvirNC_035780.1" 58264855 58264927 -4
"512" "cvirNC_035780.1" 58442823 58470385 2
"513" "cvirNC_035780.1" 58509452 58516577 2
"514" "cvirNC_035780.1" 58532776 58540791 1
"515" "cvirNC_035780.1" 58667565 58670087 1
"516" "cvirNC_035780.1" 58836758 58880808 5
"517" "cvirNC_035780.1" 58865205 58870348 1
"518" "cvirNC_035780.1" 58906846 58919381 2
"519" "cvirNC_035780.1" 58972432 58990486 2
"520" "cvirNC_035780.1" 58990755 58999255 2
"521" "cvirNC_035780.1" 59128524 59170119 3
"522" "cvirNC_035780.1" 59324769 59348590 2
"523" "cvirNC_035780.1" 59467957 59475764 1
"524" "cvirNC_035780.1" 59767324 59789768 2
"525" "cvirNC_035780.1" 59792639 59823747 5
"526" "cvirNC_035780.1" 60091575 60091957 -1
"527" "cvirNC_035780.1" 60138183 60145530 1
"528" "cvirNC_035780.1" 60260535 60305536 7
"529" "cvirNC_035780.1" 60737787 60744483 1
"530" "cvirNC_035780.1" 60828363 60839660 -2
"531" "cvirNC_035780.1" 60984221 60988807 1
