gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,exposed_females_max_transcript_counts,exposed_males_max_transcript_counts,max_transcript_counts,females_controls_predom_isoform,females_exposed_predom_isoform,males_controls_predom_isoform,males_exposed_predom_isoform
LOC111099066,2,2,1,2,2,rna-XM_022430413.1,rna-XM_022430413.1,rna-XM_022430413.1,rna-XM_022430413.1
LOC111099067,1,1,1,1,1,rna-XM_022430415.1,rna-XM_022430415.1,rna-XM_022430415.1,rna-XM_022430415.1
LOC111099068,2,1,2,2,2,rna-XM_022430416.1,rna-XM_022430416.1,rna-XM_022430416.1,rna-XM_022430416.1
LOC111099069,1,1,1,1,1,rna-XM_022430418.1,rna-XM_022430418.1,rna-XM_022430418.1,rna-XM_022430418.1
LOC111099070,2,4,5,5,5,rna-XM_022430419.1,rna-XM_022430419.1,rna-XM_022430419.1,rna-XM_022430419.1
LOC111099071,1,1,1,1,1,rna-XM_022430428.1,rna-XM_022430428.1,rna-XM_022430428.1,rna-XM_022430428.1
LOC111099072,1,1,1,1,1,rna-XM_022430425.1,rna-XM_022430425.1,rna-XM_022430425.1,rna-XM_022430425.1
LOC111099073,1,1,1,1,1,rna-XM_022430426.1,rna-XM_022430426.1,rna-XM_022430426.1,rna-XM_022430426.1
LOC111099074,1,1,1,1,1,rna-XM_022430427.1,rna-XM_022430427.1,rna-XM_022430427.1,rna-XM_022430427.1
LOC111099075,1,1,1,1,1,rna-XR_002633624.1,rna-XR_002633624.1,rna-XR_002633624.1,rna-XR_002633624.1
LOC111099076,1,1,1,2,2,rna-XM_022430429.1,rna-XM_022430429.1,rna-XM_022430429.1,rna-XM_022430429.1
LOC111099077,1,1,1,1,1,rna-XM_022430431.1,rna-XM_022430431.1,rna-XM_022430431.1,rna-XM_022430431.1
LOC111099078,1,2,2,1,2,rna-XM_022430432.1,rna-XM_022430432.1,rna-XM_022430432.1,rna-XM_022430432.1
LOC111099079,1,1,1,1,1,rna-XM_022430440.1,rna-XM_022430440.1,rna-XM_022430440.1,rna-XM_022430440.1
LOC111099080,1,1,1,1,1,rna-XM_022430437.1,rna-XM_022430437.1,rna-XM_022430437.1,rna-XM_022430437.1
LOC111099081,2,2,2,2,2,rna-XM_022430439.1,rna-XM_022430439.1,rna-XM_022430438.1,rna-XM_022430438.1
LOC111099082,1,1,1,1,1,rna-XM_022430441.1,rna-XM_022430441.1,rna-XM_022430441.1,rna-XM_022430441.1
LOC111099083,1,1,1,1,1,rna-XM_022430442.1,rna-XM_022430442.1,rna-XM_022430442.1,rna-XM_022430442.1
LOC111099084,1,2,0,1,2,rna-XR_002633625.1,rna-XM_022430443.1,rna-XM_022430443.1,rna-XR_002633625.1
LOC111099085,0,1,1,1,1,rna-XR_002633626.1,rna-XR_002633626.1,rna-XR_002633626.1,rna-XR_002633626.1
LOC111099086,1,0,0,0,1,rna-XR_002633627.1,rna-XR_002633627.1,rna-XR_002633627.1,rna-XR_002633627.1
LOC111099087,1,2,1,2,2,rna-XM_022430445.1,rna-XM_022430445.1,rna-XM_022430445.1,rna-XM_022430445.1
LOC111099088,2,2,2,2,2,rna-XM_022430450.1,rna-XM_022430450.1,rna-XM_022430450.1,rna-XM_022430450.1
LOC111099089,0,1,1,1,1,rna-XR_002633628.1,rna-XR_002633628.1,rna-XR_002633628.1,rna-XR_002633628.1
LOC111099090,1,1,1,1,1,rna-XM_022430449.1,rna-XM_022430449.1,rna-XM_022430449.1,rna-XM_022430449.1
LOC111099091,1,1,1,1,1,rna-XM_022430451.1,rna-XM_022430451.1,rna-XM_022430451.1,rna-XM_022430451.1
LOC111099092,1,1,1,1,1,rna-XM_022430452.1,rna-XM_022430452.1,rna-XM_022430452.1,rna-XM_022430452.1
LOC111099093,1,1,1,1,1,rna-XM_022430453.1,rna-XM_022430453.1,rna-XM_022430453.1,rna-XM_022430453.1
LOC111099094,1,1,1,1,1,rna-XR_002633629.1,rna-XR_002633629.1,rna-XR_002633629.1,rna-XR_002633629.1
LOC111099095,2,2,2,2,2,rna-XM_022430454.1,rna-XM_022430454.1,rna-XM_022430455.1,rna-XM_022430455.1
LOC111099096,1,1,1,1,1,rna-XM_022430456.1,rna-XM_022430456.1,rna-XM_022430456.1,rna-XM_022430456.1
LOC111099097,3,2,3,2,3,rna-XM_022430457.1,rna-XM_022430457.1,rna-XM_022430459.1,rna-XM_022430459.1
LOC111099098,1,1,1,1,1,rna-XM_022430461.1,rna-XM_022430461.1,rna-XM_022430461.1,rna-XM_022430461.1
LOC111099099,2,3,2,3,3,rna-XM_022430462.1,rna-XM_022430462.1,rna-XM_022430464.1,rna-XM_022430462.1
LOC111099100,1,1,1,1,1,gene-LOC111099100,gene-LOC111099100,gene-LOC111099100,gene-LOC111099100
LOC111099101,3,2,3,2,3,rna-XM_022430465.1,rna-XM_022430466.1,rna-XM_022430465.1,rna-XM_022430465.1
LOC111099102,1,1,1,1,1,rna-XM_022430470.1,rna-XM_022430470.1,rna-XM_022430470.1,rna-XM_022430470.1
LOC111099103,2,2,2,2,2,rna-XM_022430468.1,rna-XM_022430468.1,rna-XM_022430468.1,rna-XM_022430468.1
LOC111099104,1,1,1,1,1,rna-XM_022430471.1,rna-XM_022430471.1,rna-XM_022430471.1,rna-XM_022430471.1
LOC111099105,1,1,1,1,1,rna-XM_022430472.1,rna-XM_022430472.1,rna-XM_022430472.1,rna-XM_022430472.1
LOC111099106,4,2,4,2,4,rna-XM_022430474.1,rna-XM_022430475.1,rna-XM_022430473.1,rna-XM_022430473.1
LOC111099107,1,1,1,1,1,rna-XM_022430477.1,rna-XM_022430477.1,rna-XM_022430477.1,rna-XM_022430477.1
LOC111099108,1,1,1,1,1,rna-XM_022430478.1,rna-XM_022430478.1,rna-XM_022430478.1,rna-XM_022430478.1
LOC111099109,1,1,1,1,1,rna-XM_022430482.1,rna-XM_022430482.1,rna-XM_022430482.1,rna-XM_022430482.1
LOC111099110,1,1,1,1,1,rna-XM_022430479.1,rna-XM_022430479.1,rna-XM_022430479.1,rna-XM_022430479.1
LOC111099111,1,1,1,1,1,rna-XM_022430480.1,rna-XM_022430480.1,rna-XM_022430480.1,rna-XM_022430480.1
LOC111099112,1,1,1,1,1,rna-XM_022430481.1,rna-XM_022430481.1,rna-XM_022430481.1,rna-XM_022430481.1
LOC111099113,1,1,1,1,1,rna-XR_002633630.1,rna-XR_002633630.1,rna-XR_002633630.1,rna-XR_002633630.1
LOC111099114,1,1,1,1,1,rna-XR_002633631.1,rna-XR_002633631.1,rna-XR_002633631.1,rna-XR_002633631.1
LOC111099115,1,1,1,1,1,rna-XM_022430483.1,rna-XM_022430483.1,rna-XM_022430483.1,rna-XM_022430483.1
LOC111099116,1,1,1,1,1,rna-XM_022430484.1,rna-XM_022430484.1,rna-XM_022430484.1,rna-XM_022430484.1
LOC111099117,1,1,1,1,1,rna-XM_022430485.1,rna-XM_022430485.1,rna-XM_022430485.1,rna-XM_022430485.1
LOC111099118,1,1,1,1,1,rna-XM_022430486.1,rna-XM_022430486.1,rna-XM_022430486.1,rna-XM_022430486.1
LOC111099119,1,1,1,1,1,rna-XM_022430487.1,rna-XM_022430487.1,rna-XM_022430487.1,rna-XM_022430487.1
LOC111099120,1,1,1,1,1,rna-XM_022430488.1,rna-XM_022430488.1,rna-XM_022430488.1,rna-XM_022430488.1
LOC111099121,1,1,1,1,1,rna-XM_022430492.1,rna-XM_022430492.1,rna-XM_022430492.1,rna-XM_022430492.1
LOC111099122,3,2,3,2,3,rna-XM_022430490.1,rna-XM_022430490.1,rna-XM_022430489.1,rna-XM_022430489.1
LOC111099123,1,1,1,1,1,rna-XM_022430493.1,rna-XM_022430493.1,rna-XM_022430493.1,rna-XM_022430493.1
LOC111099124,1,1,1,1,1,rna-XM_022430494.1,rna-XM_022430494.1,rna-XM_022430494.1,rna-XM_022430494.1
LOC111099125,5,3,4,3,5,rna-XM_022430498.1,rna-XM_022430496.1,rna-XM_022430497.1,rna-XM_022430498.1
LOC111099126,1,1,1,1,1,rna-XM_022430500.1,rna-XM_022430500.1,rna-XM_022430500.1,rna-XM_022430500.1
LOC111099127,3,2,3,2,3,rna-XM_022430503.1,rna-XM_022430503.1,rna-XM_022430503.1,rna-XM_022430503.1
LOC111099128,1,1,1,1,1,rna-XM_022430506.1,rna-XM_022430506.1,rna-XM_022430506.1,rna-XM_022430506.1
LOC111099129,2,2,2,2,2,rna-XR_002633633.1,rna-XR_002633633.1,rna-XR_002633632.1,rna-XR_002633633.1
LOC111099130,1,1,1,1,1,rna-XM_022430507.1,rna-XM_022430507.1,rna-XM_022430507.1,rna-XM_022430507.1
LOC111099131,1,1,1,1,1,rna-XM_022430508.1,rna-XM_022430508.1,rna-XM_022430508.1,rna-XM_022430508.1
LOC111099132,1,1,1,1,1,rna-XR_002633634.1,rna-XR_002633634.1,rna-XR_002633634.1,rna-XR_002633634.1
LOC111099133,1,2,1,4,4,rna-XM_022430511.1,rna-XM_022430511.1,rna-XM_022430511.1,rna-XM_022430511.1
LOC111099134,1,1,1,1,1,rna-XM_022430520.1,rna-XM_022430520.1,rna-XM_022430520.1,rna-XM_022430520.1
LOC111099135,4,4,3,3,4,rna-XM_022430519.1,rna-XM_022430517.1,rna-XM_022430517.1,rna-XM_022430517.1
LOC111099136,1,1,1,1,1,rna-XR_002633642.1,rna-XR_002633642.1,rna-XR_002633642.1,rna-XR_002633642.1
LOC111099137,1,1,1,1,1,rna-XM_022430521.1,rna-XM_022430521.1,rna-XM_022430521.1,rna-XM_022430521.1
LOC111099138,1,1,1,1,1,rna-XM_022430522.1,rna-XM_022430522.1,rna-XM_022430522.1,rna-XM_022430522.1
LOC111099139,2,2,1,2,2,rna-XM_022430524.1,rna-XM_022430524.1,rna-XM_022430524.1,rna-XM_022430524.1
LOC111099140,1,1,1,1,1,rna-XM_022430525.1,rna-XM_022430525.1,rna-XM_022430525.1,rna-XM_022430525.1
LOC111099141,1,1,1,1,1,rna-XM_022430526.1,rna-XM_022430526.1,rna-XM_022430526.1,rna-XM_022430526.1
LOC111099142,1,1,1,1,1,rna-XR_002633643.1,rna-XR_002633643.1,rna-XR_002633643.1,rna-XR_002633643.1
LOC111099143,1,1,1,1,1,rna-XM_022430529.1,rna-XM_022430529.1,rna-XM_022430529.1,rna-XM_022430529.1
LOC111099144,1,1,1,1,1,rna-XR_002633644.1,rna-XR_002633644.1,rna-XR_002633644.1,rna-XR_002633644.1
LOC111099145,2,1,2,1,2,rna-XR_002633645.1,rna-XR_002633645.1,rna-XR_002633645.1,rna-XR_002633645.1
LOC111099146,1,1,1,1,1,rna-XM_022430528.1,rna-XM_022430528.1,rna-XM_022430528.1,rna-XM_022430528.1
LOC111099147,2,1,2,2,2,rna-XM_022430531.1,rna-XM_022430531.1,rna-XM_022430531.1,rna-XM_022430531.1
LOC111099148,1,1,1,1,1,rna-XM_022430533.1,rna-XM_022430533.1,rna-XM_022430533.1,rna-XM_022430533.1
LOC111099149,1,1,1,1,1,rna-XR_002633647.1,rna-XR_002633647.1,rna-XR_002633647.1,rna-XR_002633647.1
LOC111099150,5,4,5,4,5,rna-XM_022430534.1,rna-XM_022430534.1,rna-XM_022430535.1,rna-XM_022430535.1
LOC111099151,2,1,2,2,2,rna-XM_022430542.1,rna-XM_022430542.1,rna-XM_022430542.1,rna-XM_022430542.1
LOC111099152,2,2,2,2,2,rna-XM_022430540.1,rna-XM_022430539.1,rna-XM_022430540.1,rna-XM_022430540.1
LOC111099153,1,1,1,1,1,rna-XM_022430541.1,rna-XM_022430541.1,rna-XM_022430541.1,rna-XM_022430541.1
LOC111099154,1,1,1,1,1,rna-XM_022430543.1,rna-XM_022430543.1,rna-XM_022430543.1,rna-XM_022430543.1
LOC111099155,1,1,1,1,1,rna-XM_022430544.1,rna-XM_022430544.1,rna-XM_022430544.1,rna-XM_022430544.1
LOC111099156,1,1,1,1,1,rna-XM_022430545.1,rna-XM_022430545.1,rna-XM_022430545.1,rna-XM_022430545.1
LOC111099157,17,14,17,15,17,rna-XM_022430556.1,rna-XM_022430550.1,rna-XM_022430552.1,rna-XM_022430552.1
LOC111099158,1,1,1,1,1,rna-XM_022430565.1,rna-XM_022430565.1,rna-XM_022430565.1,rna-XM_022430565.1
LOC111099159,1,1,1,1,1,rna-XR_002633648.1,rna-XR_002633648.1,rna-XR_002633648.1,rna-XR_002633648.1
LOC111099160,1,1,1,1,1,rna-XR_002633649.1,rna-XR_002633649.1,rna-XR_002633649.1,rna-XR_002633649.1
LOC111099161,2,2,2,2,2,rna-XM_022430566.1,rna-XM_022430566.1,rna-XM_022430566.1,rna-XM_022430566.1
LOC111099162,1,1,1,1,1,rna-XM_022430568.1,rna-XM_022430568.1,rna-XM_022430568.1,rna-XM_022430568.1
LOC111099163,1,1,1,1,1,rna-XM_022430569.1,rna-XM_022430569.1,rna-XM_022430569.1,rna-XM_022430569.1
LOC111099164,1,1,1,1,1,rna-XM_022430570.1,rna-XM_022430570.1,rna-XM_022430570.1,rna-XM_022430570.1
LOC111099165,1,1,1,1,1,rna-XM_022430573.1,rna-XM_022430573.1,rna-XM_022430573.1,rna-XM_022430573.1
LOC111099166,1,1,1,1,1,rna-XM_022430571.1,rna-XM_022430571.1,rna-XM_022430571.1,rna-XM_022430571.1
LOC111099167,1,1,1,1,1,rna-XR_002633650.1,rna-XR_002633650.1,rna-XR_002633650.1,rna-XR_002633650.1
LOC111099168,2,2,2,2,2,rna-XM_022430572.1,rna-XM_022430572.1,rna-XM_022430572.1,rna-XM_022430572.1
LOC111099169,1,1,1,1,1,rna-XM_022430574.1,rna-XM_022430574.1,rna-XM_022430574.1,rna-XM_022430574.1
LOC111099170,1,1,1,1,1,rna-XM_022430575.1,rna-XM_022430575.1,rna-XM_022430575.1,rna-XM_022430575.1
LOC111099171,5,5,5,5,5,rna-XM_022430576.1,rna-XM_022430576.1,rna-XM_022430581.1,rna-XM_022430577.1
LOC111099172,1,1,1,1,1,rna-XM_022430582.1,rna-XM_022430582.1,rna-XM_022430582.1,rna-XM_022430582.1
LOC111099173,1,1,1,1,1,rna-XM_022430583.1,rna-XM_022430583.1,rna-XM_022430583.1,rna-XM_022430583.1
LOC111099174,2,2,2,1,2,rna-XM_022430594.1,rna-XM_022430594.1,rna-XM_022430586.1,rna-XM_022430586.1
LOC111099175,1,1,1,1,1,rna-XM_022430584.1,rna-XM_022430584.1,rna-XM_022430584.1,rna-XM_022430584.1
LOC111099176,1,1,1,1,1,rna-XM_022430585.1,rna-XM_022430585.1,rna-XM_022430585.1,rna-XM_022430585.1
LOC111099177,1,1,1,1,1,rna-XR_002633652.1,rna-XR_002633652.1,rna-XR_002633652.1,rna-XR_002633652.1
LOC111099178,1,1,1,1,1,rna-XM_022430587.1,rna-XM_022430587.1,rna-XM_022430587.1,rna-XM_022430587.1
LOC111099179,1,1,1,1,1,rna-XM_022430588.1,rna-XM_022430588.1,rna-XM_022430588.1,rna-XM_022430588.1
LOC111099180,1,1,1,1,1,rna-XM_022430589.1,rna-XM_022430589.1,rna-XM_022430589.1,rna-XM_022430589.1
LOC111099181,1,1,2,1,2,rna-XM_022430590.1,rna-XM_022430591.1,rna-XM_022430590.1,rna-XM_022430590.1
LOC111099182,1,1,1,1,1,rna-XM_022430592.1,rna-XM_022430592.1,rna-XM_022430592.1,rna-XM_022430592.1
LOC111099183,1,1,1,1,1,rna-XM_022430593.1,rna-XM_022430593.1,rna-XM_022430593.1,rna-XM_022430593.1
LOC111099184,1,1,1,1,1,rna-XM_022430595.1,rna-XM_022430595.1,rna-XM_022430595.1,rna-XM_022430595.1
LOC111099185,1,1,1,1,1,rna-XM_022430596.1,rna-XM_022430596.1,rna-XM_022430596.1,rna-XM_022430596.1
LOC111099186,1,1,1,1,1,rna-XM_022430597.1,rna-XM_022430597.1,rna-XM_022430597.1,rna-XM_022430597.1
LOC111099187,1,1,1,1,1,rna-XR_002633653.1,rna-XR_002633653.1,rna-XR_002633653.1,rna-XR_002633653.1
LOC111099188,1,1,1,1,1,rna-XM_022430598.1,rna-XM_022430598.1,rna-XM_022430598.1,rna-XM_022430598.1
LOC111099189,1,1,1,1,1,rna-XR_002633654.1,rna-XR_002633654.1,rna-XR_002633654.1,rna-XR_002633654.1
LOC111099190,1,2,1,2,2,rna-XM_022430599.1,rna-XM_022430599.1,rna-XM_022430599.1,rna-XM_022430599.1
LOC111099191,1,1,1,1,1,rna-XM_022430603.1,rna-XM_022430603.1,rna-XM_022430603.1,rna-XM_022430603.1
LOC111099192,1,1,1,1,1,rna-XM_022430601.1,rna-XM_022430601.1,rna-XM_022430601.1,rna-XM_022430601.1
LOC111099193,1,1,1,1,1,rna-XM_022430602.1,rna-XM_022430602.1,rna-XM_022430602.1,rna-XM_022430602.1
LOC111099194,19,11,15,11,19,rna-XM_022430620.1,rna-XM_022430620.1,rna-XM_022430607.1,rna-XM_022430605.1
LOC111099195,1,1,1,1,1,rna-XM_022430618.1,rna-XM_022430618.1,rna-XM_022430618.1,rna-XM_022430618.1
LOC111099196,5,2,6,4,6,rna-XM_022430627.1,rna-XM_022430627.1,rna-XM_022430623.1,rna-XM_022430623.1
LOC111099197,1,1,1,1,1,rna-XM_022430630.1,rna-XM_022430630.1,rna-XM_022430630.1,rna-XM_022430630.1
LOC111099198,1,2,2,2,2,rna-XR_002633658.1,rna-XR_002633659.1,rna-XR_002633659.1,rna-XR_002633659.1
LOC111099199,2,2,1,2,2,rna-XM_022430628.1,rna-XM_022430628.1,rna-XM_022430628.1,rna-XM_022430628.1
LOC111099200,1,1,1,1,1,rna-XM_022430631.1,rna-XM_022430631.1,rna-XM_022430631.1,rna-XM_022430631.1
LOC111099201,1,1,1,1,1,rna-XM_022430632.1,rna-XM_022430632.1,rna-XM_022430632.1,rna-XM_022430632.1
LOC111099202,1,1,1,1,1,rna-XM_022430633.1,rna-XM_022430633.1,rna-XM_022430633.1,rna-XM_022430633.1
LOC111099203,1,1,1,1,1,rna-XM_022430634.1,rna-XM_022430634.1,rna-XM_022430634.1,rna-XM_022430634.1
LOC111099204,1,1,0,1,1,rna-XM_022430635.1,rna-XM_022430635.1,rna-XM_022430635.1,rna-XM_022430635.1
LOC111099205,1,1,1,1,1,rna-XM_022430636.1,rna-XM_022430636.1,rna-XM_022430636.1,rna-XM_022430636.1
LOC111099206,4,2,2,2,4,rna-XM_022430637.1,rna-XM_022430637.1,rna-XM_022430638.1,rna-XM_022430638.1
LOC111099207,1,1,1,1,1,rna-XM_022430642.1,rna-XM_022430642.1,rna-XM_022430642.1,rna-XM_022430642.1
LOC111099208,1,1,1,1,1,rna-XR_002633660.1,rna-XR_002633660.1,rna-XR_002633660.1,rna-XR_002633660.1
LOC111099209,1,1,1,1,1,rna-XM_022430641.1,rna-XM_022430641.1,rna-XM_022430641.1,rna-XM_022430641.1
LOC111099210,1,1,1,1,1,rna-XM_022430643.1,rna-XM_022430643.1,rna-XM_022430643.1,rna-XM_022430643.1
LOC111099211,1,1,1,1,1,rna-XM_022430644.1,rna-XM_022430644.1,rna-XM_022430644.1,rna-XM_022430644.1
LOC111099212,1,1,1,1,1,rna-XM_022430645.1,rna-XM_022430645.1,rna-XM_022430645.1,rna-XM_022430645.1
LOC111099213,1,1,1,1,1,rna-XM_022430646.1,rna-XM_022430646.1,rna-XM_022430646.1,rna-XM_022430646.1
LOC111099214,1,1,1,1,1,rna-XM_022430647.1,rna-XM_022430647.1,rna-XM_022430647.1,rna-XM_022430647.1
LOC111099215,1,1,1,1,1,rna-XM_022430648.1,rna-XM_022430648.1,rna-XM_022430648.1,rna-XM_022430648.1
LOC111099216,1,1,1,1,1,rna-XM_022430649.1,rna-XM_022430649.1,rna-XM_022430649.1,rna-XM_022430649.1
LOC111099217,4,4,4,4,4,rna-XM_022430671.1,rna-XM_022430653.1,rna-XM_022430663.1,rna-XM_022430663.1
LOC111099218,1,1,1,1,1,rna-XM_022430650.1,rna-XM_022430650.1,rna-XM_022430650.1,rna-XM_022430650.1
LOC111099219,1,1,1,1,1,rna-XM_022430651.1,rna-XM_022430651.1,rna-XM_022430651.1,rna-XM_022430651.1
LOC111099220,2,2,2,2,2,rna-XM_022430654.1,rna-XM_022430654.1,rna-XM_022430652.1,rna-XM_022430652.1
LOC111099221,1,1,1,1,1,rna-XM_022430655.1,rna-XM_022430655.1,rna-XM_022430655.1,rna-XM_022430655.1
LOC111099222,6,3,4,4,6,rna-XM_022430656.1,rna-XM_022430656.1,rna-XM_022430660.1,rna-XM_022430660.1
LOC111099223,1,1,1,1,1,rna-XR_002633661.1,rna-XR_002633661.1,rna-XR_002633661.1,rna-XR_002633661.1
LOC111099224,1,1,1,1,1,rna-XM_022430664.1,rna-XM_022430664.1,rna-XM_022430664.1,rna-XM_022430664.1
LOC111099225,1,1,1,1,1,rna-XM_022430665.1,rna-XM_022430665.1,rna-XM_022430665.1,rna-XM_022430665.1
LOC111099226,1,1,1,1,1,rna-XM_022430666.1,rna-XM_022430666.1,rna-XM_022430666.1,rna-XM_022430666.1
LOC111099227,3,2,3,2,3,rna-XM_022430667.1,rna-XM_022430668.1,rna-XM_022430667.1,rna-XM_022430667.1
LOC111099228,1,1,1,1,1,rna-XM_022430670.1,rna-XM_022430670.1,rna-XM_022430670.1,rna-XM_022430670.1
LOC111099229,1,1,1,1,1,rna-XM_022430672.1,rna-XM_022430672.1,rna-XM_022430672.1,rna-XM_022430672.1
LOC111099230,2,2,1,2,2,rna-XM_022430674.1,rna-XM_022430673.1,rna-XM_022430673.1,rna-XM_022430673.1
LOC111099246,1,1,1,1,1,rna-XM_022430676.1,rna-XM_022430676.1,rna-XM_022430676.1,rna-XM_022430676.1
LOC111099262,1,1,1,1,1,rna-XM_022430677.1,rna-XM_022430677.1,rna-XM_022430677.1,rna-XM_022430677.1
LOC111099278,1,1,1,1,1,rna-XR_002633662.1,rna-XR_002633662.1,rna-XR_002633662.1,rna-XR_002633662.1
LOC111099289,1,1,1,1,1,rna-XR_002633663.1,rna-XR_002633663.1,rna-XR_002633663.1,rna-XR_002633663.1
LOC111099300,2,2,2,2,2,rna-XM_022430678.1,rna-XM_022430678.1,rna-XM_022430678.1,rna-XM_022430678.1
LOC111099316,1,1,1,1,1,rna-XM_022430684.1,rna-XM_022430684.1,rna-XM_022430684.1,rna-XM_022430684.1
