gene	SPID
LOC111111234	P0CT40
LOC111103358	B3EWY9
LOC111103323	B3EWY9
LOC111103371	P10079
LOC111103390	Q8BMG8
LOC111103401	Q7T3T2
LOC111103364	Q7ZWG6
LOC111103418	Q2NKV8
LOC111114348	Q8BMG8
LOC111113021	Q7T3T2
LOC111099041	Q7ZWG6
LOC111099044	P10181
LOC111106990	Q2NKV8
LOC111127424	Q7SXT7
LOC111127416	Q9Z2D0
LOC111137796	Q9P2K5
LOC111137367	Q5UPG5
LOC111105370	Q3SXM5
LOC111105035	O70511
LOC111105035	G5E8K5
LOC111131375	Q5EA98
LOC111121096	Q66IZ5
LOC111119818	Q7TPN3
LOC111134598	O76902
LOC111134598	Q5ZLY5
LOC111135077	Q8WQI5
LOC111125571	Q13188
LOC111125589	Q0VC84
LOC111099659	Q5ZM39
LOC111128222	Q96RT8
LOC111100637	Q9DBU3
LOC111111564	A1E295
LOC111132545	P07872
LOC111132570	Q4KLT0
LOC111130808	B4KD90
LOC111132626	O43719
LOC111115085	P07872
LOC111137561	Q4KLT0
LOC111110225	Q9WTP3
LOC111104106	Q9WTP3
LOC111125887	Q5TC84
LOC111125896	B2GUP8
LOC111125882	Q5TC84
LOC111127890	P21956
LOC111119531	O70511
LOC111125338	Q9Y345
LOC111130840	Q9Y345
LOC111127317	P15822
LOC111128774	Q9UHN6
LOC111130848	P25071
LOC111123891	Q8NB78
LOC111110267	P08021
LOC111111488	Q6Q899
LOC111130870	Q6Q899
LOC111129292	Q6N075
LOC111110900	Q6NU94
LOC111110891	Q494W8
LOC111110884	P43143
LOC111123767	Q9GZZ6
LOC111127104	Q14117
LOC111100578	P55265
LOC111130876	Q61542
LOC111101103	Q09388
LOC111130886	Q6NWC6
LOC111099410	Q8IWY4
LOC111109848	P82890
LOC111109839	A9ULX8
LOC111134162	A0FKN5
LOC111109628	Q6UX65
LOC111103508	P0DMV5
LOC111137420	Q2KJI2
LOC111137407	Q0IHI6
LOC111111015	P13706
LOC111100511	A0A1W2PR95
LOC111101857	Q1L8G7
LOC111114229	Q9CZN7
LOC111129231	Q91WV7
LOC111120179	Q9VE46
LOC111120179	Q9GZV3
LOC111100957	Q00969
LOC111130926	Q5ZMC3
LOC111130935	Q9UIF8
LOC111115104	Q6P135
LOC111100011	Q24583
LOC111114772	Q30HU9
LOC111120471	P23683
LOC111122025	P50476
LOC111105859	Q0X0C4
LOC111135084	Q8WUM4
LOC111135084	Q9W6C5
LOC111123961	Q64261
LOC111123943	Q6P2X9
LOC111123922	Q6P2X9
LOC111108835	O94925
LOC111108835	D3Z7P3
LOC111109472	Q8BHL8
LOC111100372	Q6NS23
LOC111137060	Q6TGY8
LOC111137068	Q26630
LOC111134266	B5X4E0
LOC111114134	Q7YQK9
LOC111132223	Q8INF0
LOC111132259	Q9Y264
LOC111132242	Q13426
LOC111132201	O97827
LOC111132269	Q7LL04
LOC111132215	Q8CF97
LOC111132290	P11845
LOC111138481	Q8BTK5
LOC111138488	Q99P31
LOC111137818	Q01460
LOC111126382	Q9Y6J0
LOC111126395	Q4KM31
LOC111126395	Q8BGB5
LOC111126395	Q9BT23
LOC111138441	Q6DCC6
LOC111138463	P83877
LOC111137635	Q6GNV7
LOC111137629	Q6GNV7
LOC111110435	E7FE40
LOC111101089	O94889
LOC111135918	P20481
LOC111132155	Q8BH18
LOC111132171	Q9CR89
LOC111115278	Q8NFZ3
LOC111118051	Q6DF57
LOC111101512	Q96DI7
LOC111101521	P36544
LOC111128808	Q5W0Q7
LOC111100849	B3A003
LOC111108767	P35251
LOC111131814	Q60519
LOC111130762	Q8K2A1
LOC111130762	Q9UBP9
LOC111109437	Q9VN14
LOC111127446	Q91660
LOC111102092	P30415
LOC111115194	Q6DHC3
LOC111121700	P05099
LOC111105495	Q99715
LOC111110207	Q99715
LOC111099502	P31335
LOC111105709	Q6DDG2
LOC111101208	B3A0R6
LOC111125391	Q13136
LOC111125391	O75334
LOC111118239	Q66IV1
LOC111118239	Q3UR85
LOC111135155	Q15155
LOC111104770	F7D3V9
LOC111138286	Q99PP7
LOC111138286	Q9UPN9
LOC111115832	A1L157
LOC111125536	O35607
LOC111099029	A7T1N0
LOC111115167	P54357
LOC111105919	Q02337
LOC111114604	Q02337
LOC111120595	Q5F3K4
LOC111108095	Q3MHW0
LOC111122680	P23708
LOC111122680	P23511
LOC111107343	O77302
LOC111102428	Q8BJT9
LOC111102429	B2RXR6
LOC111137979	Q8R367
LOC111122131	Q9BVK2
LOC111108825	O35796
LOC111120824	P08836
LOC111100895	Q7T1N4
LOC111100900	Q8BQ89
LOC111109095	Q8WVM8
LOC111137279	A6H782
LOC111119627	Q8AVD3
LOC111099614	Q63186
LOC111119437	Q9JHI0
LOC111136495	Q3UIR3
LOC111131135	Q9WVK3
LOC111116870	A2VDC2
LOC111099165	Q8NEV4
LOC111111855	Q5RHP9
LOC111111942	Q6Y1H2
LOC111111942	Q9D3B1
LOC111120324	Q6P829
LOC111131144	O95076
LOC111137483	Q4R6V2
LOC111112613	Q7Z4L5
LOC111129301	Q66II8
LOC111129281	P08510
LOC111129311	Q4V7T8
LOC111129293	Q5M7C8
LOC111138311	P29294
LOC111100708	P62278
LOC111111509	Q7ZXF5
LOC111102384	Q9HBU6
LOC111110039	Q6P829
LOC111110003	Q6P829
LOC111110047	Q9D3B1
LOC111123556	Q5RHP9
LOC111123147	Q8NEV4
LOC111118132	A2VDC2
LOC111099670	Q9WVK3
LOC111135806	Q3UIR3
LOC111121406	Q9JHI0
LOC111099300	Q63186
LOC111099327	Q9WTP6
LOC111134864	A6H782
LOC111112865	Q8WVM8
LOC111109163	Q8BQ89
LOC111112100	Q7T1N4
LOC111113141	P08836
LOC111119638	O35796
LOC111121994	Q9BVK2
LOC111135781	Q8R367
LOC111100976	B2RXR6
LOC111100967	Q8BJT9
LOC111137591	O77302
LOC111102168	P23511
LOC111102168	P23708
LOC111113131	Q3MHW0
LOC111128387	Q5F3K4
LOC111128408	Q02337
LOC111128397	Q02337
LOC111127825	P54357
LOC111112589	A7T1N0
LOC111126353	O35607
LOC111110084	Q9D1D1
LOC111104824	Q99PP7
LOC111105569	F7D3V9
LOC111132834	Q9NZC7
LOC111132822	Q15155
LOC111121313	Q3UR85
LOC111121313	Q66IV1
LOC111134625	Q13136
LOC111134625	O75334
LOC111134661	B3A0R6
LOC111134653	Q6DDG2
LOC111100544	P31335
LOC111131222	P21941
LOC111107153	Q99715
LOC111107424	P05099
LOC111115710	Q6DHC3
LOC111138167	P30415
LOC111126487	Q91660
LOC111109595	Q9VN14
LOC111136229	Q9UBP9
LOC111136229	Q8K2A1
LOC111124937	Q60519
LOC111124949	P15043
LOC111131355	P35251
LOC111110293	B3A003
LOC111129895	Q5W0Q7
LOC111129905	Q27218
LOC111134281	Q6AZB8
LOC111134213	P54131
LOC111113115	Q6PE01
LOC111116159	Q8N0W4
LOC111129074	Q9CR89
LOC111129081	Q8BH18
LOC111123000	P20481
LOC111119417	Q9P000
LOC111119417	Q2TBN5
LOC111113709	F1N2K1
LOC111135116	Q6GQ69
LOC111135121	P30568
LOC111116885	P30568
LOC111110424	Q9D5I4
LOC111131248	B6RSP1
LOC111131259	P78524
LOC111120067	Q56K03
LOC111117993	O95461
LOC111117969	Q4QRH7
LOC111132205	Q27218
LOC111115045	P36544
LOC111119840	P36544
LOC111131319	Q27218
LOC111101737	A0A1B0GTJ6
LOC111101743	A2AJL3
LOC111113022	Q801S4
LOC111128868	Q68FR2
LOC111128838	O60674
LOC111134535	A2AJX4
LOC111131329	Q5VYJ5
LOC111131341	B3EWZ5
LOC111104350	B3EWZ6
LOC111104327	B3EWZ6
LOC111104302	O60674
LOC111104344	B3EWZ6
LOC111131346	B3EWZ5
LOC111104389	B3EWZ5
LOC111104377	B3EWZ5
LOC111131377	B3EWZ6
LOC111104366	A2AJX4
LOC111104335	Q75R65
LOC111137004	Q68FR2
LOC111134209	Q7Z407
LOC111131385	Q9BUE0
LOC111099064	Q9PTU6
LOC111101542	A2VE56
LOC111116653	Q9Z2J0
LOC111116664	Q9Y6R7
LOC111116509	Q61555
LOC111116519	P98203
LOC111116615	Q96GX5
LOC111116630	Q2KJE0
LOC111116740	P13707
LOC111116748	A0A159BP93
LOC111116581	Q9VN14
LOC111116714	P98095
LOC111128797	Q90670
LOC111122067	Q8N5I4
LOC111110283	Q922J9
LOC111109562	B3EWZ5
LOC111122283	Q8N5I4
LOC111126321	Q90670
LOC111099195	P98095
LOC111137309	Q9VN14
LOC111131398	A0A159BP93
LOC111102789	P13707
LOC111133771	Q2KJE0
LOC111133771	Q5R4U3
LOC111117050	Q96GX5
LOC111114913	P98203
LOC111138500	Q61555
LOC111138517	O88322
LOC111099033	Q9Z2J0
LOC111102545	A2VE56
LOC111131407	A8E627
LOC111131411	Q9BUE0
LOC111133804	Q7Z407
LOC111131438	Q7Z407
LOC111099722	B3EWZ5
LOC111110943	Q1JP63
LOC111131148	Q9EPL8
LOC111104157	O14095
LOC111128427	P43935
LOC111128419	Q5ZLN8
LOC111131506	O88974
LOC111125267	P50219
LOC111135310	Q8AXS6
LOC111125302	Q91677
LOC111136703	Q24400
LOC111136692	O89110
LOC111131527	Q0P466
LOC111100092	Q23551
LOC111100144	P16157
LOC111100315	Q23551
LOC111100100	P16157
LOC111131553	P16157
LOC111100177	Q96DM1
LOC111105935	Q15746
LOC111105943	P16157
LOC111100135	P16157
LOC111105980	Q8TDB6
LOC111122110	P0DH96
LOC111119734	Q2KIC2
LOC111122823	Q9Y6T7
LOC111101029	Q9JKP8
LOC111120685	B3EWZ6
LOC111116013	Q2XXQ1
LOC111103080	Q63690
LOC111120900	Q9PTU1
LOC111106021	Q3UR70
LOC111122911	Q28619
LOC111102738	P34275
LOC111102738	P71359
LOC111102753	Q1LZ71
LOC111102762	Q2KIR1
LOC111132179	P42669
LOC111136085	O95628
LOC111105313	B3EWZ5
LOC111131850	Q922J9
LOC111120534	Q96A58
LOC111120886	Q9NU22
LOC111138426	P78329
LOC111138433	Q9RAH6
LOC111104401	G3MWR8
LOC111111194	Q9NW08
LOC111125438	Q9BWV7
LOC111113174	Q8R512
LOC111106151	P23811
LOC111111059	P25107
LOC111111133	P25107
LOC111110520	P83618
LOC111101228	B4F7A7
LOC111099102	Q566M1
LOC111133968	P16157
LOC111134951	Q7T3C7
LOC111126296	O60244
LOC111136853	P55918
LOC111106194	A7M7C7
LOC111103459	Q3SZZ7
LOC111126159	A1L3F4
LOC111132855	Q9UPW5
LOC111101764	P0CB96
LOC111106215	P46023
LOC111111651	Q66JT5
LOC111111579	O08856
LOC111111606	A0A2L0VBG2
LOC111111571	Q6NWW5
LOC111111622	Q09638
LOC111133491	Q6GQQ9
LOC111102183	Q8BNU0
LOC111119998	Q501Z5
LOC111134307	Q3T0Y3
LOC111134291	Q6IMI6
LOC111134301	Q6IMI6
LOC111112745	Q3T0C2
LOC111104902	Q5VU97
LOC111104902	Q6PDJ1
LOC111103542	Q6PDJ1
LOC111114476	Q6PDJ1
LOC111103992	Q28BQ6
LOC111129328	Q8BZ20
LOC111126993	Q68F99
LOC111103659	A2BGM5
LOC111123242	O46037
LOC111137396	Q9Y512
LOC111136967	Q4G0N8
LOC111113171	Q28F07
LOC111120762	O60494
LOC111136976	P56192
LOC111123818	Q8CJG0
LOC111123848	Q8Q0U0
LOC111123828	Q6DFC8
LOC111123884	Q8K2I4
LOC111100029	A0A0G2KQY6
LOC111126972	Q9V9A8
LOC111136067	Q5ZKL6
LOC111136324	Q9P109
LOC111136299	Q5JCT0
LOC111111947	Q8CH87
LOC111123692	Q9P109
LOC111106297	Q9P109
LOC111106303	P71359
LOC111106312	B3EWY9
LOC111115897	Q9P109
LOC111115873	B3EWY9
LOC111115889	B3EWY9
LOC111115907	O50655
LOC111100353	G3V801
LOC111101598	Q80TP3
LOC111116607	Q8K078
LOC111122145	Q9ULU4
LOC111122190	Q6DED0
LOC111124236	Q6NV04
LOC111124218	Q569T7
LOC111124218	A4QN56
LOC111125038	P12812
LOC111124955	Q9WTX6
LOC111122471	B0BN95
LOC111099826	Q9EQ06
LOC111099808	Q13895
LOC111104113	Q20930
LOC111134767	Q9HAB8
LOC111134756	Q5RGJ5
LOC111124399	Q32NQ7
LOC111124410	Q5R9J9
LOC111124372	Q8N448
LOC111136915	Q6P2X9
LOC111136892	Q503M4
LOC111136892	Q7RTX9
LOC111106403	O95395
LOC111108249	Q71SG7
LOC111109201	Q71SG7
LOC111106419	Q7LHG5
LOC111118167	B7Z0W9
LOC111124643	Q9W6I0
LOC111124652	P11064
LOC111124639	Q8BKZ9
LOC111112607	A2RU67
LOC111135290	Q9VFC8
LOC111104064	H2A0M7
LOC111122693	H2A0M7
LOC111101430	H2A0M7
LOC111106437	P07271
LOC111115176	Q96MM6
LOC111105732	Q96MM6
LOC111116119	O43301
LOC111116100	Q96MM6
LOC111138003	Q96IG2
LOC111126828	Q0III3
LOC111126828	Q29RQ3
LOC111126828	O88487
LOC111132794	Q61830
LOC111101359	Q28262
LOC111101340	P12821
LOC111101313	Q8N392
LOC111118200	Q8VHI3
LOC111102634	Q9H1D0
LOC111130465	Q8VHI3
LOC111130390	Q9I8C7
LOC111130318	O02833
LOC111130311	P35858
LOC111130286	Q0P5X1
LOC111130286	Q96JM4
LOC111130344	Q5NUA6
LOC111130501	Q5XJN2
LOC111130325	Q9UKV8
LOC111130325	Q8CJG0
LOC111130325	Q9QZ81
LOC111130305	P10076
LOC111130459	Q96D46
LOC111130520	Q99L48
LOC111106509	Q99L48
LOC111130539	Q99L48
LOC111124874	P36241
LOC111124867	P52034
LOC111111334	Q6NW52
LOC111105971	Q9ES88
LOC111124007	P37967
LOC111099079	Q4KMD7
LOC111105249	Q8NI08
LOC111106570	Q8NI08
LOC111128753	Q58DT4
LOC111128747	Q17QJ7
LOC111106579	Q9ZQ47
LOC111120346	Q9ZQ47
LOC111113787	Q32LB5
LOC111113491	Q32LB5
LOC111121724	Q32LB5
LOC111106608	Q32LB5
LOC111113589	Q32LB5
LOC111125612	Q32LB5
LOC111110699	Q9ET66
LOC111134337	Q9V3J1
LOC111128999	B3EWY9
LOC111129024	Q53T59
LOC111135878	Q8IZ41
LOC111135878	Q08CX1
LOC111136934	Q8C7R7
LOC111126049	Q9ULW3
LOC111126007	Q3TZZ7
LOC111119661	Q5GRG2
LOC111100718	B3EWZ6
LOC111106640	B3EWZ6
LOC111106643	B3EWZ6
LOC111100729	B3EWZ6
LOC111129668	O95395
LOC111102695	Q5BKR2
LOC111135015	P70365
LOC111135015	Q61026
LOC111115675	Q14693
LOC111115675	Q92539
LOC111109028	Q91WU0
LOC111109043	Q91WU0
LOC111109066	A0JM12
LOC111112404	Q7LFX5
LOC111106657	Q9N293
LOC111137355	Q9MYM7
LOC111137368	O14495
LOC111104070	P78417
LOC111106676	O75030
LOC111100940	Q32KI9
LOC111103869	Q9VX32
LOC111099982	Q6PEC4
LOC111120111	Q29K06
LOC111106696	Q9UJ83
LOC111129431	E2RFJ3
LOC111120042	Q24372
LOC111118963	Q3SYZ4
LOC111129777	Q94887
LOC111119853	P97402
LOC111137675	Q5JVG2
LOC111104085	Q5TZ51
LOC111113238	Q7KRY7
LOC111113238	Q4H4B6
LOC111111336	Q0V9W6
LOC111118274	Q7ZV80
LOC111112096	Q5RID7
LOC111108303	Q66I21
LOC111114159	O17185
LOC111116412	O17185
LOC111114996	O17185
LOC111100444	Q5ZID0
LOC111099049	Q7Z0T3
LOC111102570	Q7Z0T3
LOC111109133	Q7Z0T3
LOC111106737	Q14517
LOC111106743	P49286
LOC111120486	P46428
LOC111137933	D3YXG0
LOC111137933	A2AJ76
LOC111135967	Q8WV41
LOC111135967	Q6NRL2
LOC111135967	Q91VH2
LOC111135947	A7T1N0
LOC111103306	Q6P5F6
LOC111106753	Q2HJ10
LOC111116763	Q99JY8
LOC111129824	Q805F9
LOC111129829	O93257
LOC111124173	P56655
LOC111124155	E2RDV1
LOC111136961	P23034
LOC111136968	O14929
LOC111132332	Q9VA73
LOC111119427	Q3T142
LOC111115999	Q32LB5
LOC111113833	Q3UDR8
LOC111138258	A4IGP0
LOC111106766	A3KPN8
LOC111138213	P20965
LOC111138249	A3KPN8
LOC111138235	Q13310
LOC111115939	Q9I8C7
LOC111134997	Q5XI42
LOC111124684	F8WLE0
LOC111124723	Q9W0Y2
LOC111124695	Q6GP15
LOC111101916	Q9Z2K9
LOC111101925	Q5E946
LOC111131799	Q8T773
LOC111116966	Q6GL69
LOC111115391	O75899
LOC111127234	P17655
LOC111111022	O96567
LOC111110396	O96567
LOC111116772	Q2HJ10
LOC111103740	Q9BRI3
LOC111103920	P22105
LOC111118643	A2XYY8
LOC111110636	B1H349
LOC111110658	Q5EA40
LOC111106788	Q8C206
LOC111100381	Q28H54
LOC111128016	Q9UPR0
LOC111124619	D2HBJ8
LOC111123898	Q6AYS4
LOC111125844	P00639
LOC111125855	P00639
LOC111125873	P00639
LOC111125865	P49183
LOC111136736	O05527
LOC111136710	Q3UUJ4
LOC111136729	Q6NZ09
LOC111103474	P62205
LOC111127822	Q96BK5
LOC111127799	Q62910
LOC111126137	Q8IYE1
LOC111101440	O35165
LOC111112008	Q6AXX1
LOC111106806	Q499Z3
LOC111122397	Q499Z3
LOC111123744	B1WBP0
LOC111123744	O15442
LOC111113188	Q9VXT2
LOC111113188	Q58E03
LOC111132922	P28660
LOC111133016	P28660
LOC111114715	Q54271
LOC111114753	P50225
LOC111114753	Q8BGL3
LOC111114743	Q8BGL3
LOC111114734	Q8BGL3
LOC111136753	Q8BGL3
LOC111136745	Q8BGL3
LOC111125327	Q8BGL3
LOC111125322	Q8BGL3
LOC111125332	Q8BGL3
LOC111106823	Q9BR01
LOC111099835	Q2YDS5
LOC111112909	Q9TRY0
LOC111124350	A4QNW7
LOC111124596	Q9Y493
LOC111110565	Q64424
LOC111105911	Q90352
LOC111106833	P61315
LOC111109612	P86785
LOC111109603	H2A0L3
LOC111099518	P86954
LOC111114027	Q6NRW0
LOC111115600	Q9N294
LOC111112959	P97283
LOC111137522	O75901
LOC111113887	A8CEP3
LOC111135369	A0MSJ1
LOC111135375	Q9Y600
LOC111135364	P02466
LOC111138187	Q5RAP9
LOC111108200	Q9V3H2
LOC111104818	Q52KK3
LOC111123994	Q80U58
LOC111124003	P02595
LOC111121836	Q64336
LOC111110935	B9A8D7
LOC111122347	Q5SPP0
LOC111102815	Q9D3D0
LOC111102815	Q9BTX7
LOC111104504	Q32PH0
LOC111099109	P0C0T0
LOC111137235	Q86Y82
LOC111101507	Q3SZQ6
LOC111124361	B0W6M9
LOC111132880	H2A0L6
LOC111121092	P86956
LOC111126518	Q9QYP1
LOC111126338	O00443
LOC111126338	Q5RAY1
LOC111133100	O82480
LOC111130356	Q5RD73
LOC111130213	Q5N870
LOC111130280	Q642H7
LOC111128351	O95922
LOC111128360	Q8K1A5
LOC111128360	Q5BJD5
LOC111128345	Q08C92
LOC111105193	P82596
LOC111105183	P20693
LOC111108963	P82596
LOC111126467	Q53GQ0
LOC111126458	Q5U4X5
LOC111126456	O43909
LOC111125294	Q99K70
LOC111106860	Q96DM1
LOC111134137	Q9JHA8
LOC111134144	Q6MG64
LOC111119470	Q8NFT8
LOC111135217	Q8IYG6
LOC111105144	P86854
LOC111105133	Q5ZLT7
LOC111137315	Q5ZKJ4
LOC111125761	Q8VI63
LOC111109819	Q9NTG7
LOC111136838	Q68FR3
LOC111110416	Q9DGD1
LOC111119515	Q6DE37
LOC111133395	P14198
LOC111133388	O75886
LOC111129693	Q9JIS1
LOC111129693	Q9EQZ7
LOC111105869	Q32PP1
LOC111109659	Q5RKH6
LOC111123169	Q9JLB4
LOC111105291	Q9JLB4
LOC111124836	Q566I1
LOC111106892	Q9M2U3
LOC111103708	G5CTG2
LOC111102415	G5CTG2
LOC111119595	Q9VZW5
LOC111106903	O75095
LOC111099217	O88281
LOC111099262	O88281
LOC111124340	Q5I0X7
LOC111124329	Q9BSV6
LOC111124297	Q28BS0
LOC111103647	Q5U3Y0
LOC111133268	Q95KI5
LOC111115300	O70230
LOC111101291	Q6IMK3
LOC111128122	P79134
LOC111128139	Q8JIU7
LOC111138113	O75095
LOC111138107	O75095
LOC111138099	Q80V70
LOC111106923	Q9R0W9
LOC111122323	O95925
LOC111125201	A6NJ78
LOC111119066	Q4KLQ5
LOC111135260	Q9JHA8
LOC111135282	Q9JHA8
LOC111135788	Q5R6L5
LOC111127397	Q2VJ60
LOC111124154	Q9C509
LOC111106943	A7SCH8
LOC111124262	Q9CXF0
LOC111124480	Q4V7R4
LOC111125544	Q5XHF9
LOC111125544	Q28E01
LOC111128568	Q96NG3
LOC111128582	Q7ZU45
LOC111120051	Q9MYP6
LOC111133592	Q9CZE3
LOC111133577	Q6AY78
LOC111135381	Q59E55
LOC111104835	Q9NGC3
LOC111104835	Q96P47
LOC111105000	A7RHL5
LOC111112925	A1A4L0
LOC111124544	A2AG06
LOC111128534	P60330
LOC111128436	Q14674
LOC111128487	Q5RBP9
LOC111128524	Q6AZB8
LOC111128494	Q95M12
LOC111131673	Q6DG22
LOC111131660	Q3UPY5
LOC111131664	Q9W4Y2
LOC111133500	Q800K6
LOC111137110	Q0V7M8
LOC111127289	Q9U639
LOC111136152	Q5ZKQ7
LOC111136106	Q9C0H5
LOC111136284	Q86YI8
LOC111132803	Q5ZIM6
LOC111132815	Q69ZN6
LOC111102943	Q9JK81
LOC111113991	Q01528
LOC111099851	E9R598
LOC111113091	S8FGV1
LOC111102020	Q93YS4
LOC111133560	Q05695
LOC111125905	Q9EQW7
LOC111125940	Q80X72
LOC111125980	B7Q2M2
LOC111125946	Q6DGE9
LOC111125951	Q921X9
LOC111119391	Q9Y7Y3
LOC111116995	P25787
LOC111099174	Q9H777
LOC111103784	Q8N865
LOC111134017	Q91035
LOC111120136	Q9VN14
LOC111120143	Q9Y6N9
LOC111119612	Q0V7M8
LOC111135409	Q5RAV9
LOC111118748	Q3UHU5
LOC111134518	Q91XQ5
LOC111134528	P28825
LOC111131167	P12394
LOC111131186	Q6SKR2
LOC111113514	Q66HE2
LOC111103519	A8MV24
LOC111129968	Q6DDJ3
LOC111129469	Q6DDJ3
LOC111102465	O46503
LOC111113042	Q3UPW2
LOC111138032	Q9DGD1
LOC111101050	P10688
LOC111122072	Q6NTN5
LOC111109989	A1A4M2
LOC111113370	P51661
LOC111104618	Q60547
LOC111100699	Q9WVQ5
LOC111105084	Q8TC57
LOC111105066	Q9H0A0
LOC111130267	Q9ULI1
LOC111102531	Q61603
LOC111104462	P24453
LOC111130517	P24453
LOC111102456	P12938
LOC111099643	Q9WUW8
LOC111099652	A0A2K5X3B6
LOC111107083	P31580
LOC111107091	Q04786
LOC111107114	Q75WF2
LOC111120206	Q9QZK8
LOC111114918	P57756
LOC111104714	Q29042
LOC111104750	Q5I2E5
LOC111104697	Q5I2E5
LOC111104697	Q29041
LOC111104758	Q96DM1
LOC111107146	Q09575
LOC111104737	Q29042
LOC111127299	Q5I2E5
LOC111103048	P24153
LOC111134008	Q14008
LOC111137861	P29972
LOC111114684	Q8N584
LOC111124518	Q803C9
LOC111128041	Q6UVM3
LOC111099949	Q3USF0
LOC111099941	Q9NRA2
LOC111103072	A9JS71
LOC111125529	Q9CR48
LOC111125518	Q9CR48
LOC111125511	Q6UX65
LOC111125505	Q6UX65
LOC111114331	E7EY42
LOC111114426	Q6P8D9
LOC111138494	Q8N3Y7
LOC111122852	C8YR32
LOC111138026	O75954
LOC111129139	Q91YN5
LOC111129163	Q91YN5
LOC111103632	P34269
LOC111099887	Q6DDF0
LOC111118312	Q9NRA2
LOC111138159	A7T1N0
LOC111135464	Q8N0N3
LOC111135456	Q8N0N3
