Genes	GOslim.BP	Term
LOC111110037	GO:0000910	cytokinesis
LOC111110098	GO:0003014	renal system process
LOC111110121	GO:0006486	protein glycosylation
LOC111110416	GO:0006486	protein glycosylation
LOC111110494	GO:0016192	vesicle-mediated transport
LOC111110509	GO:0000910	cytokinesis
LOC111110757	GO:0000910	cytokinesis
LOC111110930	GO:0006351;GO:0006355	DNA-templated transcription;regulation of DNA-templated transcription
LOC111111013	GO:0006486	protein glycosylation
LOC111111023	GO:0000910	cytokinesis
LOC111111122	GO:0007040	lysosome organization
LOC111111223	GO:0000910	cytokinesis
LOC111111259	GO:0006486	protein glycosylation
LOC111111295	GO:0006914	autophagy
LOC111111317	GO:0098542	defense response to other organism
LOC111111341	GO:0072659	protein localization to plasma membrane
LOC111111412	GO:0016071	mRNA metabolic process
LOC111111491	GO:0006486	protein glycosylation
LOC111111492	GO:0006486	protein glycosylation
LOC111111498	GO:0006281	DNA repair
LOC111111566	GO:0006486	protein glycosylation
LOC111111624	GO:0006486	protein glycosylation
LOC111111648	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111111655	GO:0006486	protein glycosylation
LOC111111718	GO:0016071	mRNA metabolic process
LOC111111868	GO:0006281	DNA repair
LOC111111914	GO:0006486	protein glycosylation
LOC111111995	GO:0006914	autophagy
LOC111112084	GO:0000910	cytokinesis
LOC111112113	GO:0044782	cilium organization
LOC111112114	GO:0044782	cilium organization
LOC111112120	GO:0044782	cilium organization
LOC111112121	GO:0044782	cilium organization
LOC111112175	GO:0007040	lysosome organization
LOC111112269	GO:0007005	mitochondrion organization
LOC111112418	GO:0007018	microtubule-based movement
LOC111112528	GO:0007005	mitochondrion organization
LOC111112559	GO:0000910	cytokinesis
LOC111112623	GO:0007018	microtubule-based movement
LOC111112642	GO:0030154	cell differentiation
LOC111112668	GO:0000910	cytokinesis
LOC111112700	GO:0000910	cytokinesis
LOC111112744	GO:0000910	cytokinesis
LOC111112815	GO:0006486	protein glycosylation
LOC111112943	GO:0140013	meiotic nuclear division
LOC111112944	GO:0140013	meiotic nuclear division
LOC111112981	GO:0000910	cytokinesis
LOC111113059	GO:0016071	mRNA metabolic process
LOC111113238	GO:0007163	establishment or maintenance of cell polarity
LOC111113248	GO:0016071	mRNA metabolic process
LOC111113415	GO:0006486	protein glycosylation
LOC111113447	GO:0007018	microtubule-based movement
LOC111113548	GO:0007018	microtubule-based movement
LOC111113573	GO:0098542	defense response to other organism
LOC111113622	GO:0006486	protein glycosylation
LOC111113627	GO:0007005	mitochondrion organization
LOC111113658	GO:0007005	mitochondrion organization
LOC111113943	GO:0000910	cytokinesis
LOC111113970	GO:0044782	cilium organization
LOC111113990	GO:0006629	lipid metabolic process
LOC111114046	GO:0098542	defense response to other organism
LOC111114229	GO:0006091	generation of precursor metabolites and energy
LOC111114232	GO:0007005	mitochondrion organization
LOC111114238	GO:0140013	meiotic nuclear division
LOC111114242	GO:0140013	meiotic nuclear division
LOC111114305	GO:0098542	defense response to other organism
LOC111114448	GO:0007040	lysosome organization
LOC111114566	GO:0000910	cytokinesis
LOC111114674	GO:0016071	mRNA metabolic process
LOC111114705	GO:0006914	autophagy
LOC111114727	GO:0007040;GO:0007163	lysosome organization;establishment or maintenance of cell polarity
LOC111114824	GO:0006486	protein glycosylation
LOC111114918	GO:0098542	defense response to other organism
LOC111114984	GO:0006486	protein glycosylation
LOC111115046	GO:0000278;GO:0000910;GO:0007010;GO:0007059;GO:0140014	mitotic cell cycle;cytokinesis;cytoskeleton organization;chromosome segregation;mitotic nuclear division
LOC111115085	GO:0006629	lipid metabolic process
LOC111115123	GO:0007155	cell adhesion
LOC111115227	GO:0006486	protein glycosylation
LOC111115350	GO:0030163	protein catabolic process
LOC111115393	GO:0000910	cytokinesis
LOC111115421	GO:0044782	cilium organization
LOC111115638	GO:0000910	cytokinesis
LOC111115682	GO:0006914	autophagy
LOC111115720	GO:0007163	establishment or maintenance of cell polarity
LOC111115744	GO:0006629	lipid metabolic process
LOC111115745	GO:0006629	lipid metabolic process
LOC111115754	GO:0006629	lipid metabolic process
LOC111115784	GO:0022414	reproductive process
LOC111116128	GO:0000910	cytokinesis
LOC111116305	GO:0007005	mitochondrion organization
LOC111116346	GO:0007005	mitochondrion organization
LOC111116348	GO:0007005	mitochondrion organization
LOC111116429	GO:0007005	mitochondrion organization
LOC111116511	GO:0098542	defense response to other organism
LOC111116647	GO:0007005	mitochondrion organization
LOC111116933	GO:0007040	lysosome organization
LOC111117133	GO:0007018;GO:0044782	microtubule-based movement;cilium organization
LOC111117367	GO:0000910	cytokinesis
LOC111117437	GO:0000910	cytokinesis
LOC111117450	GO:0006486	protein glycosylation
LOC111117595	GO:0030163	protein catabolic process
LOC111117660	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111118012	GO:0000910	cytokinesis
LOC111118027	GO:0000910	cytokinesis
LOC111118029	GO:0016071	mRNA metabolic process
LOC111118065	GO:0098542	defense response to other organism
LOC111118106	GO:0000910	cytokinesis
LOC111118145	GO:0007018	microtubule-based movement
LOC111118154	GO:0007163	establishment or maintenance of cell polarity
LOC111118183	GO:0016071	mRNA metabolic process
LOC111118324	GO:0006486	protein glycosylation
LOC111118340	GO:0002181	cytoplasmic translation
LOC111118385	GO:0007155	cell adhesion
LOC111118434	GO:0023052	signaling
LOC111118453	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111118490	GO:0006260	DNA replication
LOC111118732	GO:0022414	reproductive process
LOC111118739	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111118825	GO:0000910	cytokinesis
LOC111118848	GO:0016071	mRNA metabolic process
LOC111118849	GO:0016071	mRNA metabolic process
LOC111118904	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111118916	GO:0000910	cytokinesis
LOC111118920	GO:0032200	telomere organization
LOC111118945	GO:0006914	autophagy
LOC111118957	GO:0007163	establishment or maintenance of cell polarity
LOC111119014	GO:0005975	carbohydrate metabolic process
LOC111119016	GO:0044782	cilium organization
LOC111119024	GO:0023052	signaling
LOC111119026	GO:0002181	cytoplasmic translation
LOC111119147	GO:0006914	autophagy
LOC111119150	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111119178	GO:0005975	carbohydrate metabolic process
LOC111119208	GO:0000910	cytokinesis
LOC111119258	GO:0007163	establishment or maintenance of cell polarity
LOC111119280	GO:0007018	microtubule-based movement
LOC111119282	GO:0006954	inflammatory response
LOC111119408	GO:0000910	cytokinesis
LOC111119455	GO:0007005	mitochondrion organization
LOC111119531	GO:0000910	cytokinesis
LOC111119564	GO:0006486	protein glycosylation
LOC111119590	GO:0000910	cytokinesis
LOC111119594	GO:0007163	establishment or maintenance of cell polarity
LOC111119624	GO:0000910	cytokinesis
LOC111119669	GO:0000910	cytokinesis
LOC111119736	GO:0000910	cytokinesis
LOC111119745	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111119763	GO:0006486	protein glycosylation
LOC111119767	GO:0006914	autophagy
LOC111119807	GO:0140013	meiotic nuclear division
LOC111119828	GO:0006914	autophagy
LOC111119831	GO:0140013	meiotic nuclear division
LOC111119907	GO:0000910;GO:0007163	cytokinesis;establishment or maintenance of cell polarity
LOC111119924	GO:0006281;GO:0006325	DNA repair;chromatin organization
LOC111119970	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111120031	GO:0007018	microtubule-based movement
LOC111120114	GO:0006260	DNA replication
LOC111120126	GO:0006399	tRNA metabolic process
LOC111120200	GO:0006486	protein glycosylation
LOC111120276	GO:0007005	mitochondrion organization
LOC111120292	GO:0048856	anatomical structure development
LOC111120312	GO:0006399	tRNA metabolic process
LOC111120384	GO:0016071	mRNA metabolic process
LOC111120487	GO:0006260	DNA replication
LOC111120598	GO:0044782	cilium organization
LOC111120643	GO:0006351;GO:0006355	DNA-templated transcription;regulation of DNA-templated transcription
LOC111120644	GO:0016071	mRNA metabolic process
LOC111120687	GO:0030198	extracellular matrix organization
LOC111120703	GO:0003012;GO:0003016	muscle system process;respiratory system process
LOC111120738	GO:0030198	extracellular matrix organization
LOC111120744	GO:0000910	cytokinesis
LOC111120747	GO:0050877	nervous system process
LOC111120783	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111120809	GO:0006914	autophagy
LOC111120849	GO:0140013	meiotic nuclear division
LOC111120860	GO:0006281	DNA repair
LOC111120865	GO:0030163	protein catabolic process
LOC111120886	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111120892	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111120978	GO:0006914	autophagy
LOC111120979	GO:0140013	meiotic nuclear division
LOC111120984	GO:0016071	mRNA metabolic process
LOC111121011	GO:0006310	DNA recombination
LOC111121021	GO:0016071	mRNA metabolic process
LOC111121042	GO:0007163	establishment or maintenance of cell polarity
LOC111121059	GO:0140013	meiotic nuclear division
LOC111121084	GO:0000910	cytokinesis
LOC111121253	GO:0000910	cytokinesis
LOC111121258	GO:0006486	protein glycosylation
LOC111121327	GO:0048856	anatomical structure development
LOC111121400	GO:0006281	DNA repair
LOC111121437	GO:0000910	cytokinesis
LOC111121522	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111121613	GO:0030163	protein catabolic process
LOC111121635	GO:0007018	microtubule-based movement
LOC111121647	GO:0006281	DNA repair
LOC111121659	GO:0016192	vesicle-mediated transport
LOC111121723	GO:0006281;GO:0006325	DNA repair;chromatin organization
LOC111121726	GO:0006310	DNA recombination
LOC111121747	GO:0000910	cytokinesis
LOC111121750	GO:0030163	protein catabolic process
LOC111121751	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111121838	GO:0006629	lipid metabolic process
LOC111121855	GO:0000910	cytokinesis
LOC111121907	GO:0006457	protein folding
LOC111121921	GO:0000910	cytokinesis
LOC111121939	GO:0006457	protein folding
LOC111121958	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111121994	GO:0006486	protein glycosylation
LOC111122035	GO:0006486	protein glycosylation
LOC111122069	GO:0007005;GO:0032200	mitochondrion organization;telomere organization
LOC111122075	GO:0007163	establishment or maintenance of cell polarity
LOC111122131	GO:0006486	protein glycosylation
LOC111122309	GO:0006629	lipid metabolic process
LOC111122310	GO:0007005	mitochondrion organization
LOC111122316	GO:0000910	cytokinesis
LOC111122318	GO:0072659	protein localization to plasma membrane
LOC111122336	GO:0000910	cytokinesis
LOC111122438	GO:0006486	protein glycosylation
LOC111122539	GO:0006091	generation of precursor metabolites and energy
LOC111122602	GO:0048856	anatomical structure development
LOC111122642	GO:0007018	microtubule-based movement
LOC111122645	GO:0016071	mRNA metabolic process
LOC111122653	GO:0007005	mitochondrion organization
LOC111122784	GO:0007018	microtubule-based movement
LOC111122836	GO:0006486	protein glycosylation
LOC111122897	GO:0006260	DNA replication
LOC111122944	GO:0007018	microtubule-based movement
LOC111122952	GO:0016073	snRNA metabolic process
LOC111123066	GO:0006325	chromatin organization
LOC111123110	GO:0023052	signaling
LOC111123150	GO:0016073	snRNA metabolic process
LOC111123176	GO:0006260	DNA replication
LOC111123325	GO:0006914	autophagy
LOC111123366	GO:0034330	cell junction organization
LOC111123380	GO:0006486	protein glycosylation
LOC111123434	GO:0007018	microtubule-based movement
LOC111123630	GO:0016071	mRNA metabolic process
LOC111123804	GO:0000910	cytokinesis
LOC111123910	GO:0007018	microtubule-based movement
LOC111124004	GO:0044782	cilium organization
LOC111124018	GO:0007163	establishment or maintenance of cell polarity
LOC111124026	GO:0034330	cell junction organization
LOC111124160	GO:0007005	mitochondrion organization
LOC111124162	GO:0006486	protein glycosylation
LOC111124177	GO:0000910	cytokinesis
LOC111124314	GO:0000910	cytokinesis
LOC111124329	GO:0006399	tRNA metabolic process
LOC111124334	GO:0006325	chromatin organization
LOC111124365	GO:0006486	protein glycosylation
LOC111124481	GO:0030163	protein catabolic process
LOC111124484	GO:0044782	cilium organization
LOC111124498	GO:0006486	protein glycosylation
LOC111124507	GO:0006351;GO:0006355	DNA-templated transcription;regulation of DNA-templated transcription
LOC111124588	GO:0006486	protein glycosylation
LOC111124606	GO:0044782	cilium organization
LOC111124607	GO:0006914	autophagy
LOC111124608	GO:0006914	autophagy
LOC111124610	GO:0006914	autophagy
LOC111124662	GO:0000910	cytokinesis
LOC111124887	GO:0007018	microtubule-based movement
LOC111124897	GO:0007031	peroxisome organization
LOC111124909	GO:0000910	cytokinesis
LOC111124938	GO:0007018	microtubule-based movement
LOC111124939	GO:0007163	establishment or maintenance of cell polarity
LOC111124987	GO:0022414	reproductive process
LOC111125001	GO:0044782	cilium organization
LOC111125022	GO:0022414	reproductive process
LOC111125104	GO:0006913	nucleocytoplasmic transport
LOC111125124	GO:0007155	cell adhesion
LOC111125129	GO:0140013	meiotic nuclear division
LOC111125250	GO:0007018	microtubule-based movement
LOC111125253	GO:0007018	microtubule-based movement
LOC111125280	GO:0016071	mRNA metabolic process
LOC111125283	GO:0006486	protein glycosylation
LOC111125323	GO:0007018	microtubule-based movement
LOC111125325	GO:0006351;GO:0006355	DNA-templated transcription;regulation of DNA-templated transcription
LOC111125452	GO:0007163	establishment or maintenance of cell polarity
LOC111125471	GO:0044782	cilium organization
LOC111125472	GO:0006914	autophagy
LOC111125483	GO:0007155	cell adhesion
LOC111125562	GO:0006260	DNA replication
LOC111125632	GO:0006486	protein glycosylation
LOC111125649	GO:0007163	establishment or maintenance of cell polarity
LOC111125671	GO:0006913	nucleocytoplasmic transport
LOC111125690	GO:0071941	nitrogen cycle metabolic process
LOC111125798	GO:0006914	autophagy
LOC111125828	GO:0007018	microtubule-based movement
LOC111125832	GO:0016071	mRNA metabolic process
LOC111125872	GO:0044782	cilium organization
LOC111125904	GO:0098542	defense response to other organism
LOC111126023	GO:0000910	cytokinesis
LOC111126062	GO:0006486	protein glycosylation
LOC111126156	GO:0006520	cellular amino acid metabolic process
LOC111126184	GO:0006260	DNA replication
LOC111126284	GO:0000910	cytokinesis
LOC111126333	GO:0002181	cytoplasmic translation
LOC111126414	GO:0006486	protein glycosylation
LOC111126622	GO:0071941	nitrogen cycle metabolic process
LOC111126706	GO:0007163	establishment or maintenance of cell polarity
LOC111126810	GO:0034330	cell junction organization
LOC111126926	GO:0140013	meiotic nuclear division
LOC111127005	GO:0016192	vesicle-mediated transport
LOC111127072	GO:0007018	microtubule-based movement
LOC111127094	GO:0000910	cytokinesis
LOC111127165	GO:0000910	cytokinesis
LOC111127260	GO:0032200	telomere organization
LOC111127274	GO:0006325	chromatin organization
LOC111127299	GO:0098542	defense response to other organism
LOC111127309	GO:0032200	telomere organization
LOC111127325	GO:0006914	autophagy
LOC111127536	GO:0007018	microtubule-based movement
LOC111127636	GO:0007018	microtubule-based movement
LOC111127889	GO:0006914	autophagy
LOC111127926	GO:0006914	autophagy
LOC111127965	GO:0000910;GO:0042060;GO:0061024	cytokinesis;wound healing;membrane organization
LOC111128006	GO:0051604	protein maturation
LOC111128010	GO:0006260	DNA replication
LOC111128047	GO:0006914	autophagy
LOC111128059	GO:0006914	autophagy
LOC111128122	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111128223	GO:0000910;GO:0042060;GO:0061024	cytokinesis;wound healing;membrane organization
LOC111128338	GO:0044782	cilium organization
LOC111128351	GO:0044782	cilium organization
LOC111128360	GO:0006914	autophagy
LOC111128425	GO:0006281	DNA repair
LOC111128436	GO:0000910;GO:0022414	cytokinesis;reproductive process
LOC111128451	GO:0006629	lipid metabolic process
LOC111128516	GO:0006281	DNA repair
LOC111128534	GO:0022414	reproductive process
LOC111128543	GO:0007005	mitochondrion organization
LOC111128546	GO:0007005	mitochondrion organization
LOC111128548	GO:0007005	mitochondrion organization
LOC111128568	GO:0007018	microtubule-based movement
LOC111128582	GO:0007018	microtubule-based movement
LOC111128700	GO:0055086	nucleobase-containing small molecule metabolic process
LOC111128748	GO:0055086	nucleobase-containing small molecule metabolic process
LOC111128756	GO:0016071	mRNA metabolic process
LOC111128793	GO:0016071	mRNA metabolic process
LOC111128808	GO:0016073	snRNA metabolic process
LOC111128836	GO:0000910	cytokinesis
LOC111128838	GO:0006954	inflammatory response
LOC111128947	GO:0006486	protein glycosylation
LOC111128963	GO:0140013	meiotic nuclear division
LOC111129063	GO:0016071	mRNA metabolic process
LOC111129114	GO:0016192	vesicle-mediated transport
LOC111129167	GO:0007005	mitochondrion organization
LOC111129170	GO:0044782	cilium organization
LOC111129218	GO:0007018	microtubule-based movement
LOC111129219	GO:0016071	mRNA metabolic process
LOC111129239	GO:0006281	DNA repair
LOC111129250	GO:0007018	microtubule-based movement
LOC111129255	GO:0044782	cilium organization
LOC111129256	GO:0006914	autophagy
LOC111129277	GO:0000910;GO:0042060;GO:0061024	cytokinesis;wound healing;membrane organization
LOC111129331	GO:0006629	lipid metabolic process
LOC111129371	GO:0044782	cilium organization
LOC111129372	GO:0044782	cilium organization
LOC111129396	GO:0007018	microtubule-based movement
LOC111129410	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111129474	GO:0000910	cytokinesis
LOC111129487	GO:0007163	establishment or maintenance of cell polarity
LOC111129512	GO:0007018	microtubule-based movement
LOC111129524	GO:0022414	reproductive process
LOC111129621	GO:0000910;GO:0042060;GO:0061024	cytokinesis;wound healing;membrane organization
LOC111129679	GO:0000910;GO:0042060;GO:0061024	cytokinesis;wound healing;membrane organization
LOC111129797	GO:0000910;GO:0042060;GO:0061024	cytokinesis;wound healing;membrane organization
LOC111129825	GO:0006913	nucleocytoplasmic transport
LOC111129855	GO:0007018	microtubule-based movement
LOC111129891	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111129895	GO:0016073	snRNA metabolic process
LOC111129901	GO:0006486;GO:0055086	protein glycosylation;nucleobase-containing small molecule metabolic process
LOC111129908	GO:0000910	cytokinesis
LOC111129919	GO:0016192	vesicle-mediated transport
LOC111129936	GO:0007018	microtubule-based movement
LOC111129995	GO:0006914	autophagy
LOC111130011	GO:0007018	microtubule-based movement
LOC111130047	GO:0007018	microtubule-based movement
LOC111130065	GO:0016071	mRNA metabolic process
LOC111130070	GO:0000910	cytokinesis
LOC111130078	GO:0000910	cytokinesis
LOC111130117	GO:0032200	telomere organization
LOC111130127	GO:0006486	protein glycosylation
LOC111130152	GO:0006260	DNA replication
LOC111130183	GO:0000910;GO:0016192	cytokinesis;vesicle-mediated transport
LOC111130216	GO:0030163	protein catabolic process
LOC111130234	GO:0032200	telomere organization
LOC111130268	GO:0006914	autophagy
LOC111130294	GO:0000910	cytokinesis
LOC111130343	GO:0007018	microtubule-based movement
LOC111130353	GO:0007018	microtubule-based movement
LOC111130368	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111130371	GO:0000910	cytokinesis
LOC111130405	GO:0016192	vesicle-mediated transport
LOC111130418	GO:0002376	immune system process
LOC111130482	GO:0032200	telomere organization
LOC111130500	GO:0055086	nucleobase-containing small molecule metabolic process
LOC111130508	GO:0030163	protein catabolic process
LOC111130544	GO:0000910	cytokinesis
LOC111130568	GO:0000910	cytokinesis
LOC111130622	GO:0032200	telomere organization
LOC111130666	GO:0000910;GO:0042060;GO:0061024	cytokinesis;wound healing;membrane organization
LOC111130667	GO:0071941	nitrogen cycle metabolic process
LOC111130699	GO:0002181	cytoplasmic translation
LOC111130718	GO:0006260	DNA replication
LOC111130774	GO:0000910	cytokinesis
LOC111130790	GO:0016071	mRNA metabolic process
LOC111130875	GO:0007163	establishment or maintenance of cell polarity
LOC111130915	GO:0016192	vesicle-mediated transport
LOC111130932	GO:0023052	signaling
LOC111130969	GO:0071941	nitrogen cycle metabolic process
LOC111130979	GO:0071941	nitrogen cycle metabolic process
LOC111131033	GO:0006629	lipid metabolic process
LOC111131043	GO:0006260	DNA replication
LOC111131100	GO:0048870	cell motility
LOC111131280	GO:0140013	meiotic nuclear division
LOC111131327	GO:0007005	mitochondrion organization
LOC111131342	GO:0007005	mitochondrion organization
