gene_name,slope_best_fit,r_squared,percentage_within_95_CI,num_exons,mean_exon_expression,std_dev_exon_expression,sum_exon_expression
gene-LOC111132126,-0.7415584415584419,0.016268363641685945,57.14285714285714,21,40.23809523809524,36.074790036679026,845
gene-LOC111099207,5.036363636363639,0.3013332984245217,70,10,52.5,27.777888888666666,525
gene-LOC111115013,-1.5499999999999996,0.13183991846973975,60,15,26.2,19.09076066732656,393
gene-LOC111132349,38.80952380952382,0.055348869639589925,75,8,282.75,404.07274804703883,2262
gene-LOC111129373,-418.00000000000034,0.6332315743567382,100,3,624.6666666666666,525.2850020068471,1874
gene-LOC111132366,-9.099999999999996,0.052828672042461784,100,5,57.4,62.60031948800262,287
gene-LOC111103463,-22.5,0.5684689236988378,100,4,68.25,38.52596527019148,273
gene-LOC111131773,32.9,0.3570719316476158,100,4,59.75,71.07918119956082,239
gene-LOC111131721,-1.5832862789384516,0.3317406797699693,36.36363636363637,22,21.818181818181817,17.850267074529576,480
gene-LOC111131752,2.5964285714285706,0.08189737992349018,46.666666666666664,15,39.2,40.57479865278798,588
gene-LOC111131766,-4.363636363636361,0.2844023107687751,72.72727272727273,11,33.54545454545455,27.138031013187515,369
gene-LOC111129378,7.499999999999963,0.003085516812638265,100,3,85.33333333333333,135.01975164150366,256
gene-LOC111131682,-0.09195402298850557,8.285987037820357e-4,42.857142857142854,28,41.92857142857143,26.277618375972118,1174
gene-LOC111128103,-1.6343478260869557,0.09970767753536429,70.83333333333334,24,47.375,36.59866058371179,1137
gene-LOC111100789,20.499999999999996,0.35951067197057185,100,4,77.75,44.13898503590675,311
gene-LOC111100985,-0.6934984520123848,0.018261719281818318,50,18,36.888888888888886,27.396626861690343,664
gene-LOC111103238,-0.728070175438596,0.0610090898141654,52.63157894736842,19,36.1578947368421,16.587355150149556,687
gene-LOC111103245,-9.999999999999998,0.75642965204236,100,4,18.5,14.843629385474879,74
gene-LOC111112387,-0.14511278195488705,0.0016939815834473443,35,20,25.35,20.85860922850247,507
gene-LOC111114799,-0.7472527472527474,0.047660276231704865,61.53846153846154,13,27.76923076923077,13.330127819803817,361
gene-LOC111129421,73.50000000000003,0.8157623194241708,100,3,53.333333333333336,81.37772012862816,160
gene-LOC111129446,4.683333333333332,0.122440403580954,88.88888888888889,9,52.44444444444444,36.65416453525817,472
gene-LOC111100566,-2.1345864661654144,0.06458207157678716,70,20,41.25,49.69260773151168,825
gene-LOC111136882,-2.5999999999999996,0.032221163012392716,100,4,45.5,18.699376103674332,182
gene-LOC111136873,44.79999999999999,0.20945940304738048,100,4,100,126.37246535539299,400
gene-LOC111099831,NA,0,NA,1,347,NA,347
gene-LOC111129522,-1.4510489510489517,0.0910126675259298,50,12,23.25,17.342145196024624,279
gene-LOC111100662,15.595238095238091,0.44619131860051764,75,8,79.25,57.18828551373087,634
gene-LOC111100672,-371.0000000000002,0.6917050274388402,100,3,304,446.0807101859483,912
gene-LOC111123745,21.08571428571429,0.49365294210062005,100,6,55.333333333333336,56.14505024191061,332
gene-LOC111129531,NA,0,NA,1,9,NA,9
gene-LOC111105302,-10.542857142857144,0.5524706677937445,83.33333333333334,6,29.833333333333332,26.536138880151096,179
gene-LOC111122009,-2.500000000000003,0.8928571428571432,100,3,7,2.6457513110645907,21
gene-LOC111137770,3.928571428571429,0.24191613573961032,75,8,32.75,19.564910280543437,262
gene-Trnag-gcc,NA,0,NA,1,1,NA,1
gene-LOC111119645,-0.8499999999999985,0.02632235865605185,77.77777777777779,9,25.11111111111111,14.347860854883947,226
gene-LOC111134776,-8.856643356643364,0.1932924629748595,75,12,80.08333333333333,72.63289804756437,961
gene-LOC111103288,-41.00000000000003,0.9929119905493208,100,3,64,41.14608122288197,192
gene-LOC111101379,-11.200000000000001,0.5660649819494585,100,4,30,19.2180470738661,120
gene-LOC111101405,2.999999999999999,0.059920106524633795,77.77777777777779,9,35.666666666666664,33.56337289367682,321
gene-LOC111101397,155.02380952380946,0.34130724221500186,87.5,8,251.75,649.9819228255506,2014
gene-LOC111129738,NA,0,NA,1,1860,NA,1860
gene-LOC111129748,-1.1184017595307907,0.13956649409547237,37.5,32,37.8125,28.083329344947227,1210
gene-LOC111134153,7.214285714285712,0.3375690790562228,87.5,8,22.25,30.414986907303255,178
gene-LOC111113132,-190.99999999999997,1,NA,2,114.5,135.0573952066306,229
gene-LOC111128935,11.400000000000002,0.057555358724534995,100,4,38,61.34601318205881,152
gene-LOC111136489,3.9999999999999956,0.4948453608247419,100,3,43.666666666666664,5.686240703077327,131
gene-LOC111136460,21.371428571428563,0.03254532269760694,83.33333333333334,6,126.33333333333333,221.62731480272612,758
gene-LOC111136481,3.7166666666666663,0.3090293313447676,77.77777777777779,9,26.333333333333332,18.309833423600555,237
gene-LOC111119489,82.39999999999999,0.6921405125486758,100,4,78.5,127.8658150823224,314
gene-LOC111129787,5.500000000000003,0.2281297134238312,100,5,30,18.207141456033124,150
gene-LOC111133651,-4.963636363636363,0.21176657854465897,47.61904761904761,21,62.142857142857146,66.92703916526243,1305
gene-LOC111105807,-2.0719759168035035,0.05701407388920619,60.71428571428571,28,85.10714285714286,71.38074192287662,2383
gene-LOC111106831,-5.749999999999997,0.2490863023834617,75,8,47.125,28.220749711616705,377
gene-LOC111122515,12.600000000000005,0.04726800685975611,100,5,81.6,91.63405480496866,408
gene-LOC111122523,-64.00000000000001,0.3109862576873431,100,3,124,114.76497723608888,372
gene-LOC111129837,NA,0,NA,1,170,NA,170
gene-LOC111129845,NA,0,NA,1,71,NA,71
gene-LOC111129861,NA,0,NA,1,11,NA,11
gene-LOC111129869,NA,0,NA,1,105,NA,105
gene-LOC111129878,NA,0,NA,1,343,NA,343
gene-LOC111118123,8.8,0.19983484723369108,100,5,30.6,31.12555220393688,153
gene-LOC111112009,-179.99999999999997,1,NA,2,109,127.27922061357856,218
gene-LOC111129927,NA,0,NA,1,1162,NA,1162
gene-LOC111119833,5.749999999999999,0.20472513499069342,62.5,8,36.875,31.128478004186825,295
gene-LOC111104541,-2.155830753353972,0.20040134877508875,55.55555555555556,18,40.388888888888886,25.709094039655874,727
gene-LOC111112448,2.1692307692307695,0.16433170014161444,50,14,39.214285714285715,22.38536118994723,549
gene-LOC111125753,-98.49999999999999,0.662950676292027,100,4,102.25,156.17805010094514,409
gene-LOC111110783,-9.273809523809511,0.08648357842246572,75,8,148.125,77.24439415628443,1185
gene-LOC111132154,-14.500000000000002,0.2777410832232495,100,3,37,27.51363298439521,111
gene-LOC111123486,-6.5,0.1467999632443733,63.63636363636363,11,62.54545454545455,56.266088608261434,688
gene-LOC111116296,2.999999999999993,0.13775510204081615,100,3,39.333333333333336,8.082903768654761,118
gene-LOC111120908,-15.500000000000009,0.774167561761547,100,3,26.333333333333332,17.61628034896508,79
gene-LOC111122297,-19.000000000000014,0.8467552775605945,100,3,25.666666666666668,20.647840887931437,77
gene-LOC111119741,-1.599999999999998,0.0037869822485207235,100,4,70,33.56585566713095,280
gene-LOC111119754,11.499999999999982,0.10388845247446965,100,3,47,35.679125549822544,141
gene-LOC111121693,5.499999999999991,0.07911944202266782,100,3,21.333333333333332,19.55334583474995,64
gene-LOC111126076,-6.407142857142854,0.2223250828298578,66.66666666666666,15,47.06666666666667,60.76943153859356,706
gene-LOC111126102,1.9909090909090907,0.18851112333936015,63.63636363636363,11,21.09090909090909,15.208251348886535,232
gene-LOC111129935,-1.0594405594405598,0.10809040558184736,58.333333333333336,12,17.916666666666668,11.618624025349312,215
gene-LOC111116034,-0.8503611971104236,0.012396559620710528,72.22222222222221,18,46.888888888888886,40.77324510435574,844
gene-LOC111116043,28.49999999999998,0.17149341966359344,100,3,110.66666666666667,68.8210239195359,332
gene-LOC111111995,-17.035714285714292,0.18842794108878447,100,7,67.28571428571429,84.77954605075111,471
gene-LOC111130149,NA,0,NA,1,280,NA,280
gene-LOC111134929,-43.2,0.48085584424953887,100,5,71.2,98.5022842374734,356
gene-LOC111101827,63.50000000000001,0.6545275989968428,100,4,75.25,101.32908434074264,301
gene-LOC111118727,2.000000000000002,0.1718544498027182,71.42857142857143,7,26.571428571428573,10.42204622994197,186
gene-LOC111105905,210.99999999999997,1,NA,2,107.5,149.19953083036154,215
gene-LOC111103607,NA,0,NA,1,136,NA,136
gene-LOC111111287,6.892857142857146,0.8412149954832882,85.71428571428571,7,29.714285714285715,16.234883078464982,208
gene-LOC111115930,6.500000000000004,0.06557165028453196,100,3,76.33333333333333,25.383721817994566,229
gene-LOC111130161,19.499999999999986,0.14354473386183475,100,3,109,51.468436929831086,327
gene-LOC111110859,-18.00000000000001,0.7499999999999998,100,3,23,20.784609690826528,69
gene-LOC111103139,-3.010989010989013,0.1399710646421859,69.23076923076923,13,24.76923076923077,31.34260637469345,322
gene-LOC111103146,2.2166666666666672,0.08675614700496996,66.66666666666666,9,23.555555555555557,20.61013774281428,212
gene-LOC111119414,3.0285714285714285,0.3704175824175824,83.33333333333334,6,10.333333333333334,9.309493362512628,62
gene-LOC111122198,14.00000000000001,0.22502870264064317,100,3,40,29.512709126747414,120
gene-LOC111119020,1.7714285714285691,0.014184850795837513,83.33333333333334,6,27.333333333333332,27.825647641459607,164
gene-LOC111125333,-2.9958720330237343,0.01536458024834991,94.44444444444444,18,66.72222222222223,129.02840797808628,1201
gene-LOC111136966,2.61038961038961,0.41506085696302153,52.38095238095239,21,33.80952380952381,25.14084136941134,710
gene-LOC111115980,-99.50000000000009,0.8804657160643876,100,3,106.33333333333333,106.0393008904403,319
gene-LOC111115748,-4.142857142857142,0.43950875359289276,71.42857142857143,7,24.285714285714285,13.499559075691888,170
gene-LOC111112068,-0.5629370629370645,0.00529836023575975,75,12,40.416666666666664,27.884366207390812,485
gene-LOC111106561,1.257142857142857,0.054088284596759115,83.33333333333334,6,8.666666666666666,10.112698288126007,52
gene-LOC111109865,20.000000000000004,0.8241758241758242,100,3,19.666666666666668,22.03028218914441,59
gene-LOC111111799,40.49999999999998,0.358314692158473,100,5,61.8,106.97756774202712,309
gene-LOC111131292,-4.545454545454543,0.3558009791642946,63.63636363636363,11,31.181818181818183,25.273773686642766,343
gene-LOC111124863,22.392857142857146,0.14866305765490195,87.5,8,106.375,142.26026199489843,851
gene-LOC111124850,7.853146853146852,0.07861150339541811,50,12,101.83333333333333,100.98859821631831,1222
gene-LOC111130177,-46,1,NA,2,102,32.526911934581186,204
gene-LOC111119709,-21.8,0.47701631790763666,100,6,38.166666666666664,59.050543322366366,229
gene-LOC111119716,8.85714285714286,0.6152631354304495,100,6,23.333333333333332,21.12502465481796,140
gene-LOC111130195,-0.5357142857142858,0.3750000000000004,100,7,0.7142857142857143,1.889822365046136,5
gene-LOC111132898,-4.685714285714289,0.23553038706287585,83.33333333333334,6,37.333333333333336,18.0628532260733,224
gene-LOC111130854,-6.0000000000000036,0.6279069767441864,100,3,11.666666666666666,7.571877794400365,35
gene-LOC111130204,NA,0,NA,1,276,NA,276
gene-LOC111101169,6.071428571428576,0.15791659381010673,85.71428571428571,7,46,33.005050118630834,322
gene-LOC111101176,-11.771428571428576,0.5755334538878841,83.33333333333334,6,29.333333333333332,29.028721409436322,176
gene-LOC111101164,13.514285714285714,0.27829124538988276,83.33333333333334,6,39.833333333333336,47.926680113133926,239
gene-LOC111101185,-1.571428571428585,8.512883651394097e-4,100,7,79.71428571428571,116.34820480740028,558
gene-LOC111101139,-0.5999999999999958,2.6080740127817323e-4,81.81818181818183,11,81.27272727272727,123.22182510342144,894
gene-LOC111101156,5.452380952380946,0.013748020679313298,87.5,8,102.5,113.90472208949774,820
gene-LOC111115242,7.0454545454545405,0.6217392654548465,72.72727272727273,11,39.72727272727273,29.63474619122259,437
gene-LOC111110131,-23.628571428571448,0.16255080735214714,83.33333333333334,6,98.16666666666667,109.64199317171622,589
gene-LOC111104454,-11.000000000000016,0.5283842794759831,100,3,35,15.132745950421556,105
gene-LOC111102578,-16.800000000000008,0.6248671625929862,100,5,51.8,33.60357123878354,259
gene-LOC111108648,0.15454545454545307,3.610784877183351e-4,81.81818181818183,11,28.272727272727273,26.97439863682195,311
gene-LOC111135567,2.4166666666666674,0.13485900167227916,62.5,8,35.125,16.119531187794692,281
gene-LOC111127270,78.50000000000003,0.918504993292592,100,3,92,81.9084855189009,276
gene-LOC111117581,-2.240259740259741,0.42538584041446026,28.57142857142857,21,18.142857142857142,21.312638772066013,381
gene-LOC111114641,NA,0,NA,1,335,NA,335
gene-LOC111127966,2.5675954592363257,0.015234046858050519,88.88888888888889,18,57.888888888888886,111.05583592414429,1042
gene-LOC111118476,-1.7142857142857157,0.023772837332159368,83.33333333333334,6,29.666666666666668,20.800641015763592,178
gene-LOC111117949,-6.0000000000000036,0.6878980891719743,100,3,29.666666666666668,7.234178138070235,89
gene-LOC111113361,3.3000000000000016,0.6743034055727556,100,4,38.25,5.188127472091127,153
gene-LOC111135136,-1.7272727272727266,0.1152917530733822,70,10,29.1,15.401659362260649,291
gene-LOC111135129,0.6785714285714286,0.013885783214588308,66.66666666666666,15,41.93333333333333,25.752854673016813,629
gene-LOC111124109,-49.000000000000036,0.6520322259436948,100,3,80.33333333333333,60.68223243531284,241
gene-LOC111130247,66.50000000000001,0.9567137809187279,100,3,112.33333333333333,67.98774399355617,337
gene-LOC111116170,15.000000000000004,0.5395683453237411,100,3,25,20.42057785666214,75
gene-LOC111108867,-2.035714285714287,0.061074107260343596,87.5,8,31.375,20.177338773981074,251
gene-LOC111110154,-168.99999999999997,1,NA,2,92.5,119.50104602052653,185
gene-LOC111118316,-4.6785714285714235,0.22003538824494875,100,7,37.714285714285715,21.546185166708636,264
gene-LOC111109243,-39.5,0.6391978532948237,100,4,82.25,63.78283468144074,329
gene-LOC111134171,60.09999999999999,0.6572405435502535,100,5,88.6,117.21476016270306,443
gene-LOC111111295,59.10000000000001,0.5995056769908087,100,4,61.25,98.54060076942905,245
gene-LOC111104675,3.2303783173348397,0.22275407520964122,63.63636363636363,22,53.04545454545455,44.44523357885284,1167
gene-LOC111104690,10.6,0.19574912891986065,100,4,68,30.930028559098787,272
gene-LOC111104685,-29.000000000000064,0.11849520946834514,100,3,118.66666666666667,84.24567249024328,356
gene-LOC111130258,-5.3272727272727245,0.34924942028395933,54.54545454545454,11,35.36363636363637,29.897400312645,389
gene-LOC111124761,-10.107142857142856,0.2485075089983869,100,7,39,43.79878232706171,273
gene-LOC111124729,7.275,0.3890677344600531,66.66666666666666,15,43.266666666666666,52.159736341723345,649
gene-LOC111123551,-1.5000000000000078,0.00563909774436093,100,3,20,19.974984355438178,60
gene-LOC111115318,-7.500000000000008,0.4125916870415652,100,3,12.666666666666666,11.67618659209133,38
gene-LOC111108836,35.000000000000014,0.7072748267898384,100,3,30,41.617304093369626,90
gene-LOC111129854,1.999999999999997,0.02649006622516548,100,3,11,12.288205727444508,33
gene-LOC111130260,-0.5630769230769228,0.14347475276392657,50,26,7.653846153846154,11.369933360199813,199
gene-LOC111121633,2.321428571428573,0.020597129889482393,87.5,8,34.875,39.621197429081896,279
gene-LOC111121476,-1.0623469387755102,0.22015931291898527,40.816326530612244,49,24.3265306122449,32.35118992859333,1192
gene-LOC111121657,8.199999999999998,0.9859237536656891,100,4,22.5,10.661457061146317,90
gene-LOC111121537,0.15934065934065936,0.04097641785227051,84.61538461538461,13,1.6923076923076923,3.0655237558100734,22
gene-LOC111121602,210,1,NA,2,295,148.49242404917499,590
gene-LOC111121565,0.2713043478260869,0.048596472981574455,50,24,4.416666666666667,8.702406796856316,106
gene-LOC111121643,1.3636363636363638,0.11413517663052662,60,10,12.3,12.220656465364062,123
gene-LOC111121611,-0.6606060606060604,0.44947603374569656,70,10,1.3,2.9832867780352594,13
gene-LOC111121524,-1.1785714285714286,0.30049668874172236,100,7,2.7142857142857144,4.644505202002531,19
gene-LOC111121511,4.699999999999999,0.18222174696770643,88.88888888888889,9,23.22222222222222,30.15285134849513,209
gene-LOC111121500,1.7414979757085023,0.4079838121981256,38.46153846153847,39,28.307692307692307,31.08659708328693,1104
gene-LOC111130637,2.1330769230769233,0.20119232987976488,56.00000000000001,25,57.08,34.999904761775184,1427
gene-LOC111130647,0.8632478632478633,0.044167138293299206,44.44444444444444,27,60.22222222222222,32.6028943185834,1626
gene-LOC111130653,0.6074481074481075,0.02319779694914028,48.148148148148145,27,55.55555555555556,31.656003602832815,1500
gene-LOC111130687,-0.16195569136745577,7.214472143796783e-4,50,34,57.588235294117645,60.04499204362273,1958
gene-LOC111121667,8.499999999999982,0.02229250231410055,100,3,41,56.929781309961136,123
gene-LOC111130696,2.9691176470588228,0.18024749114042207,68.75,16,41.0625,33.29558279011397,657
gene-LOC111121491,-1.3246963562753036,0.4458066380566033,38.46153846153847,39,25.384615384615383,22.62115379882917,990
gene-LOC111130705,-1.3714285714285719,0.11272015655577289,100,6,7,7.64198926981712,42
