GO.ID,Term,Annotated,Significant,Expected,classic
GO:0060180,female mating behavior,28,10,4.69,0.0120
GO:0070374,positive regulation of ERK1 and ERK2 cas...,59,17,9.87,0.0141
GO:0009987,cellular process,6755,1153,1130.27,0.0145
GO:0030866,cortical actin cytoskeleton organization,17,7,2.84,0.0149
GO:0044419,biological process involved in interspec...,571,115,95.54,0.0150
GO:0002684,positive regulation of immune system pro...,254,56,42.5,0.0153
GO:0000730,DNA recombinase assembly,4,3,0.67,0.0164
GO:0006684,sphingomyelin metabolic process,4,3,0.67,0.0164
GO:0018993,somatic sex determination,4,3,0.67,0.0164
GO:0042148,strand invasion,4,3,0.67,0.0164
GO:0045003,double-strand break repair via synthesis...,4,3,0.67,0.0164
GO:0051770,positive regulation of nitric-oxide synt...,4,3,0.67,0.0164
GO:0090735,DNA repair complex assembly,4,3,0.67,0.0164
GO:0016032,viral process,209,47,34.97,0.0177
GO:0044282,small molecule catabolic process,158,37,26.44,0.0180
GO:0045434,negative regulation of female receptivit...,14,6,2.34,0.0193
GO:0046008,regulation of female receptivity, post-m...,14,6,2.34,0.0193
GO:0051693,actin filament capping,14,6,2.34,0.0193
GO:0060216,definitive hemopoiesis,14,6,2.34,0.0193
GO:0006518,peptide metabolic process,353,74,59.06,0.0196
GO:0032479,regulation of type I interferon producti...,43,13,7.19,0.0201
GO:0090068,positive regulation of cell cycle proces...,43,13,7.19,0.0201
GO:0030097,hemopoiesis,221,49,36.98,0.0202
GO:0030837,negative regulation of actin filament po...,18,7,3.01,0.0209
GO:0002682,regulation of immune system process,338,71,56.56,0.0210
GO:0031328,positive regulation of cellular biosynth...,600,119,100.39,0.0211
GO:0006536,glutamate metabolic process,22,8,3.68,0.0213
GO:0030865,cortical cytoskeleton organization,22,8,3.68,0.0213
GO:0009891,positive regulation of biosynthetic proc...,601,119,100.56,0.0221
GO:0140694,non-membrane-bounded organelle assembly,150,35,25.1,0.0221
GO:0010468,regulation of gene expression,1416,263,236.93,0.0227
GO:0031326,regulation of cellular biosynthetic proc...,1480,274,247.64,0.0232
GO:0002065,columnar/cuboidal epithelial cell differ...,11,5,1.84,0.0248
GO:0046686,response to cadmium ion,11,5,1.84,0.0248
GO:0071674,mononuclear cell migration,11,5,1.84,0.0248
GO:0050714,positive regulation of protein secretion,40,12,6.69,0.0266
GO:0060348,bone development,87,22,14.56,0.0268
GO:0051090,regulation of DNA-binding transcription ...,97,24,16.23,0.0275
GO:0070371,ERK1 and ERK2 cascade,97,24,16.23,0.0275
GO:0002832,negative regulation of response to bioti...,15,6,2.51,0.0278
GO:0017145,stem cell division,15,6,2.51,0.0278
GO:0032945,negative regulation of mononuclear cell ...,15,6,2.51,0.0278
GO:0050672,negative regulation of lymphocyte prolif...,15,6,2.51,0.0278
GO:0050892,intestinal absorption,15,6,2.51,0.0278
GO:0070664,negative regulation of leukocyte prolife...,15,6,2.51,0.0278
GO:0000117,regulation of transcription involved in ...,2,2,0.33,0.0280
GO:0000147,actin cortical patch assembly,2,2,0.33,0.0280
GO:0000430,regulation of transcription from RNA pol...,2,2,0.33,0.0280
GO:0000433,carbon catabolite repression of transcri...,2,2,0.33,0.0280
GO:0000920,septum digestion after cytokinesis,2,2,0.33,0.0280
GO:0001951,intestinal D-glucose absorption,2,2,0.33,0.0280
GO:0009448,gamma-aminobutyric acid metabolic proces...,2,2,0.33,0.0280
GO:0010808,positive regulation of synaptic vesicle ...,2,2,0.33,0.0280
GO:0014733,regulation of skeletal muscle adaptation,2,2,0.33,0.0280
GO:0014883,transition between fast and slow fiber,2,2,0.33,0.0280
GO:0030238,male sex determination,2,2,0.33,0.0280
GO:0031665,negative regulation of lipopolysaccharid...,2,2,0.33,0.0280
GO:0033078,extrathymic T cell differentiation,2,2,0.33,0.0280
GO:0033082,regulation of extrathymic T cell differe...,2,2,0.33,0.0280
GO:0040021,hermaphrodite germ-line sex determinatio...,2,2,0.33,0.0280
GO:0042976,activation of Janus kinase activity,2,2,0.33,0.0280
GO:0044396,actin cortical patch organization,2,2,0.33,0.0280
GO:0045013,carbon catabolite repression of transcri...,2,2,0.33,0.0280
GO:0045014,carbon catabolite repression of transcri...,2,2,0.33,0.0280
GO:0046015,regulation of transcription by glucose,2,2,0.33,0.0280
GO:0051307,meiotic chromosome separation,2,2,0.33,0.0280
GO:0051665,membrane raft localization,2,2,0.33,0.0280
GO:0051694,pointed-end actin filament capping,2,2,0.33,0.0280
GO:0055060,asymmetric neuroblast division resulting...,2,2,0.33,0.0280
GO:0060260,regulation of transcription initiation b...,2,2,0.33,0.0280
GO:0060261,positive regulation of transcription ini...,2,2,0.33,0.0280
GO:0061984,catabolite repression,2,2,0.33,0.0280
GO:0061985,carbon catabolite repression,2,2,0.33,0.0280
GO:0061986,negative regulation of transcription by ...,2,2,0.33,0.0280
GO:0061987,negative regulation of transcription fro...,2,2,0.33,0.0280
GO:0106001,intestinal hexose absorption,2,2,0.33,0.0280
GO:2000142,regulation of DNA-templated transcriptio...,2,2,0.33,0.0280
GO:2000144,positive regulation of DNA-templated tra...,2,2,0.33,0.0280
GO:0009889,regulation of biosynthetic process,1487,274,248.81,0.0288
GO:1903311,regulation of mRNA metabolic process,78,20,13.05,0.0293
GO:0015980,energy derivation by oxidation of organi...,83,21,13.89,0.0299
GO:0070372,regulation of ERK1 and ERK2 cascade,93,23,15.56,0.0306
GO:0010557,positive regulation of macromolecule bio...,586,115,98.05,0.0308
GO:0045787,positive regulation of cell cycle,64,17,10.71,0.0309
GO:0034058,endosomal vesicle fusion,8,4,1.34,0.0310
GO:0042775,mitochondrial ATP synthesis coupled elec...,8,4,1.34,0.0310
GO:0060575,intestinal epithelial cell differentiati...,8,4,1.34,0.0310
GO:0060706,cell differentiation involved in embryon...,8,4,1.34,0.0310
GO:0031325,positive regulation of cellular metaboli...,799,153,133.69,0.0312
GO:0007157,heterophilic cell-cell adhesion via plas...,50,14,8.37,0.0312
GO:0016567,protein ubiquitination,372,76,62.24,0.0318
GO:0010556,regulation of macromolecule biosynthetic...,1450,267,242.62,0.0318
GO:0009064,glutamine family amino acid metabolic pr...,55,15,9.2,0.0330
GO:0042981,regulation of apoptotic process,510,101,85.33,0.0332
GO:0009060,aerobic respiration,37,11,6.19,0.0351
GO:0006067,ethanol metabolic process,5,3,0.84,0.0358
GO:0006068,ethanol catabolic process,5,3,0.84,0.0358
GO:0006120,mitochondrial electron transport, NADH t...,5,3,0.84,0.0358
GO:0006546,glycine catabolic process,5,3,0.84,0.0358
GO:0008210,estrogen metabolic process,5,3,0.84,0.0358
GO:0010818,T cell chemotaxis,5,3,0.84,0.0358
GO:0010971,positive regulation of G2/M transition o...,5,3,0.84,0.0358
GO:0018094,protein polyglycylation,5,3,0.84,0.0358
GO:0032570,response to progesterone,5,3,0.84,0.0358
GO:0048247,lymphocyte chemotaxis,5,3,0.84,0.0358
GO:0050685,positive regulation of mRNA processing,5,3,0.84,0.0358
GO:0060674,placenta blood vessel development,5,3,0.84,0.0358
GO:0060716,labyrinthine layer blood vessel developm...,5,3,0.84,0.0358
GO:0072676,lymphocyte migration,5,3,0.84,0.0358
GO:0072678,T cell migration,5,3,0.84,0.0358
GO:1902751,positive regulation of cell cycle G2/M p...,5,3,0.84,0.0358
GO:0050866,negative regulation of cell activation,24,8,4.02,0.0360
GO:0043648,dicarboxylic acid metabolic process,51,14,8.53,0.0366
GO:0006412,translation,304,63,50.87,0.0366
GO:0006782,protoporphyrinogen IX biosynthetic proce...,12,5,2.01,0.0368
GO:0016101,diterpenoid metabolic process,12,5,2.01,0.0368
GO:0046501,protoporphyrinogen IX metabolic process,12,5,2.01,0.0368
GO:0051785,positive regulation of nuclear division,12,5,2.01,0.0368
GO:0006783,heme biosynthetic process,20,7,3.35,0.0376
GO:0032272,negative regulation of protein polymeriz...,20,7,3.35,0.0376
GO:0032446,protein modification by small protein co...,397,80,66.43,0.0377
GO:0045471,response to ethanol,42,12,7.03,0.0382
GO:0045010,actin nucleation,16,6,2.68,0.0383
GO:0045087,innate immune response,294,61,49.19,0.0384
GO:0043244,regulation of protein-containing complex...,33,10,5.52,0.0385
GO:0034641,cellular nitrogen compound metabolic pro...,2431,434,406.76,0.0396
GO:0032103,positive regulation of response to exter...,188,41,31.46,0.0401
GO:0001816,cytokine production,136,31,22.76,0.0402
GO:0002831,regulation of response to biotic stimulu...,178,39,29.78,0.0417
GO:1903900,regulation of viral life cycle,29,9,4.85,0.0419
GO:0050684,regulation of mRNA processing,38,11,6.36,0.0422
GO:0072329,monocarboxylic acid catabolic process,38,11,6.36,0.0422
GO:0009893,positive regulation of metabolic process,898,169,150.26,0.0426
GO:0010604,positive regulation of macromolecule met...,854,161,142.89,0.0448
GO:0043603,amide metabolic process,450,89,75.3,0.0449
GO:0019752,carboxylic acid metabolic process,500,98,83.66,0.0451
GO:0030217,T cell differentiation,43,12,7.19,0.0452
GO:0045598,regulation of fat cell differentiation,43,12,7.19,0.0452
GO:0043043,peptide biosynthetic process,324,66,54.21,0.0455
GO:0003012,muscle system process,117,27,19.58,0.0461
GO:0051028,mRNA transport,67,17,11.21,0.0463
GO:0051222,positive regulation of protein transport,67,17,11.21,0.0463
GO:0090257,regulation of muscle system process,67,17,11.21,0.0463
GO:1903829,positive regulation of protein localizat...,67,17,11.21,0.0463
GO:1904951,positive regulation of establishment of ...,67,17,11.21,0.0463
GO:0050688,regulation of defense response to virus,34,10,5.69,0.0466
GO:0120034,positive regulation of plasma membrane b...,34,10,5.69,0.0466
GO:0032101,regulation of response to external stimu...,319,65,53.38,0.0467
GO:0002250,adaptive immune response,97,23,16.23,0.0475
GO:0007586,digestion,48,13,8.03,0.0476
GO:0045333,cellular respiration,48,13,8.03,0.0476
GO:0043067,regulation of programmed cell death,535,104,89.52,0.0484
GO:0001523,retinoid metabolic process,9,4,1.51,0.0485
GO:0007530,sex determination,9,4,1.51,0.0485
GO:0008063,Toll signaling pathway,9,4,1.51,0.0485
GO:0018149,peptide cross-linking,9,4,1.51,0.0485
GO:0034134,toll-like receptor 2 signaling pathway,9,4,1.51,0.0485
GO:0042168,heme metabolic process,21,7,3.51,0.0486
GO:0009059,macromolecule biosynthetic process,2311,412,386.68,0.0493
GO:0043436,oxoacid metabolic process,508,99,85,0.0503
GO:0002702,positive regulation of production of mol...,17,6,2.84,0.0510
GO:0030834,regulation of actin filament depolymeriz...,17,6,2.84,0.0510
GO:0030835,negative regulation of actin filament de...,17,6,2.84,0.0510
GO:0022600,digestive system process,30,9,5.02,0.0513
GO:0034314,Arp2/3 complex-mediated actin nucleation,13,5,2.18,0.0518
GO:0043605,amide catabolic process,13,5,2.18,0.0518
GO:0060281,regulation of oocyte development,13,5,2.18,0.0518
GO:0060282,positive regulation of oocyte developmen...,13,5,2.18,0.0518
GO:0072337,modified amino acid transport,13,5,2.18,0.0518
GO:1905879,regulation of oogenesis,13,5,2.18,0.0518
GO:0031349,positive regulation of defense response,139,31,23.26,0.0521
GO:0050789,regulation of biological process,3939,686,659.08,0.0523
GO:0006082,organic acid metabolic process,509,99,85.17,0.0525
GO:0042110,T cell activation,98,23,16.4,0.0527
GO:0006399,tRNA metabolic process,134,30,22.42,0.0530
GO:0031323,regulation of cellular metabolic process,1776,320,297.17,0.0532
GO:0070925,organelle assembly,338,68,56.56,0.0538
GO:0051493,regulation of cytoskeleton organization,171,37,28.61,0.0545
GO:0006725,cellular aromatic compound metabolic pro...,2281,406,381.66,0.0556
GO:0009062,fatty acid catabolic process,26,8,4.35,0.0563
GO:0030048,actin filament-based movement,26,8,4.35,0.0563
GO:0032088,negative regulation of NF-kappaB transcr...,26,8,4.35,0.0563
GO:0006936,muscle contraction,99,23,16.56,0.0582
GO:0016054,organic acid catabolic process,94,22,15.73,0.0587
GO:0046395,carboxylic acid catabolic process,94,22,15.73,0.0587
GO:0050708,regulation of protein secretion,74,18,12.38,0.0595
GO:0051146,striated muscle cell differentiation,125,28,20.92,0.0597
GO:0001775,cell activation,329,66,55.05,0.0597
GO:0006721,terpenoid metabolic process,22,7,3.68,0.0613
GO:0051250,negative regulation of lymphocyte activa...,22,7,3.68,0.0613
GO:0033014,tetrapyrrole biosynthetic process,31,9,5.19,0.0620
GO:0010467,gene expression,2022,361,338.33,0.0622
GO:0010927,cellular component assembly involved in ...,110,25,18.41,0.0625
GO:0055074,calcium ion homeostasis,110,25,18.41,0.0625
GO:0002118,aggressive behavior,6,3,1,0.0628
GO:0002121,inter-male aggressive behavior,6,3,1,0.0628
GO:0006429,leucyl-tRNA aminoacylation,6,3,1,0.0628
GO:0016082,synaptic vesicle priming,6,3,1,0.0628
GO:0034310,primary alcohol catabolic process,6,3,1,0.0628
GO:0043455,regulation of secondary metabolic proces...,6,3,1,0.0628
GO:0046427,positive regulation of receptor signalin...,6,3,1,0.0628
GO:0048844,artery morphogenesis,6,3,1,0.0628
GO:0051014,actin filament severing,6,3,1,0.0628
GO:0051445,regulation of meiotic cell cycle,6,3,1,0.0628
GO:0051446,positive regulation of meiotic cell cycl...,6,3,1,0.0628
GO:0060707,trophoblast giant cell differentiation,6,3,1,0.0628
GO:0060840,artery development,6,3,1,0.0628
GO:1904894,positive regulation of receptor signalin...,6,3,1,0.0628
GO:0006937,regulation of muscle contraction,50,13,8.37,0.0637
GO:0050778,positive regulation of immune response,200,42,33.46,0.0645
GO:0015931,nucleobase-containing compound transport,95,22,15.9,0.0648
GO:0060491,regulation of cell projection assembly,60,15,10.04,0.0659
GO:0045069,regulation of viral genome replication,18,6,3.01,0.0661
GO:0046677,response to antibiotic,18,6,3.01,0.0661
GO:0035023,regulation of Rho protein signal transdu...,65,16,10.88,0.0664
GO:0045444,fat cell differentiation,70,17,11.71,0.0666
GO:0001892,embryonic placenta development,27,8,4.52,0.0687
GO:0006779,porphyrin-containing compound biosynthet...,27,8,4.52,0.0687
GO:0043552,positive regulation of phosphatidylinosi...,27,8,4.52,0.0687
GO:0090218,positive regulation of lipid kinase acti...,27,8,4.52,0.0687
GO:0034612,response to tumor necrosis factor,41,11,6.86,0.0693
GO:0050794,regulation of cellular process,3666,638,613.41,0.0695
GO:0007260,tyrosine phosphorylation of STAT protein,14,5,2.34,0.0698
GO:0008298,intracellular mRNA localization,14,5,2.34,0.0698
GO:0030949,positive regulation of vascular endothel...,14,5,2.34,0.0698
GO:0042632,cholesterol homeostasis,14,5,2.34,0.0698
GO:0045138,nematode male tail tip morphogenesis,14,5,2.34,0.0698
GO:0055092,sterol homeostasis,14,5,2.34,0.0698
GO:0006915,apoptotic process,708,133,118.46,0.0704
GO:0009303,rRNA transcription,10,4,1.67,0.0705
GO:0014904,myotube cell development,10,4,1.67,0.0705
GO:0015697,quaternary ammonium group transport,10,4,1.67,0.0705
GO:0032623,interleukin-2 production,10,4,1.67,0.0705
GO:0032663,regulation of interleukin-2 production,10,4,1.67,0.0705
GO:0042773,ATP synthesis coupled electron transport,10,4,1.67,0.0705
GO:0045026,plasma membrane fusion,10,4,1.67,0.0705
GO:0045911,positive regulation of DNA recombination,10,4,1.67,0.0705
GO:0046456,icosanoid biosynthetic process,10,4,1.67,0.0705
GO:0048741,skeletal muscle fiber development,10,4,1.67,0.0705
GO:0097529,myeloid leukocyte migration,10,4,1.67,0.0705
GO:1901989,positive regulation of cell cycle phase ...,10,4,1.67,0.0705
GO:1901992,positive regulation of mitotic cell cycl...,10,4,1.67,0.0705
GO:2000177,regulation of neural precursor cell prol...,10,4,1.67,0.0705
GO:0060255,regulation of macromolecule metabolic pr...,1794,321,300.18,0.0714
GO:0051494,negative regulation of cytoskeleton orga...,46,12,7.7,0.0714
GO:0048518,positive regulation of biological proces...,1724,309,288.46,0.0715
GO:0070647,protein modification by small protein co...,438,85,73.29,0.0715
GO:0001501,skeletal system development,191,40,31.96,0.0723
GO:0044237,cellular metabolic process,3973,689,664.77,0.0724
GO:0044242,cellular lipid catabolic process,51,13,8.53,0.0729
GO:0002221,pattern recognition receptor signaling p...,81,19,13.55,0.0736
GO:0006942,regulation of striated muscle contractio...,32,9,5.35,0.0740
GO:0043550,regulation of lipid kinase activity,32,9,5.35,0.0740
GO:0045214,sarcomere organization,32,9,5.35,0.0740
GO:0065007,biological regulation,4064,704,680,0.0741
GO:0050657,nucleic acid transport,76,18,12.72,0.0741
GO:0050658,RNA transport,76,18,12.72,0.0741
GO:0051236,establishment of RNA localization,76,18,12.72,0.0741
GO:0002224,toll-like receptor signaling pathway,61,15,10.21,0.0744
GO:0051896,regulation of phosphatidylinositol 3-kin...,61,15,10.21,0.0744
GO:0032943,mononuclear cell proliferation,71,17,11.88,0.0745
GO:0046651,lymphocyte proliferation,71,17,11.88,0.0745
GO:0070661,leukocyte proliferation,71,17,11.88,0.0745
GO:0015849,organic acid transport,112,25,18.74,0.0746
GO:0046942,carboxylic acid transport,112,25,18.74,0.0746
GO:0001507,acetylcholine catabolic process in synap...,3,2,0.5,0.0746
GO:0001781,neutrophil apoptotic process,3,2,0.5,0.0746
GO:0001865,NK T cell differentiation,3,2,0.5,0.0746
GO:0001975,response to amphetamine,3,2,0.5,0.0746
GO:0006015,5-phosphoribose 1-diphosphate biosynthet...,3,2,0.5,0.0746
GO:0006435,threonyl-tRNA aminoacylation,3,2,0.5,0.0746
GO:0006449,regulation of translational termination,3,2,0.5,0.0746
GO:0006581,acetylcholine catabolic process,3,2,0.5,0.0746
GO:0006686,sphingomyelin biosynthetic process,3,2,0.5,0.0746
GO:0006925,inflammatory cell apoptotic process,3,2,0.5,0.0746
GO:0006995,cellular response to nitrogen starvation,3,2,0.5,0.0746
GO:0007402,ganglion mother cell fate determination,3,2,0.5,0.0746
GO:0010520,regulation of reciprocal meiotic recombi...,3,2,0.5,0.0746
GO:0010807,regulation of synaptic vesicle priming,3,2,0.5,0.0746
GO:0010819,regulation of T cell chemotaxis,3,2,0.5,0.0746
GO:0010820,positive regulation of T cell chemotaxis,3,2,0.5,0.0746
GO:0010840,regulation of circadian sleep/wake cycle...,3,2,0.5,0.0746
GO:0010845,positive regulation of reciprocal meioti...,3,2,0.5,0.0746
GO:0014888,striated muscle adaptation,3,2,0.5,0.0746
GO:0015802,basic amino acid transport,3,2,0.5,0.0746
GO:0019626,short-chain fatty acid catabolic process,3,2,0.5,0.0746
GO:0021554,optic nerve development,3,2,0.5,0.0746
GO:0021859,pyramidal neuron differentiation,3,2,0.5,0.0746
GO:0021860,pyramidal neuron development,3,2,0.5,0.0746
GO:0031440,regulation of mRNA 3'-end processing,3,2,0.5,0.0746
GO:0033029,regulation of neutrophil apoptotic proce...,3,2,0.5,0.0746
GO:0035287,head segmentation,3,2,0.5,0.0746
GO:0042117,monocyte activation,3,2,0.5,0.0746
GO:0042746,circadian sleep/wake cycle, wakefulness,3,2,0.5,0.0746
GO:0043501,skeletal muscle adaptation,3,2,0.5,0.0746
GO:0043562,cellular response to nitrogen levels,3,2,0.5,0.0746
GO:0043618,regulation of transcription from RNA pol...,3,2,0.5,0.0746
GO:0043620,regulation of DNA-templated transcriptio...,3,2,0.5,0.0746
GO:0046391,5-phosphoribose 1-diphosphate metabolic ...,3,2,0.5,0.0746
GO:0046929,negative regulation of neurotransmitter ...,3,2,0.5,0.0746
GO:0048021,regulation of melanin biosynthetic proce...,3,2,0.5,0.0746
GO:0048711,positive regulation of astrocyte differe...,3,2,0.5,0.0746
GO:0050687,negative regulation of defense response ...,3,2,0.5,0.0746
GO:0051089,constitutive protein ectodomain proteoly...,3,2,0.5,0.0746
GO:0051136,regulation of NK T cell differentiation,3,2,0.5,0.0746
GO:0062125,regulation of mitochondrial gene express...,3,2,0.5,0.0746
GO:0070103,regulation of interleukin-6-mediated sig...,3,2,0.5,0.0746
GO:0070104,negative regulation of interleukin-6-med...,3,2,0.5,0.0746
GO:0070106,interleukin-27-mediated signaling pathwa...,3,2,0.5,0.0746
GO:0070129,regulation of mitochondrial translation,3,2,0.5,0.0746
GO:0071675,regulation of mononuclear cell migration,3,2,0.5,0.0746
GO:0071677,positive regulation of mononuclear cell ...,3,2,0.5,0.0746
GO:0090696,post-embryonic plant organ development,3,2,0.5,0.0746
GO:0140131,positive regulation of lymphocyte chemot...,3,2,0.5,0.0746
GO:1900376,regulation of secondary metabolite biosy...,3,2,0.5,0.0746
GO:1901623,regulation of lymphocyte chemotaxis,3,2,0.5,0.0746
GO:2000401,regulation of lymphocyte migration,3,2,0.5,0.0746
GO:2000403,positive regulation of lymphocyte migrat...,3,2,0.5,0.0746
GO:2000404,regulation of T cell migration,3,2,0.5,0.0746
GO:2000406,positive regulation of T cell migration,3,2,0.5,0.0746
GO:0002695,negative regulation of leukocyte activat...,23,7,3.85,0.0759
GO:0032878,regulation of establishment or maintenan...,23,7,3.85,0.0759
GO:0048014,Tie signaling pathway,23,7,3.85,0.0759
GO:0048147,negative regulation of fibroblast prolif...,23,7,3.85,0.0759
GO:1902904,negative regulation of supramolecular fi...,42,11,7.03,0.0803
GO:0046483,heterocycle metabolic process,2263,400,378.65,0.0811
GO:0006778,porphyrin-containing compound metabolic ...,28,8,4.69,0.0827
GO:1901879,regulation of protein depolymerization,28,8,4.69,0.0827
GO:0002218,activation of innate immune response,108,24,18.07,0.0828
GO:0050900,leukocyte migration,72,17,12.05,0.0830
GO:0019098,reproductive behavior,52,13,8.7,0.0830
GO:0010001,glial cell differentiation,67,16,11.21,0.0834
GO:0032648,regulation of interferon-beta production,19,6,3.18,0.0835
GO:0050729,positive regulation of inflammatory resp...,19,6,3.18,0.0835
GO:0042440,pigment metabolic process,57,14,9.54,0.0835
GO:0043491,phosphatidylinositol 3-kinase/protein ki...,62,15,10.37,0.0837
GO:0048584,positive regulation of response to stimu...,521,99,87.18,0.0857
GO:0098542,defense response to other organism,420,81,70.28,0.0862
GO:0090304,nucleic acid metabolic process,1908,339,319.25,0.0869
GO:0002758,innate immune response-activating signal...,93,21,15.56,0.0872
GO:0044248,cellular catabolic process,454,87,75.96,0.0875
GO:0006139,nucleobase-containing compound metabolic...,2155,381,360.58,0.0877
GO:0006403,RNA localization,83,19,13.89,0.0899
GO:0007266,Rho protein signal transduction,83,19,13.89,0.0899
GO:0001570,vasculogenesis,38,10,6.36,0.0904
GO:2000241,regulation of reproductive process,38,10,6.36,0.0904
GO:0006525,arginine metabolic process,15,5,2.51,0.0908
GO:0009084,glutamine family amino acid biosynthetic...,15,5,2.51,0.0908
GO:0009957,epidermal cell fate specification,15,5,2.51,0.0908
GO:0034656,nucleobase-containing small molecule cat...,15,5,2.51,0.0908
GO:0046632,alpha-beta T cell differentiation,15,5,2.51,0.0908
GO:0019222,regulation of metabolic process,1916,340,320.59,0.0910
GO:0043687,post-translational protein modification,585,110,97.88,0.0916
GO:0018958,phenol-containing compound metabolic pro...,43,11,7.19,0.0923
GO:0007610,behavior,338,66,56.56,0.0929
GO:0006874,intracellular calcium ion homeostasis,99,22,16.56,0.0936
GO:1903522,regulation of blood circulation,53,13,8.87,0.0940
GO:0030098,lymphocyte differentiation,58,14,9.7,0.0940
GO:0120032,regulation of plasma membrane bounded ce...,58,14,9.7,0.0940
GO:0002253,activation of immune response,152,32,25.43,0.0940
GO:0099536,synaptic signaling,217,44,36.31,0.0944
GO:0050776,regulation of immune response,239,48,39.99,0.0950
GO:0001817,regulation of cytokine production,115,25,19.24,0.0956
GO:0007626,locomotory behavior,115,25,19.24,0.0956
GO:0097435,supramolecular fiber organization,322,63,53.88,0.0959
GO:0002097,tRNA wobble base modification,11,4,1.84,0.0965
GO:0009065,glutamine family amino acid catabolic pr...,11,4,1.84,0.0965
GO:0009268,response to pH,11,4,1.84,0.0965
GO:0035872,nucleotide-binding domain, leucine rich ...,11,4,1.84,0.0965
GO:0045760,positive regulation of action potential,11,4,1.84,0.0965
GO:0050869,negative regulation of B cell activation,11,4,1.84,0.0965
GO:0070423,nucleotide-binding oligomerization domai...,11,4,1.84,0.0965
GO:0098900,regulation of action potential,11,4,1.84,0.0965
GO:0001779,natural killer cell differentiation,7,3,1.17,0.0966
GO:0001893,maternal placenta development,7,3,1.17,0.0966
GO:0009073,aromatic amino acid family biosynthetic ...,7,3,1.17,0.0966
GO:0010310,regulation of hydrogen peroxide metaboli...,7,3,1.17,0.0966
GO:0019646,aerobic electron transport chain,7,3,1.17,0.0966
GO:0021846,cell proliferation in forebrain,7,3,1.17,0.0966
GO:0030593,neutrophil chemotaxis,7,3,1.17,0.0966
GO:0030889,negative regulation of B cell proliferat...,7,3,1.17,0.0966
GO:0032743,positive regulation of interleukin-2 pro...,7,3,1.17,0.0966
GO:0033238,regulation of amine metabolic process,7,3,1.17,0.0966
GO:0036296,response to increased oxygen levels,7,3,1.17,0.0966
GO:0042531,positive regulation of tyrosine phosphor...,7,3,1.17,0.0966
GO:0045687,positive regulation of glial cell differ...,7,3,1.17,0.0966
GO:0045840,positive regulation of mitotic nuclear d...,7,3,1.17,0.0966
GO:0046037,GMP metabolic process,7,3,1.17,0.0966
GO:0046637,regulation of alpha-beta T cell differen...,7,3,1.17,0.0966
GO:0051923,sulfation,7,3,1.17,0.0966
GO:0055093,response to hyperoxia,7,3,1.17,0.0966
GO:0060297,regulation of sarcomere organization,7,3,1.17,0.0966
