GO.ID,Term,Annotated,Significant,Expected,classic
GO:1903322,positive regulation of protein modificat...,3,2,0.91,0.216
GO:0019637,organophosphate metabolic process,6,3,1.81,0.255
GO:0070647,protein modification by small protein co...,6,3,1.81,0.255
GO:1901137,carbohydrate derivative biosynthetic pro...,6,3,1.81,0.255
GO:0007417,central nervous system development,9,4,2.72,0.268
GO:0009719,response to endogenous stimulus,9,4,2.72,0.268
GO:0071495,cellular response to endogenous stimulus,9,4,2.72,0.268
GO:0071702,organic substance transport,9,4,2.72,0.268
GO:0072359,circulatory system development,9,4,2.72,0.268
GO:0009966,regulation of signal transduction,15,6,4.53,0.271
GO:0010646,regulation of cell communication,15,6,4.53,0.271
GO:0023051,regulation of signaling,15,6,4.53,0.271
GO:0051641,cellular localization,15,6,4.53,0.271
GO:0010033,response to organic substance,12,5,3.62,0.271
GO:0042221,response to chemical,12,5,3.62,0.271
GO:0000041,transition metal ion transport,1,1,0.3,0.302
GO:0000079,regulation of cyclin-dependent protein s...,1,1,0.3,0.302
GO:0000154,rRNA modification,1,1,0.3,0.302
GO:0000270,peptidoglycan metabolic process,1,1,0.3,0.302
GO:0000470,maturation of LSU-rRNA,1,1,0.3,0.302
GO:0000578,embryonic axis specification,1,1,0.3,0.302
GO:0001505,regulation of neurotransmitter levels,1,1,0.3,0.302
GO:0001507,acetylcholine catabolic process in synap...,1,1,0.3,0.302
GO:0001510,RNA methylation,1,1,0.3,0.302
GO:0001708,cell fate specification,1,1,0.3,0.302
GO:0001933,negative regulation of protein phosphory...,1,1,0.3,0.302
GO:0002576,platelet degranulation,1,1,0.3,0.302
GO:0003360,brainstem development,1,1,0.3,0.302
GO:0006072,glycerol-3-phosphate metabolic process,1,1,0.3,0.302
GO:0006116,NADH oxidation,1,1,0.3,0.302
GO:0006127,glycerophosphate shuttle,1,1,0.3,0.302
GO:0006364,rRNA processing,1,1,0.3,0.302
GO:0006469,negative regulation of protein kinase ac...,1,1,0.3,0.302
GO:0006544,glycine metabolic process,1,1,0.3,0.302
GO:0006566,threonine metabolic process,1,1,0.3,0.302
GO:0006567,threonine catabolic process,1,1,0.3,0.302
GO:0006581,acetylcholine catabolic process,1,1,0.3,0.302
GO:0006605,protein targeting,1,1,0.3,0.302
GO:0006626,protein targeting to mitochondrion,1,1,0.3,0.302
GO:0006816,calcium ion transport,1,1,0.3,0.302
GO:0006817,phosphate ion transport,1,1,0.3,0.302
GO:0006828,manganese ion transport,1,1,0.3,0.302
GO:0006829,zinc ion transport,1,1,0.3,0.302
GO:0006836,neurotransmitter transport,1,1,0.3,0.302
GO:0006839,mitochondrial transport,1,1,0.3,0.302
GO:0006873,intracellular monoatomic ion homeostasis,1,1,0.3,0.302
GO:0006874,intracellular calcium ion homeostasis,1,1,0.3,0.302
GO:0006882,intracellular zinc ion homeostasis,1,1,0.3,0.302
GO:0006986,response to unfolded protein,1,1,0.3,0.302
GO:0007030,Golgi organization,1,1,0.3,0.302
GO:0007064,mitotic sister chromatid cohesion,1,1,0.3,0.302
GO:0007088,regulation of mitotic nuclear division,1,1,0.3,0.302
GO:0007094,mitotic spindle assembly checkpoint sign...,1,1,0.3,0.302
GO:0007095,mitotic G2 DNA damage checkpoint signali...,1,1,0.3,0.302
GO:0007158,neuron cell-cell adhesion,1,1,0.3,0.302
GO:0007173,epidermal growth factor receptor signali...,1,1,0.3,0.302
GO:0007269,neurotransmitter secretion,1,1,0.3,0.302
GO:0007271,synaptic transmission, cholinergic,1,1,0.3,0.302
GO:0007517,muscle organ development,1,1,0.3,0.302
GO:0007586,digestion,1,1,0.3,0.302
GO:0008037,cell recognition,1,1,0.3,0.302
GO:0008038,neuron recognition,1,1,0.3,0.302
GO:0008291,acetylcholine metabolic process,1,1,0.3,0.302
GO:0009063,amino acid catabolic process,1,1,0.3,0.302
GO:0009066,aspartate family amino acid metabolic pr...,1,1,0.3,0.302
GO:0009068,aspartate family amino acid catabolic pr...,1,1,0.3,0.302
GO:0009069,serine family amino acid metabolic proce...,1,1,0.3,0.302
GO:0009252,peptidoglycan biosynthetic process,1,1,0.3,0.302
GO:0009263,deoxyribonucleotide biosynthetic process,1,1,0.3,0.302
GO:0009303,rRNA transcription,1,1,0.3,0.302
GO:0009411,response to UV,1,1,0.3,0.302
GO:0009416,response to light stimulus,1,1,0.3,0.302
GO:0009451,RNA modification,1,1,0.3,0.302
GO:0009636,response to toxic substance,1,1,0.3,0.302
GO:0009710,tropane alkaloid biosynthetic process,1,1,0.3,0.302
GO:0009755,hormone-mediated signaling pathway,1,1,0.3,0.302
GO:0009820,alkaloid metabolic process,1,1,0.3,0.302
GO:0009821,alkaloid biosynthetic process,1,1,0.3,0.302
GO:0009948,anterior/posterior axis specification,1,1,0.3,0.302
GO:0010038,response to metal ion,1,1,0.3,0.302
GO:0010042,response to manganese ion,1,1,0.3,0.302
GO:0010043,response to zinc ion,1,1,0.3,0.302
GO:0010563,negative regulation of phosphorus metabo...,1,1,0.3,0.302
GO:0010639,negative regulation of organelle organiz...,1,1,0.3,0.302
GO:0010965,regulation of mitotic sister chromatid s...,1,1,0.3,0.302
GO:0010975,regulation of neuron projection developm...,1,1,0.3,0.302
GO:0010977,negative regulation of neuron projection...,1,1,0.3,0.302
GO:0014041,regulation of neuron maturation,1,1,0.3,0.302
GO:0014043,negative regulation of neuron maturation,1,1,0.3,0.302
GO:0014706,striated muscle tissue development,1,1,0.3,0.302
GO:0015691,cadmium ion transport,1,1,0.3,0.302
GO:0015698,inorganic anion transport,1,1,0.3,0.302
GO:0015711,organic anion transport,1,1,0.3,0.302
GO:0015712,hexose phosphate transport,1,1,0.3,0.302
GO:0015748,organophosphate ester transport,1,1,0.3,0.302
GO:0015760,glucose-6-phosphate transport,1,1,0.3,0.302
GO:0015794,glycerol-3-phosphate transmembrane trans...,1,1,0.3,0.302
GO:0016198,axon choice point recognition,1,1,0.3,0.302
GO:0016199,axon midline choice point recognition,1,1,0.3,0.302
GO:0016202,regulation of striated muscle tissue dev...,1,1,0.3,0.302
GO:0019518,L-threonine catabolic process to glycine,1,1,0.3,0.302
GO:0019748,secondary metabolic process,1,1,0.3,0.302
GO:0019991,septate junction assembly,1,1,0.3,0.302
GO:0021549,cerebellum development,1,1,0.3,0.302
GO:0021591,ventricular system development,1,1,0.3,0.302
GO:0021675,nerve development,1,1,0.3,0.302
GO:0021682,nerve maturation,1,1,0.3,0.302
GO:0022037,metencephalon development,1,1,0.3,0.302
GO:0022613,ribonucleoprotein complex biogenesis,1,1,0.3,0.302
GO:0022900,electron transport chain,1,1,0.3,0.302
GO:0022904,respiratory electron transport chain,1,1,0.3,0.302
GO:0023019,signal transduction involved in regulati...,1,1,0.3,0.302
GO:0023061,signal release,1,1,0.3,0.302
GO:0030003,intracellular monoatomic cation homeosta...,1,1,0.3,0.302
GO:0030150,protein import into mitochondrial matrix,1,1,0.3,0.302
GO:0030518,intracellular steroid hormone receptor s...,1,1,0.3,0.302
GO:0030520,intracellular estrogen receptor signalin...,1,1,0.3,0.302
GO:0030522,intracellular receptor signaling pathway,1,1,0.3,0.302
GO:0030902,hindbrain development,1,1,0.3,0.302
GO:0030968,endoplasmic reticulum unfolded protein r...,1,1,0.3,0.302
GO:0031167,rRNA methylation,1,1,0.3,0.302
GO:0031345,negative regulation of cell projection o...,1,1,0.3,0.302
GO:0031577,spindle checkpoint signaling,1,1,0.3,0.302
GO:0032088,negative regulation of NF-kappaB transcr...,1,1,0.3,0.302
GO:0032434,regulation of proteasomal ubiquitin-depe...,1,1,0.3,0.302
GO:0032436,positive regulation of proteasomal ubiqu...,1,1,0.3,0.302
GO:0032525,somite rostral/caudal axis specification,1,1,0.3,0.302
GO:0033046,negative regulation of sister chromatid ...,1,1,0.3,0.302
GO:0033047,regulation of mitotic sister chromatid s...,1,1,0.3,0.302
GO:0033048,negative regulation of mitotic sister ch...,1,1,0.3,0.302
GO:0033143,regulation of intracellular steroid horm...,1,1,0.3,0.302
GO:0033146,regulation of intracellular estrogen rec...,1,1,0.3,0.302
GO:0033333,fin development,1,1,0.3,0.302
GO:0033334,fin morphogenesis,1,1,0.3,0.302
GO:0033339,pectoral fin development,1,1,0.3,0.302
GO:0033673,negative regulation of kinase activity,1,1,0.3,0.302
GO:0034220,monoatomic ion transmembrane transport,1,1,0.3,0.302
GO:0034308,primary alcohol metabolic process,1,1,0.3,0.302
GO:0034508,centromere complex assembly,1,1,0.3,0.302
GO:0034620,cellular response to unfolded protein,1,1,0.3,0.302
GO:0034763,negative regulation of transmembrane tra...,1,1,0.3,0.302
GO:0034765,regulation of monoatomic ion transmembra...,1,1,0.3,0.302
GO:0034766,negative regulation of monoatomic ion tr...,1,1,0.3,0.302
GO:0035088,establishment or maintenance of apical/b...,1,1,0.3,0.302
GO:0035118,embryonic pectoral fin morphogenesis,1,1,0.3,0.302
GO:0035138,pectoral fin morphogenesis,1,1,0.3,0.302
GO:0035176,social behavior,1,1,0.3,0.302
GO:0035265,organ growth,1,1,0.3,0.302
GO:0035385,Roundabout signaling pathway,1,1,0.3,0.302
GO:0035435,phosphate ion transmembrane transport,1,1,0.3,0.302
GO:0035966,response to topologically incorrect prot...,1,1,0.3,0.302
GO:0035967,cellular response to topologically incor...,1,1,0.3,0.302
GO:0036465,synaptic vesicle recycling,1,1,0.3,0.302
GO:0038127,ERBB signaling pathway,1,1,0.3,0.302
GO:0042133,neurotransmitter metabolic process,1,1,0.3,0.302
GO:0042135,neurotransmitter catabolic process,1,1,0.3,0.302
GO:0042176,regulation of protein catabolic process,1,1,0.3,0.302
GO:0042180,cellular ketone metabolic process,1,1,0.3,0.302
GO:0042254,ribosome biogenesis,1,1,0.3,0.302
GO:0042273,ribosomal large subunit biogenesis,1,1,0.3,0.302
GO:0042326,negative regulation of phosphorylation,1,1,0.3,0.302
GO:0042391,regulation of membrane potential,1,1,0.3,0.302
GO:0042551,neuron maturation,1,1,0.3,0.302
GO:0043086,negative regulation of catalytic activit...,1,1,0.3,0.302
GO:0043271,negative regulation of monoatomic ion tr...,1,1,0.3,0.302
GO:0043279,response to alkaloid,1,1,0.3,0.302
GO:0043401,steroid hormone mediated signaling pathw...,1,1,0.3,0.302
GO:0043405,regulation of MAP kinase activity,1,1,0.3,0.302
GO:0043407,negative regulation of MAP kinase activi...,1,1,0.3,0.302
GO:0043409,negative regulation of MAPK cascade,1,1,0.3,0.302
GO:0043433,negative regulation of DNA-binding trans...,1,1,0.3,0.302
GO:0043523,regulation of neuron apoptotic process,1,1,0.3,0.302
GO:0043524,negative regulation of neuron apoptotic ...,1,1,0.3,0.302
GO:0043627,response to estrogen,1,1,0.3,0.302
GO:0044038,cell wall macromolecule biosynthetic pro...,1,1,0.3,0.302
GO:0044091,membrane biogenesis,1,1,0.3,0.302
GO:0044387,negative regulation of protein kinase ac...,1,1,0.3,0.302
GO:0044550,secondary metabolite biosynthetic proces...,1,1,0.3,0.302
GO:0044743,protein transmembrane import into intrac...,1,1,0.3,0.302
GO:0044773,mitotic DNA damage checkpoint signaling,1,1,0.3,0.302
GO:0044774,mitotic DNA integrity checkpoint signali...,1,1,0.3,0.302
GO:0044818,mitotic G2/M transition checkpoint,1,1,0.3,0.302
GO:0045197,establishment or maintenance of epitheli...,1,1,0.3,0.302
GO:0045664,regulation of neuron differentiation,1,1,0.3,0.302
GO:0045732,positive regulation of protein catabolic...,1,1,0.3,0.302
GO:0045839,negative regulation of mitotic nuclear d...,1,1,0.3,0.302
GO:0045841,negative regulation of mitotic metaphase...,1,1,0.3,0.302
GO:0045936,negative regulation of phosphate metabol...,1,1,0.3,0.302
GO:0046448,tropane alkaloid metabolic process,1,1,0.3,0.302
GO:0046686,response to cadmium ion,1,1,0.3,0.302
GO:0046928,regulation of neurotransmitter secretion,1,1,0.3,0.302
GO:0046929,negative regulation of neurotransmitter ...,1,1,0.3,0.302
GO:0048469,cell maturation,1,1,0.3,0.302
GO:0048488,synaptic vesicle endocytosis,1,1,0.3,0.302
GO:0048545,response to steroid hormone,1,1,0.3,0.302
GO:0048560,establishment of anatomical structure or...,1,1,0.3,0.302
GO:0048561,establishment of animal organ orientatio...,1,1,0.3,0.302
GO:0048634,regulation of muscle organ development,1,1,0.3,0.302
GO:0048878,chemical homeostasis,1,1,0.3,0.302
GO:0050651,dermatan sulfate proteoglycan biosynthet...,1,1,0.3,0.302
GO:0050655,dermatan sulfate proteoglycan metabolic ...,1,1,0.3,0.302
GO:0050801,monoatomic ion homeostasis,1,1,0.3,0.302
GO:0051048,negative regulation of secretion,1,1,0.3,0.302
GO:0051051,negative regulation of transport,1,1,0.3,0.302
GO:0051090,regulation of DNA-binding transcription ...,1,1,0.3,0.302
GO:0051304,chromosome separation,1,1,0.3,0.302
GO:0051306,mitotic sister chromatid separation,1,1,0.3,0.302
GO:0051348,negative regulation of transferase activ...,1,1,0.3,0.302
GO:0051382,kinetochore assembly,1,1,0.3,0.302
GO:0051383,kinetochore organization,1,1,0.3,0.302
GO:0051588,regulation of neurotransmitter transport,1,1,0.3,0.302
GO:0051589,negative regulation of neurotransmitter ...,1,1,0.3,0.302
GO:0051703,biological process involved in intraspec...,1,1,0.3,0.302
GO:0051783,regulation of nuclear division,1,1,0.3,0.302
GO:0051784,negative regulation of nuclear division,1,1,0.3,0.302
GO:0051924,regulation of calcium ion transport,1,1,0.3,0.302
GO:0051926,negative regulation of calcium ion trans...,1,1,0.3,0.302
GO:0051985,negative regulation of chromosome segreg...,1,1,0.3,0.302
GO:0052646,alditol phosphate metabolic process,1,1,0.3,0.302
GO:0055074,calcium ion homeostasis,1,1,0.3,0.302
GO:0055080,monoatomic cation homeostasis,1,1,0.3,0.302
GO:0055082,intracellular chemical homeostasis,1,1,0.3,0.302
GO:0060078,regulation of postsynaptic membrane pote...,1,1,0.3,0.302
GO:0060079,excitatory postsynaptic potential,1,1,0.3,0.302
GO:0060537,muscle tissue development,1,1,0.3,0.302
GO:0060828,regulation of canonical Wnt signaling pa...,1,1,0.3,0.302
GO:0060856,establishment of blood-brain barrier,1,1,0.3,0.302
GO:0060857,establishment of glial blood-brain barri...,1,1,0.3,0.302
GO:0061136,regulation of proteasomal protein catabo...,1,1,0.3,0.302
GO:0061245,establishment or maintenance of bipolar ...,1,1,0.3,0.302
GO:0061343,cell adhesion involved in heart morphoge...,1,1,0.3,0.302
GO:0061687,detoxification of inorganic compound,1,1,0.3,0.302
GO:0065002,intracellular protein transmembrane tran...,1,1,0.3,0.302
GO:0070050,neuron cellular homeostasis,1,1,0.3,0.302
GO:0070371,ERK1 and ERK2 cascade,1,1,0.3,0.302
GO:0070372,regulation of ERK1 and ERK2 cascade,1,1,0.3,0.302
GO:0070374,positive regulation of ERK1 and ERK2 cas...,1,1,0.3,0.302
GO:0070475,rRNA base methylation,1,1,0.3,0.302
GO:0070509,calcium ion import,1,1,0.3,0.302
GO:0070574,cadmium ion transmembrane transport,1,1,0.3,0.302
GO:0070585,protein localization to mitochondrion,1,1,0.3,0.302
GO:0071173,spindle assembly checkpoint signaling,1,1,0.3,0.302
GO:0071174,mitotic spindle checkpoint signaling,1,1,0.3,0.302
GO:0071248,cellular response to metal ion,1,1,0.3,0.302
GO:0071287,cellular response to manganese ion,1,1,0.3,0.302
GO:0071312,cellular response to alkaloid,1,1,0.3,0.302
GO:0071383,cellular response to steroid hormone sti...,1,1,0.3,0.302
GO:0071391,cellular response to estrogen stimulus,1,1,0.3,0.302
GO:0071421,manganese ion transmembrane transport,1,1,0.3,0.302
GO:0071577,zinc ion transmembrane transport,1,1,0.3,0.302
GO:0071578,zinc ion import across plasma membrane,1,1,0.3,0.302
GO:0071579,regulation of zinc ion transport,1,1,0.3,0.302
GO:0071580,regulation of zinc ion transmembrane tra...,1,1,0.3,0.302
GO:0071581,regulation of zinc ion transmembrane imp...,1,1,0.3,0.302
GO:0071582,negative regulation of zinc ion transpor...,1,1,0.3,0.302
GO:0071583,negative regulation of zinc ion transmem...,1,1,0.3,0.302
GO:0071584,negative regulation of zinc ion transmem...,1,1,0.3,0.302
GO:0071585,detoxification of cadmium ion,1,1,0.3,0.302
GO:0071625,vocalization behavior,1,1,0.3,0.302
GO:0071709,membrane assembly,1,1,0.3,0.302
GO:0071806,protein transmembrane transport,1,1,0.3,0.302
GO:0071897,DNA biosynthetic process,1,1,0.3,0.302
GO:0071900,regulation of protein serine/threonine k...,1,1,0.3,0.302
GO:0071901,negative regulation of protein serine/th...,1,1,0.3,0.302
GO:0072593,reactive oxygen species metabolic proces...,1,1,0.3,0.302
GO:0072655,establishment of protein localization to...,1,1,0.3,0.302
GO:0072733,response to staurosporine,1,1,0.3,0.302
GO:0072734,cellular response to staurosporine,1,1,0.3,0.302
GO:0090279,regulation of calcium ion import,1,1,0.3,0.302
GO:0090281,negative regulation of calcium ion impor...,1,1,0.3,0.302
GO:0090394,negative regulation of excitatory postsy...,1,1,0.3,0.302
GO:0090398,cellular senescence,1,1,0.3,0.302
GO:0097090,presynaptic membrane organization,1,1,0.3,0.302
GO:0097104,postsynaptic membrane assembly,1,1,0.3,0.302
GO:0097105,presynaptic membrane assembly,1,1,0.3,0.302
GO:0097501,stress response to metal ion,1,1,0.3,0.302
GO:0098655,monoatomic cation transmembrane transpor...,1,1,0.3,0.302
GO:0098659,inorganic cation import across plasma me...,1,1,0.3,0.302
GO:0098661,inorganic anion transmembrane transport,1,1,0.3,0.302
GO:0098662,inorganic cation transmembrane transport,1,1,0.3,0.302
GO:0098739,import across plasma membrane,1,1,0.3,0.302
GO:0098754,detoxification,1,1,0.3,0.302
GO:0098771,inorganic ion homeostasis,1,1,0.3,0.302
GO:0098781,ncRNA transcription,1,1,0.3,0.302
GO:0098815,modulation of excitatory postsynaptic po...,1,1,0.3,0.302
GO:0099003,vesicle-mediated transport in synapse,1,1,0.3,0.302
GO:0099054,presynapse assembly,1,1,0.3,0.302
GO:0099068,postsynapse assembly,1,1,0.3,0.302
GO:0099172,presynapse organization,1,1,0.3,0.302
GO:0099504,synaptic vesicle cycle,1,1,0.3,0.302
GO:0099565,chemical synaptic transmission, postsyna...,1,1,0.3,0.302
GO:0099587,inorganic ion import across plasma membr...,1,1,0.3,0.302
GO:0099643,signal release from synapse,1,1,0.3,0.302
GO:0140238,presynaptic endocytosis,1,1,0.3,0.302
GO:1900182,positive regulation of protein localizat...,1,1,0.3,0.302
GO:1900619,acetate ester metabolic process,1,1,0.3,0.302
GO:1901264,carbohydrate derivative transport,1,1,0.3,0.302
GO:1901605,alpha-amino acid metabolic process,1,1,0.3,0.302
GO:1901606,alpha-amino acid catabolic process,1,1,0.3,0.302
GO:1901796,regulation of signal transduction by p53...,1,1,0.3,0.302
GO:1901798,positive regulation of signal transducti...,1,1,0.3,0.302
GO:1901800,positive regulation of proteasomal prote...,1,1,0.3,0.302
GO:1901861,regulation of muscle tissue development,1,1,0.3,0.302
GO:1902100,negative regulation of metaphase/anaphas...,1,1,0.3,0.302
GO:1903409,reactive oxygen species biosynthetic pro...,1,1,0.3,0.302
GO:1903426,regulation of reactive oxygen species bi...,1,1,0.3,0.302
GO:1903427,negative regulation of reactive oxygen s...,1,1,0.3,0.302
GO:1903429,regulation of cell maturation,1,1,0.3,0.302
GO:1903430,negative regulation of cell maturation,1,1,0.3,0.302
GO:1903531,negative regulation of secretion by cell,1,1,0.3,0.302
GO:1903829,positive regulation of protein localizat...,1,1,0.3,0.302
GO:1904029,regulation of cyclin-dependent protein k...,1,1,0.3,0.302
GO:1904062,regulation of monoatomic cation transmem...,1,1,0.3,0.302
GO:1904063,negative regulation of cation transmembr...,1,1,0.3,0.302
GO:1904385,cellular response to angiotensin,1,1,0.3,0.302
GO:1905802,regulation of cellular response to manga...,1,1,0.3,0.302
GO:1905818,regulation of chromosome separation,1,1,0.3,0.302
GO:1905819,negative regulation of chromosome separa...,1,1,0.3,0.302
GO:1990170,stress response to cadmium ion,1,1,0.3,0.302
GO:1990542,mitochondrial transmembrane transport,1,1,0.3,0.302
GO:1990564,protein polyufmylation,1,1,0.3,0.302
GO:1990592,protein K69-linked ufmylation,1,1,0.3,0.302
GO:1990776,response to angiotensin,1,1,0.3,0.302
GO:2000377,regulation of reactive oxygen species me...,1,1,0.3,0.302
GO:2000378,negative regulation of reactive oxygen s...,1,1,0.3,0.302
GO:2000772,regulation of cellular senescence,1,1,0.3,0.302
GO:2000773,negative regulation of cellular senescen...,1,1,0.3,0.302
GO:2000816,negative regulation of mitotic sister ch...,1,1,0.3,0.302
GO:2001233,regulation of apoptotic signaling pathwa...,1,1,0.3,0.302
GO:2001234,negative regulation of apoptotic signali...,1,1,0.3,0.302
GO:2001242,regulation of intrinsic apoptotic signal...,1,1,0.3,0.302
GO:2001243,negative regulation of intrinsic apoptot...,1,1,0.3,0.302
GO:2001251,negative regulation of chromosome organi...,1,1,0.3,0.302
GO:0051179,localization,22,8,6.65,0.321
GO:0006810,transport,19,7,5.74,0.329
GO:0050896,response to stimulus,35,12,10.57,0.332
GO:0048583,regulation of response to stimulus,16,6,4.83,0.338
GO:0035556,intracellular signal transduction,13,5,3.93,0.345
GO:0000165,MAPK cascade,4,2,1.21,0.351
GO:0003007,heart morphogenesis,4,2,1.21,0.351
GO:0007420,brain development,4,2,1.21,0.351
GO:0016567,protein ubiquitination,4,2,1.21,0.351
GO:0031401,positive regulation of protein modificat...,4,2,1.21,0.351
GO:0032940,secretion by cell,4,2,1.21,0.351
GO:0042592,homeostatic process,4,2,1.21,0.351
GO:0043408,regulation of MAPK cascade,4,2,1.21,0.351
GO:0045930,negative regulation of mitotic cell cycl...,4,2,1.21,0.351
GO:0046903,secretion,4,2,1.21,0.351
GO:0051247,positive regulation of protein metabolic...,4,2,1.21,0.351
GO:0060322,head development,4,2,1.21,0.351
GO:0098657,import into cell,4,2,1.21,0.351
GO:0140352,export from cell,4,2,1.21,0.351
GO:1901698,response to nitrogen compound,4,2,1.21,0.351
GO:1901699,cellular response to nitrogen compound,4,2,1.21,0.351
GO:1901873,regulation of post-translational protein...,4,2,1.21,0.351
GO:1901991,negative regulation of mitotic cell cycl...,4,2,1.21,0.351
GO:1902533,positive regulation of intracellular sig...,4,2,1.21,0.351
GO:0016192,vesicle-mediated transport,7,3,2.11,0.355
GO:1902531,regulation of intracellular signal trans...,7,3,2.11,0.355
GO:0051234,establishment of localization,20,7,6.04,0.393
GO:0006357,regulation of transcription by RNA polym...,11,4,3.32,0.437
GO:0045944,positive regulation of transcription by ...,8,3,2.42,0.455
GO:0065008,regulation of biological quality,8,3,2.42,0.455
GO:1901565,organonitrogen compound catabolic proces...,8,3,2.42,0.455
GO:0006753,nucleoside phosphate metabolic process,5,2,1.51,0.478
GO:0007155,cell adhesion,5,2,1.51,0.478
GO:0009117,nucleotide metabolic process,5,2,1.51,0.478
GO:0009967,positive regulation of signal transducti...,5,2,1.51,0.478
GO:0010647,positive regulation of cell communicatio...,5,2,1.51,0.478
GO:0010948,negative regulation of cell cycle proces...,5,2,1.51,0.478
GO:0015031,protein transport,5,2,1.51,0.478
GO:0023056,positive regulation of signaling,5,2,1.51,0.478
GO:0034660,ncRNA metabolic process,5,2,1.51,0.478
GO:0045786,negative regulation of cell cycle,5,2,1.51,0.478
GO:0055086,nucleobase-containing small molecule met...,5,2,1.51,0.478
GO:1901988,negative regulation of cell cycle phase ...,5,2,1.51,0.478
GO:0000070,mitotic sister chromatid segregation,2,1,0.6,0.515
GO:0000077,DNA damage checkpoint signaling,2,1,0.6,0.515
GO:0000280,nuclear division,2,1,0.6,0.515
GO:0001704,formation of primary germ layer,2,1,0.6,0.515
GO:0001707,mesoderm formation,2,1,0.6,0.515
GO:0001756,somitogenesis,2,1,0.6,0.515
GO:0001822,kidney development,2,1,0.6,0.515
GO:0001932,regulation of protein phosphorylation,2,1,0.6,0.515
GO:0001941,postsynaptic membrane organization,2,1,0.6,0.515
GO:0003143,embryonic heart tube morphogenesis,2,1,0.6,0.515
GO:0003146,heart jogging,2,1,0.6,0.515
GO:0006022,aminoglycan metabolic process,2,1,0.6,0.515
GO:0006023,aminoglycan biosynthetic process,2,1,0.6,0.515
GO:0006024,glycosaminoglycan biosynthetic process,2,1,0.6,0.515
