LOC111099202	GO:0003676,GO:0046872
LOC111104082	GO:0003014,GO:0004197,GO:0005764,GO:0005770,GO:0006508,GO:0006624,GO:0008233,GO:0010447,GO:0032801,GO:0040015,GO:0043524,GO:0045177,GO:0051603,GO:0070062,GO:1901185
LOC111104176	GO:0000010,GO:0005759,GO:0005829,GO:0006744,GO:0008299,GO:0046982,GO:0050347,GO:0050878,GO:0051290,GO:1990234
LOC111104183	GO:0003723,GO:0004535,GO:0005634,GO:0005737,GO:0006351,GO:0006355,GO:0046872
LOC111104342	GO:0005525,GO:0005622,GO:0007264
LOC111105325	GO:0001867,GO:0002752,GO:0005576,GO:0005581,GO:0007186,GO:0008329,GO:0030246,GO:0031232,GO:0046872,GO:0097367,GO:2000484
LOC111105847	GO:0000139,GO:0001537,GO:0002063,GO:0007585,GO:0009791,GO:0016020,GO:0016021,GO:0016051,GO:0030206,GO:0030512,GO:0033037,GO:0036342,GO:0042127,GO:0042733,GO:0043066,GO:0047756,GO:0048589,GO:0048703,GO:0050659
LOC111106209	GO:0005524,GO:0005829,GO:0006631,GO:0030729
LOC111106378	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355,GO:0008270
LOC111106536	GO:0002020,GO:0005578,GO:0005604,GO:0005615,GO:0005634,GO:0008191,GO:0010033,GO:0043086,GO:0046872,GO:0051045,GO:0070062,GO:0070373,GO:0071310,GO:1903984,GO:1904684
LOC111106539	GO:0004714,GO:0005524,GO:0007169,GO:0016021,GO:0050918,GO:0071526,GO:2001028
LOC111108011	GO:0005639,GO:0005788,GO:0005794,GO:0043621,GO:0071763
LOC111108762	GO:0001561,GO:0005739,GO:0005777,GO:0005782,GO:0006103,GO:0006720,GO:0008198,GO:0031406,GO:0031418,GO:0048037,GO:0048244,GO:0097089
LOC111110084	GO:0005887,GO:0007166
LOC111110266	GO:0005739,GO:0047369
LOC111110454	GO:0036381,GO:0042823
LOC111110739	GO:0002024,GO:0002025,GO:0002028,GO:0002032,GO:0004941,GO:0005634,GO:0005769,GO:0005887,GO:0006898,GO:0007190,GO:0007267,GO:0008179,GO:0009409,GO:0015459,GO:0016324,GO:0030501,GO:0031398,GO:0031649,GO:0040015,GO:0042803,GO:0043235,GO:0043410,GO:0045453,GO:0045944,GO:0045986,GO:0050873,GO:0051379,GO:0051380,GO:0071880,GO:1901098,GO:1904504
LOC111110744	GO:0008643,GO:0016021,GO:0022891,GO:0048085,GO:0090277
LOC111110868	GO:0005576
LOC111111117	GO:0005737,GO:0031397,GO:0031398,GO:0031463,GO:0031672,GO:0031674,GO:0032436,GO:0048741,GO:0098528
LOC111111155	GO:0004867,GO:0005615,GO:0005737,GO:0016020,GO:0070062
LOC111111998	GO:0000245,GO:0000375,GO:0000398,GO:0003723,GO:0003729,GO:0005634,GO:0005654,GO:0005681,GO:0005686,GO:0005689,GO:0016607,GO:0034693,GO:0045815,GO:0071004,GO:0071013,GO:0006397,GO:0008380
LOC111112359	GO:0004512,GO:0005737,GO:0006021,GO:0008654
LOC111112414	GO:0004379,GO:0005737,GO:0005794,GO:0005829,GO:0005886,GO:0018008,GO:0019898,GO:0022400,GO:0075733
LOC111114112	GO:0001077,GO:0001889,GO:0001952,GO:0002064,GO:0003677,GO:0005634,GO:0006006,GO:0006355,GO:0007219,GO:0007492,GO:0009653,GO:0030154,GO:0030183,GO:0030335,GO:0030512,GO:0031018,GO:0045165,GO:0045944,GO:0048536,GO:0048731,GO:0060271
LOC111114519	GO:0003677,GO:0005634,GO:0006351,GO:0006355,GO:0046872
LOC111116362	NA
LOC111116430	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
LOC111116692	GO:0004725,GO:0005886,GO:0006470,GO:0007156,GO:0007169,GO:0008013,GO:0009986,GO:0016021,GO:0016790,GO:0045294,GO:0045295,GO:0045296,GO:0051393,GO:0070097
LOC111117110	NA
LOC111117546	GO:0004499,GO:0005576,GO:0009820,GO:0033784,GO:0050660,GO:0050661,GO:0051289,GO:0055114
LOC111117955	GO:0005031,GO:0005634,GO:0005887,GO:0006954,GO:0006955,GO:0007166,GO:0007275,GO:0007568,GO:0008283,GO:0008630,GO:0016020,GO:0031625,GO:0032496,GO:0042127,GO:0043025,GO:0043154,GO:0043196,GO:0045121,GO:0048471,GO:0050728,GO:0050779,GO:0051044,GO:0071222,GO:0071363,GO:0097191
LOC111118371	NA
LOC111118372	NA
LOC111119152	GO:0005759,GO:0008203,GO:0015039
LOC111119486	NA,GO:0003677,GO:0003700,GO:0005634,GO:0005737,GO:0006351,GO:0006357
LOC111120053	GO:0016021
LOC111120120	GO:0005737,GO:0005886,GO:0007165,GO:0010976,GO:0014069,GO:0030054,GO:0043005,GO:0045211
LOC111120346	GO:0005886,GO:0009738,GO:0009787,GO:0071470
LOC111120520	GO:0005576,GO:0016020
LOC111120805	GO:0005829,GO:0007283,GO:0030552
LOC111122219	GO:0005634,GO:0006351,GO:0006355
LOC111122293	GO:0001701,GO:0001889,GO:0003723,GO:0005080,GO:0005509,GO:0005783,GO:0006491,GO:0006807,GO:0010977,GO:0044325,GO:0051219,GO:0051291,GO:0072001
LOC111122657	NA
LOC111123248	GO:0005634,GO:0005737,GO:0005874,GO:0008017,GO:0042803
LOC111124637	GO:0003707,GO:0004887,GO:0005634,GO:0006351,GO:0008270,GO:0042803,GO:0043565,GO:0045893,GO:0046965,GO:0046966,GO:0046982,GO:0070324
LOC111124789	GO:0016787
LOC111125357	GO:0001658,GO:0003007,GO:0005509,GO:0005622,GO:0005886,GO:0007009,GO:0007156,GO:0007157,GO:0007219,GO:0008543,GO:0016021,GO:0021987,GO:0022008,GO:0035329,GO:0043931,GO:0045177,GO:0048565,GO:0060122,GO:0070062,GO:0072137,GO:0072307
LOC111125407	GO:0005509,GO:0005886,GO:0007156,GO:0016021,GO:0030426,GO:0030900,GO:0044291
LOC111125717	GO:0007155,GO:0009617,GO:0016936,GO:0030246,GO:0030247,GO:0031982,GO:0045335,GO:0046871,GO:0046872,GO:0070492,GO:0098609
LOC111125913	NA
LOC111126143	NA
LOC111126469	NA
LOC111126658	GO:0001657,GO:0002043,GO:0005615,GO:0010594,GO:0030514,GO:0042118,GO:0045446,GO:0048839,GO:0060393,GO:0070374
LOC111126709	GO:0005737,GO:0006769,GO:0008936,GO:0019363,GO:0046872
LOC111127510	GO:0001558,GO:0005634,GO:0006629,GO:0007283,GO:0016021,GO:0019915,GO:0045444,GO:0051647,GO:0060612
LOC111127833	GO:0000123,GO:0000777,GO:0005634,GO:0005654,GO:0043981,GO:0043982,GO:0043984,GO:0071339
LOC111127838	GO:0005096,GO:0005737,GO:0007266,GO:0043087,GO:0045467,GO:0048786,GO:0048789,GO:0048790,GO:0048846,GO:0090630,GO:0097479
LOC111127888	GO:0017000,GO:0031418,GO:0046872,GO:0051213
LOC111128074	GO:0004383,GO:0004872,GO:0005524,GO:0005525,GO:0005886,GO:0005887,GO:0006182,GO:0007165,GO:0008074,GO:0019934
LOC111128432	GO:0008017,GO:0005814,GO:0005879,GO:0009631,GO:0030030,GO:0031514,GO:0036064,GO:0036126,GO:0045724,GO:0070417
LOC111128909	GO:0000139,GO:0004559,GO:0004572,GO:0006013,GO:0006486,GO:0006491,GO:0006517,GO:0015923,GO:0016021,GO:0016799,GO:0030246,GO:0046872
LOC111129082	GO:0000149,GO:0000165,GO:0000186,GO:0000187,GO:0001933,GO:0001934,GO:0001948,GO:0003779,GO:0003924,GO:0004672,GO:0004674,GO:0004708,GO:0004871,GO:0005096,GO:0005524,GO:0005525,GO:0005615,GO:0005622,GO:0005634,GO:0005737,GO:0005739,GO:0005741,GO:0005743,GO:0005759,GO:0005764,GO:0005768,GO:0005783,GO:0005794,GO:0005798,GO:0005802,GO:0005829,GO:0005886,GO:0005902,GO:0006468,GO:0006897,GO:0006914,GO:0006979,GO:0007005,GO:0007030,GO:0007040,GO:0007264,GO:0007528,GO:0008021,GO:0008340,GO:0009267,GO:0010506,GO:0010508,GO:0010738,GO:0010955,GO:0014041,GO:0015631,GO:0016234,GO:0016242,GO:0016301,GO:0016310,GO:0017048,GO:0017075,GO:0018105,GO:0018107,GO:0019722,GO:0021772,GO:0022028,GO:0030054,GO:0030159,GO:0030276,GO:0030424,GO:0030425,GO:0030426,GO:0030529,GO:0030672,GO:0031398,GO:0031410,GO:0031966,GO:0032091,GO:0032092,GO:0032403,GO:0032436,GO:0032473,GO:0032839,GO:0034211,GO:0034260,GO:0034599,GO:0034613,GO:0035556,GO:0035564,GO:0035640,GO:0035641,GO:0035751,GO:0036465,GO:0036479,GO:0040012,GO:0042391,GO:0042802,GO:0042803,GO:0043005,GO:0043025,GO:0043068,GO:0043195,GO:0043204,GO:0043231,GO:0044325,GO:0044753,GO:0044754,GO:0045121,GO:0045202,GO:0046039,GO:0046777,GO:0048312,GO:0048812,GO:0051018,GO:0051646,GO:0051900,GO:0051966,GO:0060079,GO:0060159,GO:0060161,GO:0060828,GO:0061001,GO:0070062,GO:0070997,GO:0071287,GO:0072593,GO:0090263,GO:0090394,GO:0097487,GO:0098794,GO:0099400,GO:1901214,GO:1901215,GO:1902236,GO:1902499,GO:1902692,GO:1902803,GO:1902902,GO:1903125,GO:1903206,GO:1903215,GO:1903351,GO:1904713,GO:1904887,GO:1905279,GO:1905289,GO:1990909,GO:2000172,GO:2000300
LOC111129614	GO:0000932,GO:0003723,GO:0003779,GO:0005521,GO:0005634,GO:0005635,GO:0005640,GO:0005654,GO:0005730,GO:0005737,GO:0005794,GO:0005856,GO:0006997,GO:0007030,GO:0007283,GO:0016021,GO:0019899,GO:0030017,GO:0031965,GO:0034993,GO:0042692,GO:0042802,GO:0042803,GO:0045211,GO:0051015,GO:0090286,GO:0090292
LOC111129627	GO:0000187,GO:0001751,GO:0004672,GO:0004674,GO:0004702,GO:0005524,GO:0005737,GO:0005886,GO:0005912,GO:0005913,GO:0006468,GO:0007010,GO:0007030,GO:0007266,GO:0007346,GO:0016319,GO:0016477,GO:0017048,GO:0018105,GO:0030036,GO:0031098,GO:0042981,GO:0045315,GO:0045792,GO:0046331,GO:0048365,GO:0048749,GO:2000047
LOC111129784	GO:0005886,GO:0016020
LOC111129906	GO:0006351,GO:0006355,GO:0016607
LOC111130037	GO:0005524,GO:0005887,GO:0006814,GO:0007005,GO:0007512,GO:0007626,GO:0008514,GO:0009437,GO:0015226,GO:0015293,GO:0015491,GO:0015651,GO:0015697,GO:0015879,GO:0016020,GO:0016324,GO:0030165,GO:0031526,GO:0048608,GO:0052106,GO:0060731,GO:0070062,GO:0070715
LOC111130338	GO:0000138,GO:0005737,GO:0005794,GO:0005886,GO:0006810,GO:0007270,GO:0007399,GO:0008105,GO:0009612,GO:0017137,GO:0030054,GO:0030140,GO:0030425,GO:0032580,GO:0040026,GO:0043005,GO:0043025,GO:0043058,GO:0045202,GO:0050975,GO:0097120,GO:1902946,GO:1903361,GO:1905852
LOC111130514	GO:0003987,GO:0005524,GO:0005739,GO:0005759,GO:0006085,GO:0016208,GO:0019413,GO:0019427,GO:0019542
LOC111131013	GO:0000445,GO:0000781,GO:0003723,GO:0005634,GO:0005737,GO:0006397,GO:0006406,GO:0008380,GO:0016607
LOC111131082	GO:0006351,GO:0007049,GO:0070176
LOC111131542	GO:0005634,GO:0006351,GO:0006355,GO:0030490,GO:0030686,GO:0048471
LOC111131616	GO:0002062,GO:0003429,GO:0005201,GO:0005509,GO:0005578,GO:0030500
LOC111131751	GO:0003676,GO:0005634,GO:0005654,GO:0005829,GO:0006351,GO:0006355,GO:0008270,GO:0051321
LOC111132602	GO:0002752,GO:0005576,GO:0005581,GO:0007186,GO:0008329,GO:0030246,GO:0031232,GO:0045087,GO:0046872,GO:2000484
LOC111133663	NA
LOC111133851	GO:0001947,GO:0003146,GO:0003707,GO:0005634,GO:0006351,GO:0008270,GO:0008434,GO:0043565,GO:0060119,GO:0071599
LOC111133957	GO:0005576
LOC111134127	GO:0005975,GO:0016853,GO:0042597
LOC111134464	GO:0005886,GO:0008201,GO:0008285,GO:0016021
LOC111134521	NA,GO:0003723,GO:0003968,GO:0004197,GO:0008242,GO:0008270,GO:0016021,GO:0019079,GO:0019082,GO:0033644,GO:0036459,GO:0039502,GO:0039520,GO:0039548,GO:0039579,GO:0039595,GO:0039648,GO:0044220
LOC111134646	GO:0003417,GO:0005509,GO:0005576,GO:0007160,GO:0008201,GO:0043931,GO:0048471,GO:0060346
LOC111134965	NA
LOC111135132	GO:0001816,GO:0005634,GO:0005737,GO:0016925,GO:0031386,GO:0045944
LOC111135189	GO:0004784,GO:0005507,GO:0005615,GO:0005737,GO:0006801,GO:0008270,GO:0016020
LOC111135566	GO:0003677,GO:0005829,GO:0015074,GO:0004129,GO:0005506,GO:0005743,GO:0006119,GO:0009060,GO:0016021,GO:0020037,GO:0045277
LOC111135767	GO:0004197,GO:0006915
LOC111135909	GO:0001837,GO:0001968,GO:0004720,GO:0005044,GO:0005507,GO:0005576,GO:0005615,GO:0005634,GO:0005737,GO:0006954,GO:0016020,GO:0018057,GO:0021510,GO:0030324,GO:0045892,GO:0060021,GO:0061053,GO:1905590,GO:2000329,GO:2001046
LOC111136050	GO:0000123,GO:0003688,GO:0003700,GO:0004402,GO:0005634,GO:0005654,GO:0005829,GO:0006260,GO:0006351,GO:0006355,GO:0008270,GO:0031098,GO:0043966,GO:0043981,GO:0043982,GO:0043983,GO:0044212,GO:0045944,GO:0072708,GO:0072710,GO:0072716,GO:0072720,GO:0072739,GO:0090240,GO:1900182
LOC111136620	GO:0005578,GO:0005581,GO:0005737
LOC111136730	GO:0005578,GO:0005581,GO:0005737
LOC111136812	NA
LOC111137163	GO:0005975,GO:0016853,GO:0042597
LOC111137295	GO:0000978,GO:0001501,GO:0001974,GO:0003222,GO:0003226,GO:0004386,GO:0005524,GO:0005634,GO:0006338,GO:0006351,GO:0006364,GO:0007512,GO:0007605,GO:0007628,GO:0008015,GO:0010880,GO:0016569,GO:0021553,GO:0021772,GO:0030217,GO:0030540,GO:0035116,GO:0035909,GO:0036302,GO:0040018,GO:0042048,GO:0043584,GO:0045944,GO:0048752,GO:0050767,GO:0050890,GO:0060021,GO:0060041,GO:0060123,GO:0060324,GO:0060384,GO:0060411,GO:0060429,GO:1990841
LOC111137518	GO:0000727,GO:0000811,GO:0005654,GO:0006271,GO:0031298,GO:0032508,GO:1902975
LOC111137838	GO:0003723,GO:0003779,GO:0005509,GO:0005615,GO:0005634,GO:0042802,GO:0043005,GO:0043123,GO:0046914,GO:0048306,GO:0048471,GO:0050786,GO:0070062,NA
LOC111137953	GO:0004518,GO:0005634,GO:0005737,GO:0046872
LOC111138131	GO:0006084,GO:0016740
LOC111138468	GO:0005737,GO:0005874,GO:0005881,GO:0007026,GO:0008017,GO:0008270,GO:0015630,GO:0016740,GO:0031625,GO:0032874,GO:0035372,GO:0042802,GO:0042803,GO:0046982,GO:0051219
