gene,Sex,Treatment,mean_mean,mean_sem
gene-LOC111116213,F,Control,0.3540034464285708,0.3198826742282069
gene-LOC111116213,F,Exposed,0.21911278571428575,0.19522446424855588
gene-LOC111116213,M,Control,0.4786334642857153,0.40983498812009655
gene-LOC111116213,M,Exposed,1.3612917619047629,1.270187193911731
gene-LOC111116214,F,Control,0.3874456666666668,0.19818715356801367
gene-LOC111116214,F,Exposed,0.4632601967592594,0.2246045504401938
gene-LOC111116214,M,Control,0.6089504074074075,0.4706117752276378
gene-LOC111116214,M,Exposed,1.119514265432099,0.7674008418068977
gene-LOC111116216,F,Control,0.48474775000000003,NA
gene-LOC111116216,F,Exposed,0.284090875,NA
gene-LOC111116216,M,Control,0,NA
gene-LOC111116216,M,Exposed,0.24875616666666667,NA
gene-LOC111116217,F,Control,5.6419304,0.8178790091555486
gene-LOC111116217,F,Exposed,6.65685285,1.1466412692421624
gene-LOC111116217,M,Control,4.326930975,0.6487981770212414
gene-LOC111116217,M,Exposed,1.65635405,0.386486329301307
gene-LOC111116223,F,Control,0.553995225,0.4778264748464087
gene-LOC111116223,F,Exposed,0.33713825,0.27847489633248373
gene-LOC111116223,M,Control,0.16207015,0.10793158848662675
gene-LOC111116223,M,Exposed,0.5922239,0.4679926160040517
gene-LOC111116225,F,Control,0.18750533333333336,0.18750533333333336
gene-LOC111116225,F,Exposed,0.246525125,0.246525125
gene-LOC111116225,M,Control,0.28771333333333327,0.256505650928238
gene-LOC111116225,M,Exposed,0.05367811111111117,0.026839995220706167
gene-LOC111116226,F,Control,0.7581344717741935,0.283119455638577
gene-LOC111116226,F,Exposed,0.5566576411290323,0.22062550932480388
gene-LOC111116226,M,Control,0.41155225806451623,0.16949405751515273
gene-LOC111116226,M,Exposed,0.9494834462365593,0.4271485036345803
gene-LOC111116231,F,Control,5.92256871875,1.7484066266869176
gene-LOC111116231,F,Exposed,5.08586809375,1.42085793163146
gene-LOC111116231,M,Control,11.3113150625,3.5693907470244
gene-LOC111116231,M,Exposed,10.365000458333334,2.657567340538768
gene-LOC111116233,F,Control,31.9703046875,26.7970564375
gene-LOC111116233,F,Exposed,25.4594588125,22.318983312500002
gene-LOC111116233,M,Control,50.126262624999995,48.737373625000004
gene-LOC111116233,M,Exposed,45.726463333333335,40.79747416666667
gene-LOC111116235,F,Control,4.044124843750001,2.503467363195015
gene-LOC111116235,F,Exposed,3.0212984062499997,2.2873842841516274
gene-LOC111116235,M,Control,7.031054875000001,2.3628058651368
gene-LOC111116235,M,Exposed,3.416685833333333,1.91999358094055
gene-LOC111116236,F,Control,5.0653595,NA
gene-LOC111116236,F,Exposed,6.309046,NA
gene-LOC111116236,M,Control,6.08333325,NA
gene-LOC111116236,M,Exposed,0,NA
gene-LOC111116239,F,Control,0.1838235,NA
gene-LOC111116239,F,Exposed,0.22680625,NA
gene-LOC111116239,M,Control,0,NA
gene-LOC111116239,M,Exposed,0.27322399999999997,NA
gene-LOC111116242,F,Control,0.19403725,0.10713086325735707
gene-LOC111116242,F,Exposed,0.21810828645833336,0.13366150065930596
gene-LOC111116242,M,Control,0.10127738541666682,0.07995687538705182
gene-LOC111116242,M,Exposed,0.10023818055555556,0.07119452567755538
gene-LOC111116243,F,Control,4.688332080882351,1.090304552335365
gene-LOC111116243,F,Exposed,4.3469522573529416,0.9553344751584643
gene-LOC111116243,M,Control,3.7086200735294126,1.0336767397186588
gene-LOC111116243,M,Exposed,8.645775786764705,2.062940391063309
gene-LOC111116245,F,Control,8.465135200892863,1.338093106188286
gene-LOC111116245,F,Exposed,7.449675267857135,1.165201035684649
gene-LOC111116245,M,Control,12.315758812500011,2.3205650852958275
gene-LOC111116245,M,Exposed,7.77556383333333,1.1486912813895735
gene-LOC111116246,F,Control,2.21953818359375,0.4489431406866275
gene-LOC111116246,F,Exposed,3.02175641796875,0.5218324603063358
gene-LOC111116246,M,Control,0.5735459609375,0.22735937900743225
gene-LOC111116246,M,Exposed,1.6619975572916668,0.6595752204046057
gene-LOC111116247,F,Control,0.21308773611111112,0.11569816026628192
gene-LOC111116247,F,Exposed,0.3854821840277778,0.172066878960126
gene-LOC111116247,M,Control,0.30631506249999974,0.15410264423213874
gene-LOC111116247,M,Exposed,0.17970618055555557,0.10344478011163227
gene-LOC111116248,F,Control,0.21168742982456135,0.0872243833598138
gene-LOC111116248,F,Exposed,0.19576276315789465,0.09930734026184203
gene-LOC111116248,M,Control,0.20089356140350875,0.09052172781057133
gene-LOC111116248,M,Exposed,0.172875014619883,0.0734295229102846
gene-LOC111116249,F,Control,0.25456275,0.0821889143360506
gene-LOC111116249,F,Exposed,0.243685510775862,0.09708520869330578
gene-LOC111116249,M,Control,0.10038881034482763,0.05229961677927503
gene-LOC111116249,M,Exposed,0.18289772988505754,0.08513066592471859
gene-LOC111116250,F,Control,0.18534063750000002,0.11960939751855575
gene-LOC111116250,F,Exposed,0.29209575,0.22340801874069777
gene-LOC111116250,M,Control,0.07238792499999999,0.07238792499999999
gene-LOC111116250,M,Exposed,0.20898645,0.14869668759051582
gene-LOC111116251,F,Control,0.22780555921052625,0.12537795543587152
gene-LOC111116251,F,Exposed,0.21700616447368437,0.14518955255404323
gene-LOC111116251,M,Control,0.314483447368421,0.17880487908511525
gene-LOC111116251,M,Exposed,0.12144848245614022,0.09430917462187388
gene-LOC111116252,F,Control,0.750970755,0.3792484629112759
gene-LOC111116252,F,Exposed,0.31952551,0.18187676933400862
gene-LOC111116252,M,Control,0.28011558999999997,0.14070127384366826
gene-LOC111116252,M,Exposed,0.14365234666666665,0.10556141710109967
gene-LOC111116253,F,Control,0.3210596923076924,0.10645701987140409
gene-LOC111116253,F,Exposed,0.2677401980769231,0.09959693344082682
gene-LOC111116253,M,Control,0.21958112307692298,0.07817924066878905
gene-LOC111116253,M,Exposed,0.216183412820513,0.08090402413443684
gene-LOC111116255,F,Control,0.21256830542452826,0.06980583060806445
gene-LOC111116255,F,Exposed,0.25836518278301873,0.08231915781222354
gene-LOC111116255,M,Control,0.348918759433962,0.13930347634128004
gene-LOC111116255,M,Exposed,0.2413486257861635,0.09066772799435122
gene-LOC111116256,F,Control,0.1622930625,0.13849154292327676
gene-LOC111116256,F,Exposed,0.3175933125,0.24076540971330349
gene-LOC111116256,M,Control,0.1701493,0.08334215581809624
gene-LOC111116256,M,Exposed,0.8718725666666667,0.13844513187629567
gene-LOC111116259,F,Control,0.300552025,0.25325737731521236
gene-LOC111116259,F,Exposed,0.410851725,0.410851725
gene-LOC111116259,M,Control,0.2024491,0.15574699456025726
gene-LOC111116259,M,Exposed,0,0
gene-LOC111116261,F,Control,1.789294375,0.953373125
gene-LOC111116261,F,Exposed,0.7440668125000001,0.5036821875
gene-LOC111116261,M,Control,0.290697625,0.290697625
gene-LOC111116261,M,Exposed,0.6838151666666666,0.6838151666666666
gene-LOC111116262,F,Control,0.65798621875,0.43059839658813126
gene-LOC111116262,F,Exposed,0.9747920625000001,0.6902046183588741
gene-LOC111116262,M,Control,1.204192625,0.8434895427530326
gene-LOC111116262,M,Exposed,1.6440035,0.9926210447286968
gene-LOC111116263,F,Control,0.5171530738636357,0.24981546659290949
gene-LOC111116263,F,Exposed,0.34248994318181814,0.231447241542031
gene-LOC111116263,M,Control,0.19026054545454554,0.15476043755750601
gene-LOC111116263,M,Exposed,0.09460862878787887,0.0695578798201062
gene-LOC111116264,F,Control,37.38585225360575,3.9959873653462985
gene-LOC111116264,F,Exposed,36.44649076442309,4.000094996199321
gene-LOC111116264,M,Control,43.3638933701923,4.544065271171715
gene-LOC111116264,M,Exposed,43.20748727884615,4.57511042701975
gene-LOC111116268,F,Control,17.081058395833328,2.0126330999053432
gene-LOC111116268,F,Exposed,13.029723666666671,2.1545907383670944
gene-LOC111116268,M,Control,2.7854850000000018,1.1026054755802104
gene-LOC111116268,M,Exposed,13.245095055555556,1.0576154653425678
gene-LOC111116269,F,Control,0.232866159090909,0.18307071745403586
gene-LOC111116269,F,Exposed,0.136321215909091,0.12141095870732987
gene-LOC111116269,M,Control,0.27221,0.17200490501007476
gene-LOC111116269,M,Exposed,0.168364196969697,0.168364196969697
gene-LOC111116270,F,Control,0.2199074375,0.2199074375
gene-LOC111116270,F,Exposed,0.1041666875,0.1041666875
gene-LOC111116270,M,Control,0.2314815,0.2314815
gene-LOC111116270,M,Exposed,0,0
gene-LOC111116271,F,Control,0.10330575,NA
gene-LOC111116271,F,Exposed,0.476110875,NA
gene-LOC111116271,M,Control,0,NA
gene-LOC111116271,M,Exposed,0.20576133333333335,NA
gene-LOC111116272,F,Control,4.448732354166666,1.9783859329777294
gene-LOC111116272,F,Exposed,3.6656393541666663,1.6479304569986262
gene-LOC111116272,M,Control,5.493374555555557,2.25688267386472
gene-LOC111116272,M,Exposed,5.3343350370370395,1.98106327487406
gene-LOC111116273,F,Control,21.5569565,1.9570150683534373
gene-LOC111116273,F,Exposed,19.77715234375,1.4801601868670764
gene-LOC111116273,M,Control,16.7200400625,2.646926335247585
gene-LOC111116273,M,Exposed,9.559782791666667,1.76511690136492
gene-LOC111116274,F,Control,3.46644125,1.1489042304865558
gene-LOC111116274,F,Exposed,6.697919046875,1.741252544826349
gene-LOC111116274,M,Control,9.738323031250001,2.222286203629495
gene-LOC111116274,M,Exposed,2.9517475208333335,0.821850220870755
gene-LOC111116275,F,Control,0.2496678749999999,0.1548705495242733
gene-LOC111116275,F,Exposed,0.2604036666666666,0.146280384039169
gene-LOC111116275,M,Control,0.3901665666666667,0.204723655762351
gene-LOC111116275,M,Exposed,0.10093586666666662,0.08534595042138546
gene-LOC111116277,F,Control,3.604594375,NA
gene-LOC111116277,F,Exposed,2.041788875,NA
gene-LOC111116277,M,Control,0.16129025,NA
gene-LOC111116277,M,Exposed,7.714083666666666,NA
gene-LOC111116280,F,Control,0.5196724072580644,0.22045447286158587
gene-LOC111116280,F,Exposed,0.5778456290322582,0.2415131117888145
gene-LOC111116280,M,Control,0.19530959677419374,0.12385527863069677
gene-LOC111116280,M,Exposed,0.19133534946236552,0.16082240640163822
gene-LOC111116282,F,Control,0.336832785714286,0.2427826667685985
gene-LOC111116282,F,Exposed,0.16506583928571425,0.13838190799448324
gene-LOC111116282,M,Control,0.23418385714285728,0.14913698628462702
gene-LOC111116282,M,Exposed,0.078084988095238,0.078084988095238
gene-LOC111116283,F,Control,12.40639710964912,0.7640630139276066
gene-LOC111116283,F,Exposed,3.438638515350877,0.3786752842788544
gene-LOC111116283,M,Control,7.362457635964913,0.44331128197194297
gene-LOC111116283,M,Exposed,9.466656532163736,0.7614248512268871
gene-LOC111116284,F,Control,0.520862125,0.4813295290544201
gene-LOC111116284,F,Exposed,0.491058546875,0.491058546875
gene-LOC111116284,M,Control,0.25996296875,0.18767266182455974
gene-LOC111116284,M,Exposed,0.17012116666666668,0.17012116666666668
gene-LOC111116289,F,Control,0.21213058409090918,0.08954979979112873
gene-LOC111116289,F,Exposed,0.2571092568181818,0.10676067393869071
gene-LOC111116289,M,Control,0.23205147272727272,0.08464371505494894
gene-LOC111116289,M,Exposed,0.21837974545454533,0.07826947897973827
gene-LOC111116290,F,Control,0.24703419758064513,0.10494514566398071
gene-LOC111116290,F,Exposed,0.2913671834677419,0.12265756745555502
gene-LOC111116290,M,Control,0.2149372983870965,0.09289272317623212
gene-LOC111116290,M,Exposed,0.2493438521505375,0.09882692995620299
gene-LOC111116291,F,Control,0.29126498820754726,0.1238222705143692
gene-LOC111116291,F,Exposed,0.3045912924528301,0.11667882432003623
gene-LOC111116291,M,Control,0.2113682594339625,0.08644548326605678
gene-LOC111116291,M,Exposed,0.20337601886792434,0.09709968995190799
gene-LOC111116293,F,Control,2.3819353625,0.6281823171955578
gene-LOC111116293,F,Exposed,2.27435721875,0.6007475967197657
gene-LOC111116293,M,Control,2.2391575875,0.628986200304684
gene-LOC111116293,M,Exposed,1.6194489791666666,0.46423923111277166
gene-LOC111116297,F,Control,0.24722101715686273,0.08320789513288694
gene-LOC111116297,F,Exposed,0.3666317009803921,0.16057580975562014
gene-LOC111116297,M,Control,0.1635672598039217,0.052464313111785246
gene-LOC111116297,M,Exposed,0.384105859477124,0.162567590139685
gene-LOC111116298,F,Control,0.15625,0.15625
gene-LOC111116298,F,Exposed,1.0643115625,0.5208333125
gene-LOC111116298,M,Control,0.134408625,0.134408625
gene-LOC111116298,M,Exposed,0.203252,0.203252
gene-LOC111116299,F,Control,2.97657575,NA
gene-LOC111116299,F,Exposed,0.390625,NA
gene-LOC111116299,M,Control,3.64087625,NA
gene-LOC111116299,M,Exposed,1.2939066666666668,NA
gene-LOC111116305,F,Control,11.923514666666668,2.615674449768625
gene-LOC111116305,F,Exposed,10.674868036458333,2.2179553106652903
gene-LOC111116305,M,Control,14.895240374999982,2.987411388316873
gene-LOC111116305,M,Exposed,11.372703284722215,2.3991893750840534
gene-LOC111116309,F,Control,8.32677283333333,3.4063796123420342
gene-LOC111116309,F,Exposed,14.321975208333347,5.8128852675045595
gene-LOC111116309,M,Control,14.436813583333333,4.4049470495327805
gene-LOC111116309,M,Exposed,10.338142833333327,5.811765275142078
gene-LOC111116315,F,Control,8.240668818181813,1.463378311959235
gene-LOC111116315,F,Exposed,18.030293624999995,3.9984569156892715
gene-LOC111116315,M,Control,14.241408431818176,4.28014553896557
gene-LOC111116315,M,Exposed,17.106339060606054,1.9277219964478651
gene-LOC111116324,F,Control,7.2872565,7.171705437185198
gene-LOC111116324,F,Exposed,10.286167541666675,10.202323749920808
gene-LOC111116324,M,Control,18.99926041666665,18.99926041666665
gene-LOC111116324,M,Exposed,17.640167500000004,17.640167500000004
gene-LOC111116325,F,Control,16.946453625,NA
gene-LOC111116325,F,Exposed,17.3292235,NA
gene-LOC111116325,M,Control,26.78362575,NA
gene-LOC111116325,M,Exposed,33.05652283333333,NA
gene-LOC111116326,F,Control,6.9342136875,1.6745170093588544
gene-LOC111116326,F,Exposed,5.2929313958333255,1.183992789219943
gene-LOC111116326,M,Control,4.717149458333332,1.3456213938295427
gene-LOC111116326,M,Exposed,3.522079222222217,1.46254025919485
gene-LOC111116329,F,Control,0.184498515625,0.1284720989726416
gene-LOC111116329,F,Exposed,0.278624859375,0.2641678100240909
gene-LOC111116329,M,Control,0.2752080625,0.184966425554746
gene-LOC111116329,M,Exposed,0.344237,0.344237
gene-LOC111116333,F,Control,3.894641935483876,1.1346266583615199
gene-LOC111116333,F,Exposed,3.736309693548386,1.2200058480743645
gene-LOC111116333,M,Control,4.866129798387089,1.9054331535300773
gene-LOC111116333,M,Exposed,2.1052523602150552,0.8164269948086699
gene-LOC111116340,F,Control,2.47396809375,0.17583993628663486
gene-LOC111116340,F,Exposed,1.9595345625,0.5196040869996212
gene-LOC111116340,M,Control,8.507706500000001,0.6807029423953775
gene-LOC111116340,M,Exposed,6.102051583333333,0.5869624172097285
gene-LOC111116349,F,Control,5.8823665,0.666910625
gene-LOC111116349,F,Exposed,5.6536031875,0.5388158125
gene-LOC111116349,M,Control,4.091699,0.36035575
gene-LOC111116349,M,Exposed,15.102033666666665,0.7810943333333333
gene-LOC111116350,F,Control,4.583253477941179,1.1375841366991364
gene-LOC111116350,F,Exposed,3.5791883088235306,0.9372829067183341
gene-LOC111116350,M,Control,3.328607661764708,0.5945788448760573
gene-LOC111116350,M,Exposed,2.9363687941176466,0.807613414025007
gene-LOC111116351,F,Control,0.21021806770833337,0.13549720846925625
gene-LOC111116351,F,Exposed,0.42303025000000033,0.22814350595761462
gene-LOC111116351,M,Control,0.33043016666666675,0.17774512046146276
gene-LOC111116351,M,Exposed,0.5372786249999995,0.33247778655335414
gene-LOC111116357,F,Control,21.54667075,NA
gene-LOC111116357,F,Exposed,15.205904875,NA
gene-LOC111116357,M,Control,8.42761025,NA
gene-LOC111116357,M,Exposed,26.8390885,NA
gene-LOC111116360,F,Control,0.15556994444444439,0.13230905374300075
gene-LOC111116360,F,Exposed,1.3243692500000002,0.21084246468523263
gene-LOC111116360,M,Control,0.25412675,0.160920769885941
gene-LOC111116360,M,Exposed,0.07648983333333338,0.07648983333333338
gene-LOC111116363,F,Control,3.9528748522727266,1.0582974832706953
gene-LOC111116363,F,Exposed,3.6808221704545447,1.2285194398824721
gene-LOC111116363,M,Control,4.665923931818172,1.01818032690853
gene-LOC111116363,M,Exposed,7.673429287878794,1.036040877892556
gene-LOC111116364,F,Control,3.35573701388889,2.2530302031605784
gene-LOC111116364,F,Exposed,4.743633,2.9946928368488637
gene-LOC111116364,M,Control,5.168307472222223,3.44495599414267
gene-LOC111116364,M,Exposed,3.2654747962962962,2.127680006169013
gene-LOC111116366,F,Control,20.884661375,NA
gene-LOC111116366,F,Exposed,26.4007615,NA
gene-LOC111116366,M,Control,8.70426825,NA
gene-LOC111116366,M,Exposed,29.6177345,NA
gene-LOC111116367,F,Control,10.639618640625,3.461817385536345
gene-LOC111116367,F,Exposed,9.1767154375,2.7767116800380673
gene-LOC111116367,M,Control,7.05680421875,2.8089918717458575
gene-LOC111116367,M,Exposed,6.916325666666666,1.95165267320677
gene-LOC111116370,F,Control,18.4533055625,4.4185738125
gene-LOC111116370,F,Exposed,14.15613825,7.780922125
gene-LOC111116370,M,Control,39.544238750000005,13.74844425
gene-LOC111116370,M,Exposed,14.30019025,3.8909990833333334
gene-LOC111116371,F,Control,12.275710421875,3.485811851657149
gene-LOC111116371,F,Exposed,14.025485296874999,2.8191553203815674
gene-LOC111116371,M,Control,23.632968875,4.946426263039005
gene-LOC111116371,M,Exposed,12.803666291666667,3.653011269935098
gene-LOC111116372,F,Control,4.375,NA
gene-LOC111116372,F,Exposed,6.332736875,NA
gene-LOC111116372,M,Control,1.724138,NA
gene-LOC111116372,M,Exposed,6.991342,NA
gene-LOC111116385,F,Control,0.65789475,NA
gene-LOC111116385,F,Exposed,4.80769225,NA
gene-LOC111116385,M,Control,0,NA
gene-LOC111116385,M,Exposed,3.4246575,NA
gene-LOC111116386,F,Control,30.32121125,5.680097125
gene-LOC111116386,F,Exposed,26.457317,13.373932625
gene-LOC111116386,M,Control,26.586672625,12.524172625
gene-LOC111116386,M,Exposed,23.307969083333333,7.181255083333333
gene-LOC111116388,F,Control,6.4809275909090935,1.1951798392111808
gene-LOC111116388,F,Exposed,5.194647298295455,0.9998914213740201
gene-LOC111116388,M,Control,4.766642761363635,0.9772486428035395
gene-LOC111116388,M,Exposed,5.68622537121212,0.9778050948428639
gene-LOC111116394,F,Control,3.3020981875,0.6938303857969682
gene-LOC111116394,F,Exposed,4.3761873125,0.5838212816915187
gene-LOC111116394,M,Control,0.19547875,0.19547875
gene-LOC111116394,M,Exposed,0.245272625,0.245272625
gene-LOC111116399,F,Control,7.340361875,4.784313855353319
gene-LOC111116399,F,Exposed,6.26732266666667,3.9853713912042736
gene-LOC111116399,M,Control,10.123428750000008,8.38817833543789
gene-LOC111116399,M,Exposed,9.620206833333334,8.147470100954228
gene-LOC111116408,F,Control,4.759173586538464,1.3826538048328456
gene-LOC111116408,F,Exposed,5.743483346153842,1.940818087952242
gene-LOC111116408,M,Control,2.515016961538465,0.9572453821922987
gene-LOC111116408,M,Exposed,2.168306423076925,0.7642828194452893
gene-LOC111116410,F,Control,0.1797554875,0.11883127159606
gene-LOC111116410,F,Exposed,0.24331183750000002,0.18322324908042026
gene-LOC111116410,M,Control,0.158487125,0.13500141766198726
gene-LOC111116410,M,Exposed,0.6011119166666666,0.38723530081471286
gene-LOC111116414,F,Control,0.29239202925531915,0.12160013900142287
gene-LOC111116414,F,Exposed,0.3027734361702127,0.13941507199742403
gene-LOC111116414,M,Control,0.33583766489361727,0.15438863547539902
gene-LOC111116414,M,Exposed,0.1994179858156029,0.08761278340160361
gene-LOC111116415,F,Control,9.340626937499986,1.8994254553695025
gene-LOC111116415,F,Exposed,6.614121645833339,1.5488430098472061
gene-LOC111116415,M,Control,3.9589886666666647,0.7628364909231136
gene-LOC111116415,M,Exposed,7.973973500000005,1.8990708430910042
gene-LOC111116416,F,Control,6.8213339,1.8517413693814
gene-LOC111116416,F,Exposed,10.335890075,3.1986238296610447
gene-LOC111116416,M,Control,8.84620055,3.8305758224118835
gene-LOC111116416,M,Exposed,10.490939533333334,4.139824034430034
gene-LOC111116417,F,Control,12.519516,NA
gene-LOC111116417,F,Exposed,13.349470875,NA
gene-LOC111116417,M,Control,21.35416675,NA
gene-LOC111116417,M,Exposed,18.043337333333334,NA
gene-LOC111116418,F,Control,76.6865995,6.886290920434927
gene-LOC111116418,F,Exposed,64.3816445,9.199204821058293
gene-LOC111116418,M,Control,85.3315935,11.06216468551985
gene-LOC111116418,M,Exposed,83.95857445833333,8.483246103665945
gene-LOC111116420,F,Control,4.210687874999996,0.3759403939051932
gene-LOC111116420,F,Exposed,1.8988317083333337,0.8737226203013019
gene-LOC111116420,M,Control,1.3120504166666673,0.5550057698570875
gene-LOC111116420,M,Exposed,4.2873191111111035,1.285052946113905
gene-LOC111116423,F,Control,8.7651036875,1.0124622410068345
gene-LOC111116423,F,Exposed,6.1972504375,1.2751896856467586
gene-LOC111116423,M,Control,2.83574475,0.34756119106403527
gene-LOC111116423,M,Exposed,6.9850303333333335,1.1043735646056216
gene-LOC111116424,F,Control,31.364726419117652,2.89878240912449
gene-LOC111116424,F,Exposed,32.445149580882365,2.8192563621943902
gene-LOC111116424,M,Control,30.79880720588235,2.1320532378331025
gene-LOC111116424,M,Exposed,26.779418352941185,2.6995184832877634
gene-LOC111116425,F,Control,0.3007865555555554,0.23859595107700513
gene-LOC111116425,F,Exposed,2.1779943749999977,0.27234550388828677
gene-LOC111116425,M,Control,0.1835963055555555,0.130845845820943
gene-LOC111116425,M,Exposed,0.11274968518518513,0.07105903545582268
gene-LOC111116426,F,Control,0.7826914999999999,0.2892705
gene-LOC111116426,F,Exposed,0.809716625,0.809716625
gene-LOC111116426,M,Control,0.322516125,0.062099375
gene-LOC111116426,M,Exposed,4.939244416666667,1.58707875
gene-LOC111116427,F,Control,16.19551775,NA
gene-LOC111116427,F,Exposed,18.867537375,NA
gene-LOC111116427,M,Control,43.113308249999996,NA
gene-LOC111116427,M,Exposed,18.6867305,NA
gene-LOC111116433,F,Control,0.34183680434782615,0.19758114133690827
gene-LOC111116433,F,Exposed,0.3576374076086956,0.24108545077126464
gene-LOC111116433,M,Control,0.2062675,0.13525965612935048
gene-LOC111116433,M,Exposed,0.22433484057971018,0.11513027965461484
gene-LOC111116434,F,Control,0.2843442275641026,0.12061587615319148
gene-LOC111116434,F,Exposed,0.3033149935897435,0.13991728134364176
gene-LOC111116434,M,Control,0.19930792307692308,0.09371828263858832
gene-LOC111116434,M,Exposed,0.19124720512820517,0.11669291232395504
gene-LOC111116437,F,Control,13.10053128125,1.3539988828980773
gene-LOC111116437,F,Exposed,4.2790580375,0.6620933414852034
gene-LOC111116437,M,Control,9.2485037125,0.8944541204439231
gene-LOC111116437,M,Exposed,12.324134883333333,1.5988090821790386
gene-LOC111116438,F,Control,0.599242775,0.14818671715796675
gene-LOC111116438,F,Exposed,0.954652425,0.3459922517068331
gene-LOC111116438,M,Control,0.1582006,0.1075871648673355
gene-LOC111116438,M,Exposed,1.818806,0.16786109064099583
gene-LOC111116443,F,Control,26.045771015625,4.521053660894024
gene-LOC111116443,F,Exposed,34.90387165625,4.892058587813201
gene-LOC111116443,M,Control,31.51267471875,6.403944782455725
gene-LOC111116443,M,Exposed,26.974567520833332,5.154873006483183
gene-LOC111116447,F,Control,0.925925875,NA
gene-LOC111116447,F,Exposed,0.462963,NA
gene-LOC111116447,M,Control,0,NA
gene-LOC111116447,M,Exposed,0.8527856666666667,NA
gene-LOC111116453,F,Control,4.7811706875,2.5644219374999997
gene-LOC111116453,F,Exposed,8.068477249999999,3.2902375
gene-LOC111116453,M,Control,11.938244125,0.5096726249999995
gene-LOC111116453,M,Exposed,14.207952416666666,4.79849925
gene-LOC111116462,F,Control,1.3885751666666666,0.5264750224352613
gene-LOC111116462,F,Exposed,0.9035285520833337,0.31134165336512765
gene-LOC111116462,M,Control,1.9348839375,0.665354071128973
gene-LOC111116462,M,Exposed,1.6101057361111102,0.4837701605676897
gene-LOC111116469,F,Control,74.27041725,8.575308125
gene-LOC111116469,F,Exposed,77.6371034375,9.4211148125
gene-LOC111116469,M,Control,95.84992725000001,0.6919802500000005
gene-LOC111116469,M,Exposed,96.77062641666666,1.6820887500000001
gene-LOC111116472,F,Control,14.60510275,NA
gene-LOC111116472,F,Exposed,15.273978625,NA
gene-LOC111116472,M,Control,8.730158750000001,NA
gene-LOC111116472,M,Exposed,12.012527166666667,NA
gene-LOC111116473,F,Control,0.9134878333333338,0.171379129060064
gene-LOC111116473,F,Exposed,3.6649444722222166,0.47367039344887824
gene-LOC111116473,M,Control,0.5933088888888893,0.46402070471699575
gene-LOC111116473,M,Exposed,0.0448950185185185,0.0448950185185185
gene-LOC111116475,F,Control,13.36504741666666,4.625210966906693
