gene.id,controls.females.mean.methylation.CoV,exposed.females.mean.methylation.CoV,controls.females.mean.methylation,exposed.females.mean.methylation,mean.methylation,abs.delta.CoV
gene-LOC111099079,0.0550477052395914,0.0290062187517876,67.17102125,65.8604475,66.515734375,0.0260414864878038
gene-LOC111099080,2.40806660411187,0.217657429167654,1.4227222625,0.3089753625,0.8658488125,2.19040917494422
gene-LOC111099081,0.134436155480432,0.168812890839845,35.36837875,38.4523325,36.910355625,0.0343767353594126
gene-LOC111099082,1.19668701989606,NA,11.248010125,NA,NA,NA
gene-LOC111099083,NA,NA,NA,NA,NA,NA
gene-LOC111099084,0.990272478332107,0.64030407181247,1.3638218125,1.2604263,1.31212405625,0.349968406519637
gene-LOC111099085,NA,NA,NA,NA,NA,NA
gene-LOC111099086,NA,NA,NA,NA,NA,NA
gene-LOC111099087,0.39552018424185,1.43347986880578,1.269993275,5.3400836125,3.30503844375,1.03795968456393
gene-LOC111099088,0.679969051229934,0.531751653761951,0.4236610125,0.4496420125,0.4366515125,0.148217397467984
gene-LOC111099089,2.06053947389201,0.687061447947604,1.58760372625,0.29007240875,0.9388380675,1.3734780259444
gene-LOC111099090,0.470149679646527,0.374137943064005,0.3277765875,0.3352523375,0.3315144625,0.0960117365825217
gene-LOC111099091,0.925897087952985,0.77271292739176,0.40198279125,0.32674042125,0.36436160625,0.153184160561225
gene-LOC111099092,0.357078569498753,0.512790744121493,22.156548,16.91793,19.537239,0.155712174622739
gene-LOC111099093,0.109715117766669,0.12867659920172,50.0061575,45.57776875,47.791963125,0.0189614814350504
gene-LOC111099094,0.174625351737235,1.19379798924108,0.2570534975,0.40701300875,0.332033253125,1.01917263750384
gene-LOC111099095,0.0578339949532577,0.117418760245421,58.068535,56.70301375,57.385774375,0.0595847652921628
gene-LOC111099096,0.671211577271109,1.55367673026894,1.241078075,4.0960093875,2.66854373125,0.882465152997827
gene-LOC111099097,0.231703647270336,0.285944473166771,46.155895,47.526965,46.84143,0.054240825896435
gene-LOC111099098,1.01300922125094,1.21950228338281,2.57861715,2.820264975,2.6994410625,0.206493062131869
gene-LOC111099099,0.245524527502158,0.279170958876172,0.2829369,0.2620395375,0.27248821875,0.0336464313740136
gene-LOC111099101,0.072587050379502,0.0542474948040477,51.6505025,53.21455875,52.432530625,0.0183395555754543
gene-LOC111099102,0.0400010278650909,0.0386117051576521,68.17528625,64.73784,66.456563125,0.00138932270743884
gene-LOC111099103,1.03910383453234,0.363122473795008,1.437339475,0.672368225,1.05485385,0.675981360737334
gene-LOC111099104,0.0327464505248337,0.0446350382084862,62.21171375,62.87604,62.543876875,0.0118885876836525
gene-LOC111099105,0.203432334319541,0.263596515827235,37.89869,45.71591125,41.807300625,0.0601641815076935
gene-LOC111099106,0.441227681752506,0.351455573480575,0.7908424125,0.7260926,0.75846750625,0.0897721082719313
gene-LOC111099107,0.610994239896045,0.331457347572702,0.30131582,0.32045758375,0.310886701875,0.279536892323343
gene-LOC111099108,0.477666179448618,0.59003850234465,8.599812125,11.175180375,9.88749625,0.112372322896032
gene-LOC111099109,0.0594482415582767,0.0457241425255158,59.30881625,57.31064,58.309728125,0.0137240990327609
gene-LOC111099110,1.46018370519768,0.56887382338295,0.77459715,0.37808595,0.57634155,0.891309881814734
gene-LOC111099111,0.458830283177034,0.486910918023972,0.29952581125,0.30494614125,0.30223597625,0.0280806348469382
gene-LOC111099112,0.0917274458477262,0.0702066350825442,57.3299725,57.363995,57.34698375,0.021520810765182
gene-LOC111099113,0.558439359336934,0.597950857905404,55.973620175,50.4991273125,53.23637374375,0.0395114985684702
gene-LOC111099114,0.480326738067375,0.332430777849324,0.6316201625,0.2640586,0.44783938125,0.147895960218051
gene-LOC111099115,0.0848971795186307,0.0511569800772032,58.08160875,55.11225,56.596929375,0.0337401994414275
gene-LOC111099116,1.18051669944564,NA,0.16545672125,NA,NA,NA
gene-LOC111099117,0.2521249729641,0.160331993141976,0.3475321625,0.357706825,0.35261949375,0.0917929798221242
gene-LOC111099118,0.539460150893549,0.423489279447949,0.63394315,0.5339005375,0.58392184375,0.115970871445601
gene-LOC111099119,0.403895683535416,0.535074099020482,0.36895358125,0.23055329875,0.29975344,0.131178415485067
gene-LOC111099120,0.476118100345593,0.271202585413802,0.730851775,0.5652380875,0.64804493125,0.20491551493179
gene-LOC111099121,0.223556730021304,0.433879104028572,0.28288907,0.2462622175,0.26457564375,0.210322374007269
gene-LOC111099122,0.112748925602277,0.0735652185414998,77.32238625,81.2790075,79.300696875,0.0391837070607768
gene-LOC111099123,0.232086304376658,0.202555162124186,51.11935,51.08247375,51.100911875,0.0295311422524722
gene-LOC111099124,0.776888613056809,0.736123349046194,0.3301560225,0.253911995,0.29203400875,0.0407652640106154
gene-LOC111099125,0.190175104342955,0.204642354154271,44.68517625,43.08841375,43.886795,0.0144672498113156
gene-LOC111099126,0.527283218217349,0.630619625389769,7.59181325,11.223766,9.407789625,0.10333640717242
gene-LOC111099127,0.283361028440062,0.300127301145773,0.47414915,0.5619706875,0.51805991875,0.0167662727057108
gene-LOC111099128,0.852543734385428,0.653657431496931,1.32553407625,0.44702202125,0.88627804875,0.198886302888497
gene-LOC111099129,0.208614516353362,0.289379622648034,0.350369675,0.3696138625,0.35999176875,0.0807651062946717
gene-LOC111099130,0.405702795413087,0.537769814537378,0.22902455,0.27869742625,0.253860988125,0.132067019124291
gene-LOC111099131,1.08844798819121,1.9294791392619,4.1792913125,5.4702611625,4.8247762375,0.841031151070692
gene-LOC111099132,0.513357483793712,1.06144509051892,11.495169275,7.1435972,9.3193832375,0.548087606725204
gene-LOC111099133,0.990796810491806,0.646159721761155,4.8348661875,1.889678925,3.36227255625,0.344637088730651
gene-LOC111099134,0.779204384449321,1.42163405501499,1.1633416625,1.830124975,1.49673331875,0.64242967056567
gene-LOC111099135,0.692155609111834,0.418741728825603,3.29236605,1.491728725,2.3920473875,0.273413880286231
gene-LOC111099136,NA,NA,NA,NA,NA,NA
gene-LOC111099137,0.937255678946805,0.62324912757851,0.9686261625,0.5016844875,0.735155325,0.314006551368295
gene-LOC111099138,1.08895979787034,1.42292839042289,1.0904473625,0.7415680375,0.9160077,0.33396859255255
gene-LOC111099139,0.402801339988952,0.382518309527112,0.3167113625,0.3544414,0.33557638125,0.0202830304618399
gene-LOC111099140,0.140389539823385,0.205208736136048,61.5695175,60.7790375,61.1742775,0.064819196312663
gene-LOC111099141,0.651681623228741,0.783855602977566,0.3211850875,0.6827624,0.50197374375,0.132173979748825
gene-LOC111099142,0.735737773733848,0.867116629273902,0.24005467875,0.5093129425,0.374683810625,0.131378855540055
gene-LOC111099143,0.0802815802552816,0.0809430831288881,28.10134625,28.63216375,28.366755,0.00066150287360657
gene-LOC111099144,NA,1.36250093181103,NA,0.2953532,NA,NA
gene-LOC111099145,1.07555405873258,0.984144848075508,3.14788455,3.6886836,3.418284075,0.0914092106570762
gene-LOC111099146,1.11545440245415,1.15122330176011,2.62175701375,2.86922553125,2.7454912725,0.0357688993059566
gene-LOC111099147,0.340249701473934,0.159436186964766,59.5376525,67.5849425,63.5612975,0.180813514509167
gene-LOC111099148,0.47240046519575,0.205943332587626,0.244069075,0.21547341625,0.229771245625,0.266457132608124
gene-LOC111099149,1.28058355692396,1.03895749624394,0.360124055,0.17260937375,0.266366714375,0.241626060680014
gene-LOC111099150,0.356499382009975,0.192807591547883,4.06507975,4.144826,4.104952875,0.163691790462092
gene-LOC111099151,1.8376358000417,0.242232867941669,1.5246448,0.57121485,1.047929825,1.59540293210003
gene-LOC111099152,0.181565841295661,0.265640016543808,50.6098575,44.11559375,47.362725625,0.0840741752481471
gene-LOC111099153,0.114626052750591,0.16400418712673,49.8995725,42.29708125,46.098326875,0.0493781343761387
gene-LOC111099154,0.455765402789069,0.435796633120015,0.3046617675,0.3123818375,0.3085218025,0.0199687696690536
gene-LOC111099155,2.42384097710781,0.498793582196041,2.1785198375,0.3824501125,1.280484975,1.92504739491177
gene-LOC111099156,0.0658576476491435,0.0462129679603889,53.38226625,54.15194,53.767103125,0.0196446796887546
gene-LOC111099157,0.111625555638205,0.121616008363343,40.06627,38.4288275,39.24754875,0.00999045272513766
gene-LOC111099158,0.378288646582372,0.330047290628504,0.31103652375,0.2480913925,0.279563958125,0.0482413559538679
gene-LOC111099159,0.459196625870154,0.39691091984035,0.628476875,0.8040109375,0.71624390625,0.0622857060298041
gene-LOC111099160,1.30215264446692,1.51010381488254,0.1922009625,0.0968589625,0.1445299625,0.207951170415625
gene-LOC111099161,0.157890561418145,0.150889659830449,33.6653475,37.974435,35.81989125,0.00700090158769581
gene-LOC111099162,0.323506867995225,0.139157177494908,32.9069525,31.5907575,32.248855,0.184349690500317
gene-LOC111099163,0.403528106360529,2.19861080390327,0.26603925625,1.682998755,0.974519005625,1.79508269754274
gene-LOC111099164,NA,NA,NA,NA,NA,NA
gene-LOC111099165,0.229787690453038,0.514853701532706,0.9064269375,0.80910465,0.85776579375,0.285066011079668
gene-LOC111099166,1.06710448208404,1.57933984760365,1.4897412,1.4515855,1.47066335,0.512235365519604
gene-LOC111099167,0.313477377454288,0.437585320107106,0.304393125,0.3478205375,0.32610683125,0.124107942652818
gene-LOC111099168,0.120384834943022,0.0764546270669977,46.67508875,45.89804125,46.286565,0.0439302078760243
gene-LOC111099169,0.127160995418276,0.10125523307154,45.33794375,42.93909625,44.13852,0.0259057623467365
gene-LOC111099170,0.722225274205385,0.545233892107299,0.19476648125,0.2643845725,0.229575526875,0.176991382098086
gene-LOC111099171,0.424973813432995,0.495113784934424,0.4148849125,0.4261813375,0.420533125,0.0701399715014291
gene-LOC111099172,0.833322377390711,0.418194510221897,0.8273285625,0.604727925,0.71602824375,0.415127867168814
gene-LOC111099173,0.780284643188759,0.642952219925752,0.4094521125,0.4735296625,0.4414908875,0.137332423263006
gene-LOC111099174,0.105951552494485,0.102058382983427,49.23546125,54.5297575,51.882609375,0.00389316951105816
gene-LOC111099175,0.0763619693449303,0.0709013308236719,39.8550175,37.83492125,38.844969375,0.00546063852125839
gene-LOC111099176,0.231797295441128,0.456660047829924,0.4992863,0.5735303875,0.53640834375,0.224862752388797
gene-LOC111099177,0.270773497800193,0.277255737585661,1.888731175,1.901143,1.8949370875,0.00648223978546725
gene-LOC111099178,0.496774948382384,0.512383261612344,0.5112008,0.43616265,0.473681725,0.01560831322996
gene-LOC111099179,0.332612880807195,0.47546725951142,2.321702,1.9049599125,2.11333095625,0.142854378704224
gene-LOC111099180,0.152578248374825,0.0803846480971216,60.4220725,61.68495375,61.053513125,0.0721936002777036
gene-LOC111099181,0.768694167327325,0.538441746144822,10.95939375,7.68428175,9.32183775,0.230252421182503
gene-LOC111099182,0.673815690059486,0.273338584939286,3.62521125,2.539816,3.082513625,0.400477105120199
gene-LOC111099183,0.0867206297841282,0.192047223737339,35.6789775,36.25457,35.96677375,0.105326593953211
gene-LOC111099184,0.439061663037522,0.570958064036423,0.3613007875,0.5622620875,0.4617814375,0.131896400998901
gene-LOC111099185,0.977172736065775,1.10181528856144,1.080775125,0.87113485,0.9759549875,0.12464255249566
gene-LOC111099186,0.619418610397865,0.218078093325227,0.6131141625,0.32026595,0.46669005625,0.401340517072638
gene-LOC111099187,0.439275187258018,0.476346594175581,0.36204775,0.43995645125,0.401002100625,0.0370714069175628
gene-LOC111099188,NA,NA,NA,NA,NA,NA
gene-LOC111099189,0.999009203894275,0.936160201998787,3.050255025,1.667395,2.3588250125,0.0628490018954871
gene-LOC111099190,0.301947517015252,0.72346655846236,0.3268988225,0.359412135,0.34315547875,0.421519041447108
gene-LOC111099191,0.763836918047604,0.803861653964495,0.9940168125,0.4427950375,0.718405925,0.0400247359168916
gene-LOC111099192,0.132513942599845,0.120969437604038,57.72049625,58.73510125,58.22779875,0.0115445049958076
gene-LOC111099193,0.295234286427314,0.356201286205112,0.34171015,0.329354925,0.3355325375,0.0609669997777983
gene-LOC111099194,0.586543007872704,0.312268319990519,0.9396001875,0.7808569375,0.8602285625,0.274274687882185
gene-LOC111099195,0.363049430620996,1.03729081447208,0.3323701625,0.455382775,0.39387646875,0.674241383851083
gene-LOC111099196,0.0700164247696528,0.0508382366578678,46.02391875,43.07936875,44.55164375,0.019178188111785
gene-LOC111099197,0.268611823755783,0.259004620172782,41.62884875,50.1190925,45.873970625,0.00960720358300121
gene-LOC111099198,0.381240304154882,0.153842391116403,0.27766265,0.3076866,0.292674625,0.227397913038479
gene-LOC111099199,0.313150676623078,1.32408450078148,0.46361487375,0.90614850875,0.68488169125,1.0109338241584
gene-LOC111099200,0.0761218627364079,0.10037749264664,51.60185125,50.2255075,50.913679375,0.0242556299102317
gene-LOC111099201,1.10343585233678,NA,9.3101012375,NA,NA,NA
gene-LOC111099202,1.10621611245079,1.24773159015695,14.94905065875,17.45646722875,16.20275894375,0.141515477706162
gene-LOC111099203,0.0838249082922793,0.0353127798261867,55.7817575,58.92829875,57.355028125,0.0485121284660926
gene-LOC111099204,NA,NA,NA,NA,NA,NA
gene-LOC111099205,0.642593362051749,1.3040269223714,0.433829225,0.6934833625,0.56365629375,0.661433560319647
gene-LOC111099206,0.605596432827304,0.335861473729706,13.17653775,12.054259375,12.6153985625,0.269734959097598
gene-LOC111099207,0.4295303962741,0.308899651278392,0.7808058375,0.4484091375,0.6146074875,0.120630744995707
gene-LOC111099208,0.640374735351071,0.57444590651862,0.19847426125,0.25506016375,0.2267672125,0.0659288288324507
gene-LOC111099209,0.040269741545715,0.0526617711592211,78.5825725,77.85037,78.21647125,0.0123920296135061
gene-LOC111099210,0.0538131906953841,0.0567515339646096,62.03818125,59.18426625,60.61122375,0.00293834326922552
gene-LOC111099211,0.122501555720306,0.166467289310745,51.77411125,54.28860625,53.03135875,0.043965733590439
gene-LOC111099212,0.0658618759131795,0.0727604729710834,58.32460125,56.4265825,57.375591875,0.00689859705790388
gene-LOC111099213,0.600037722816371,0.45982961568778,0.2248982125,0.301491775,0.26319499375,0.140208107128591
gene-LOC111099214,0.472869322653719,0.435642107673968,45.18502605,38.77572685,41.98037645,0.037227214979751
gene-LOC111099215,0.403509882720072,0.430872345877721,20.745930625,16.872635875,18.80928325,0.0273624631576494
gene-LOC111099216,0.0693713172903223,0.0705857636099735,63.67761,63.470595,63.5741025,0.00121444631965123
gene-LOC111099217,0.307221710885903,0.396305734893586,0.7801655875,0.6193697375,0.6997676625,0.0890840240076835
gene-LOC111099218,0.0453641634311014,0.0621500021823748,47.43592125,46.550255,46.993088125,0.0167858387512734
gene-LOC111099219,0.0733000152792553,0.0626530849783161,57.36207375,55.6189425,56.490508125,0.0106469303009392
gene-LOC111099220,0.15195555716973,0.0822972740248507,53.57620375,47.90403625,50.74012,0.0696582831448791
gene-LOC111099221,0.115656977963446,0.242538115771292,18.632675,17.83537625,18.234025625,0.126881137807846
gene-LOC111099222,0.0503089831870038,0.0828996696862115,66.55608625,68.7576375,67.656861875,0.0325906864992077
gene-LOC111099223,NA,NA,NA,NA,NA,NA
gene-LOC111099224,0.536451439796301,0.552738180827125,0.18706199125,0.2729619675,0.230011979375,0.0162867410308235
gene-LOC111099225,0.299151684712952,0.413668205229643,0.26948540375,0.2511272575,0.260306330625,0.114516520516691
gene-LOC111099226,0.201406721502447,0.403709814254788,33.958662125,38.203171375,36.08091675,0.202303092752341
gene-LOC111099227,0.499585473924337,0.395654219624569,9.961180375,8.781224125,9.37120225,0.103931254299768
gene-LOC111099228,0.52214701010328,1.87187917452787,0.477545975,1.0889177,0.7832318375,1.34973216442459
gene-LOC111099229,0.404371498090908,2.74948695157285,0.2974548575,4.64382270375,2.470638780625,2.34511545348194
gene-LOC111099230,0.199379225691426,0.255495020435378,0.4024092875,0.4127253125,0.4075673,0.0561157947439515
gene-LOC111099246,0.446960862412574,0.185757749586953,0.3836623125,0.4186289125,0.4011456125,0.261203112825621
gene-LOC111099262,0.296603835113074,0.52324346022037,7.69492475,6.5534405,7.124182625,0.226639625107296
gene-LOC111099278,0.453506675663835,0.587006886866777,41.9020975,29.95533625,35.928716875,0.133500211202942
gene-LOC111099289,0.863461449246668,0.659916073405895,0.27870944375,0.34593128625,0.312320365,0.203545375840772
gene-LOC111099300,0.0528519903302684,0.038791600905195,67.6618375,64.83151875,66.246678125,0.0140603894250733
gene-LOC111099316,0.698607045806951,0.67974846480473,26.01438675,29.20281775,27.60860225,0.0188585810022207
gene-LOC111099327,0.132995562616479,0.130847734656391,68.739345,68.131505,68.435425,0.00214782796008756
gene-LOC111099343,0.054580245441127,0.0677781630738667,45.11264625,44.8817625,44.997204375,0.0131979176327397
gene-LOC111099359,0.0654015371945373,0.0783375482375921,57.34486125,57.50482625,57.42484375,0.0129360110430548
gene-LOC111099375,0.0564196312737158,0.112586889003489,45.37235625,45.179325,45.275840625,0.0561672577297729
gene-LOC111099408,0.475255973951778,0.251681405235497,39.339722625,51.251222625,45.295472625,0.223574568716281
gene-LOC111099409,0.640281337703163,0.846943697812698,9.6464623875,9.54339215,9.59492726875,0.206662360109535
gene-LOC111099410,0.229389074690696,0.247484086247394,0.949727575,0.8552486875,0.90248813125,0.0180950115566972
gene-LOC111099411,0.971475363390902,1.24049773525286,3.29014244,2.22981213,2.759977285,0.269022371861958
gene-LOC111099412,NA,NA,NA,NA,NA,NA
gene-LOC111099413,NA,1.17630813277732,NA,8.949508125,NA,NA
gene-LOC111099414,0.959466556582508,0.359337084810125,0.590955105,0.3208463725,0.45590073875,0.600129471772384
gene-LOC111099415,0.857156958018354,1.10916065620337,0.51105635,0.2738776,0.392466975,0.252003698185021
gene-LOC111099416,NA,NA,NA,NA,NA,NA
gene-LOC111099417,0.525862636943477,0.827672929467008,54.0292075,33.9916235,44.0104155,0.301810292523531
gene-LOC111099418,0.392352405957824,0.149333129769283,0.25444684,0.26447350125,0.259460170625,0.243019276188541
gene-LOC111099419,0.630652014649796,0.320499969624483,0.942069975,0.6594538125,0.80076189375,0.310152045025314
gene-LOC111099420,0.857796489211468,0.424278787289645,3.6818672,3.680095,3.6809811,0.433517701921823
gene-LOC111099421,1.88702675252263,NA,12.2351247075,NA,NA,NA
gene-LOC111099422,0.591784545269281,0.67966363159166,11.72024075,9.18469675,10.45246875,0.0878790863223793
gene-LOC111099423,1.00062009698896,NA,0.3135598825,NA,NA,NA
gene-LOC111099424,0.0721003483715095,0.0768815523964157,76.74562625,78.285965,77.515795625,0.00478120402490613
gene-LOC111099425,NA,NA,NA,NA,NA,NA
gene-LOC111099426,0.0295062023395125,0.0260613516678497,47.17480375,46.67169375,46.92324875,0.00344485067166284
gene-LOC111099427,0.0876738095686185,0.093578337091547,51.724665,48.81819125,50.271428125,0.0059045275229285
gene-LOC111099428,0.680873235565633,1.68364886119073,1.751458375,1.4097719375,1.58061515625,1.0027756256251
gene-LOC111099429,NA,0.72363537642006,NA,15.752567,NA,NA
gene-LOC111099430,0.625790174612892,0.908485596639109,0.20278617,0.28849940375,0.245642786875,0.282695422026217
gene-LOC111099431,NA,NA,NA,NA,NA,NA
gene-LOC111099432,NA,1.72926189074377,NA,0.10375602875,NA,NA
gene-LOC111099433,1.24313154563869,NA,0.2135857125,NA,NA,NA
gene-LOC111099434,1.08203896261539,1.09661754104449,6.24573469125,5.29736827,5.771551480625,0.0145785784291004
gene-LOC111099435,NA,NA,NA,NA,NA,NA
gene-LOC111099436,0.872140487347257,0.576792672185981,0.220821225,0.2026851375,0.21175318125,0.295347815161276
gene-LOC111099437,0.386791629852148,0.649903559966833,24.371211375,21.911789,23.1415001875,0.263111930114685
gene-LOC111099438,0.306179305380807,0.5783806808979,11.875670125,9.509854375,10.69276225,0.272201375517093
gene-LOC111099439,0.51191130280119,0.508377575546395,1.4520984,3.14993175,2.301015075,0.00353372725479484
gene-LOC111099440,0.0634795755052906,0.150842560560844,76.4718975,73.17512125,74.823509375,0.0873629850555531
gene-LOC111099441,NA,NA,NA,NA,NA,NA
gene-LOC111099442,0.106838371575283,0.131237618101663,39.32227625,43.753365,41.537820625,0.0243992465263796
gene-LOC111099443,0.208898475022421,0.47312195146592,4.495969125,4.2223085,4.3591388125,0.264223476443499
gene-LOC111099444,NA,NA,NA,NA,NA,NA
gene-LOC111099445,0.88003798544465,1.58562929777177,3.0439621875,0.9816863,2.01282424375,0.705591312327121
gene-LOC111099446,0.0788359245874103,0.0663508932338745,46.19970125,43.4624825,44.831091875,0.0124850313535358
gene-LOC111099447,0.622237377351794,1.02153568513455,0.2570753075,0.17326286375,0.215169085625,0.399298307782757
gene-LOC111099448,0.167279258224453,0.505903343428353,0.3201940425,0.2753068575,0.29775045,0.338624085203901
gene-LOC111099449,0.509212608363986,0.797865594353438,0.32377929625,0.207554625,0.265666960625,0.288652985989453
gene-LOC111099450,1.07009780582896,0.865223186505435,2.031079575,1.9127704375,1.97192500625,0.204874619323526
gene-LOC111099451,1.41164470143032,NA,1.1848906875,NA,NA,NA
gene-LOC111099452,1.08119223661023,1.95540031351689,0.50663483625,1.05020146875,0.7784181525,0.874208076906654
gene-LOC111099453,0.278223895591024,0.292178870903885,0.22355458125,0.23069339,0.227123985625,0.0139549753128603
gene-LOC111099454,0.102768802641007,0.17489019289008,62.972085,56.69251625,59.832300625,0.0721213902490726
gene-LOC111099455,0.422131897246958,0.724558704016871,0.3913016825,0.30201753375,0.346659608125,0.302426806769913
gene-LOC111099456,NA,NA,NA,NA,NA,NA
gene-LOC111099457,0.198667909946591,0.195763077567009,40.5857525,35.22379625,37.904774375,0.00290483237958153
gene-LOC111099458,0.0781104253972953,0.0884980042927463,65.31441125,68.020755,66.667583125,0.010387578895451
gene-LOC111099459,0.0452446161268623,0.0665815022496128,60.9825325,59.727955,60.35524375,0.0213368861227506
gene-LOC111099460,0.104978687202424,0.0951188095880611,61.30606875,62.84209375,62.07408125,0.00985987761436311
gene-LOC111099461,0.0993906466455232,0.176506098331799,44.382725,39.9063725,42.14454875,0.0771154516862761
gene-LOC111099462,1.1196788606163,0.644610506978987,0.8741794325,0.3601775775,0.617178505,0.475068353637313
